gene_id,nonsporulator.host,sporulator.host,spor_gene,M,N,K,p.val,adj.p,sig,n_spor_gene,spor_description,print.lab,lab
K04769,4,17,sporulation_gene,4224,9383,21,3.2864667899427325e-7,2.0434222081684747e-6,TRUE,2,"spoVT;stage V sporulation protein T,Stage V sporulation protein T",TRUE,K04769(2)
K03698,6,19,sporulation_gene,4224,9383,25,6.232501292309265e-7,3.8231585108527976e-6,TRUE,1,yhaM;3'-5' exoribonuclease YhaM,TRUE,K03698(1)
K06412,1,11,sporulation_gene,4224,9383,12,7.922338487167147e-7,4.8273449181805155e-6,TRUE,2,"spoVG;septation protein SpoVG,Regulator required for spore cortex synthesis",TRUE,K06412(2)
K00626,9,21,sporulation_gene,4224,9383,30,2.2874442859594308e-6,1.3316713868579107e-5,TRUE,1,mmgA;acetyl-CoA acetyltransferase,TRUE,K00626(1)
K15580,10,22,sporulation_gene,4224,9383,32,2.376042475625984e-6,1.3488837408212106e-5,TRUE,1,oppA;oligopeptide ABC transporter binding lipoprotein,TRUE,K15580(1)
K06381,1,10,sporulation_gene,4224,9383,11,2.5566606710544686e-6,1.4424616378665337e-5,TRUE,2,"spoIID;stage II sporulation protein D,Stage II sporulation protein D",TRUE,K06381(2)
K07097,7,17,sporulation_gene,4224,9383,24,1.1809897112232218e-5,6.541967248836513e-5,TRUE,1,nrnB;oligoribonuclease NrnB,TRUE,K07097(1)
K06284,9,19,sporulation_gene,4224,9383,28,1.288663028847831e-5,7.010940525993557e-5,TRUE,1,abrB;transition state regulatory protein AbrB,TRUE,K06284(1)
K02049,8,16,sporulation_gene,4224,9383,24,7.021470518778549e-5,3.6882896863009164e-4,TRUE,1,ytlC;ABC transporter ATP-binding protein,TRUE,K02049(1)
K06283,3,10,sporulation_gene,4224,9383,13,1.0232977362875175e-4,5.28414763258074e-4,TRUE,2,"spoIIID;stage III sporulation protein D,Stage III sporulation protein D",TRUE,K06283(2)
K00075,2,8,sporulation_gene,4224,9383,10,1.9188875669620665e-4,9.583952110400703e-4,TRUE,1,murB;UDP-N-acetylenolpyruvoylglucosamine reductase,TRUE,K00075(1)
K01686,2,8,sporulation_gene,4224,9383,10,1.9188875669620665e-4,9.583952110400703e-4,TRUE,1,uxuA;mannonate dehydratase,TRUE,K01686(1)
K02647,2,8,sporulation_gene,4224,9383,10,1.9188875669620665e-4,9.583952110400703e-4,TRUE,1,ysfB;hypothetical protein,TRUE,K02647(1)
K03588,2,8,sporulation_gene,4224,9383,10,1.9188875669620665e-4,9.583952110400703e-4,TRUE,2,"spoVE;stage V sporulation protein E,Cell division/stage V sporulation protein",TRUE,K03588(2)
K00128,0,1,sporulation_gene,4224,9383,1,0,0,TRUE,1,ywdH;aldehyde dehydrogenase YwdH,FALSE,
K00366,0,2,sporulation_gene,4224,9383,2,0,0,TRUE,1,putative nitrite/sulphite reductase,FALSE,
K00754,0,1,sporulation_gene,4224,9383,1,0,0,TRUE,1,bshA;glycosyltransferase YpjH,FALSE,
K00756,0,1,sporulation_gene,4224,9383,1,0,0,TRUE,1,pdp;pyrimidine-nucleoside phosphorylase,FALSE,
K00797,0,1,sporulation_gene,4224,9383,1,0,0,TRUE,1,speE;spermidine synthase,FALSE,
K00974,0,3,sporulation_gene,4224,9383,3,0,0,TRUE,1,cca;CCA-adding enzyme,FALSE,
K00978,0,3,sporulation_gene,4224,9383,3,0,0,TRUE,1,yfnH;glucose-1-phosphate cytidylyltransferase,FALSE,
K01151,0,1,sporulation_gene,4224,9383,1,0,0,TRUE,1,nfo;endonuclease IV,FALSE,
K01182,0,2,sporulation_gene,4224,9383,2,0,0,TRUE,1,"ycdG;oligo-1,6-glucosidase 2",FALSE,
K01247,0,1,sporulation_gene,4224,9383,1,0,0,TRUE,1,alkA;DNA-3-methyladenine glycosylase,FALSE,
K01304,0,2,sporulation_gene,4224,9383,2,0,0,TRUE,1,Pyrrolidone-carboxylate peptidase,FALSE,
K02412,0,6,sporulation_gene,4224,9383,6,0,0,TRUE,1,ATP synthase subunit beta FliI,FALSE,
K03100,0,1,sporulation_gene,4224,9383,1,0,0,TRUE,1,sipS;signal peptidase I S,FALSE,
K03706,0,2,sporulation_gene,4224,9383,2,0,0,TRUE,1,codY;GTP-sensing transcriptional pleiotropic repressor CodY,FALSE,
K03716,0,1,sporulation_gene,4224,9383,1,0,0,TRUE,2,"splB;spore photoproduct lyase,Spore photoproduct (thymine dimer) lyase,radical S-adenosylmethionine superfamily",FALSE,
K06295,0,3,sporulation_gene,4224,9383,3,0,0,TRUE,1,gerKA;spore germination protein KA,FALSE,
K06298,0,1,sporulation_gene,4224,9383,1,0,0,TRUE,1,gerM;spore germination protein GerM,FALSE,
K06317,0,1,sporulation_gene,4224,9383,1,0,0,TRUE,1,bofA;sigma-K factor-processing regulator BofA,FALSE,
K06320,0,1,sporulation_gene,4224,9383,1,0,0,TRUE,1,cgeB;spore maturation protein CgeB,FALSE,
K06331,0,1,sporulation_gene,4224,9383,1,0,0,TRUE,1,cotI;spore coat protein I,FALSE,
K06383,0,8,sporulation_gene,4224,9383,8,0,0,TRUE,2,"spoIIGA;sporulation sigma-E factor-processing peptidase,Sporulation sigma-E factor processing peptidase",FALSE,
K06385,0,7,sporulation_gene,4224,9383,7,0,0,TRUE,2,"spoIIP;stage II sporulation protein P,Stage II sporulation protein P",FALSE,
K06391,0,1,sporulation_gene,4224,9383,1,0,0,TRUE,2,"spoIIIAB;stage III sporulation protein AB,Stage III sporulation protein AB",FALSE,
K06392,0,3,sporulation_gene,4224,9383,3,0,0,TRUE,2,"spoIIIAC;stage III sporulation protein AC,Stage III sporulation protein AC",FALSE,
K06393,0,3,sporulation_gene,4224,9383,3,0,0,TRUE,2,"spoIIIAD;stage III sporulation protein AD,Stage III sporulation protein AD",FALSE,
K06394,0,3,sporulation_gene,4224,9383,3,0,0,TRUE,2,"spoIIIAE;stage III sporulation protein AE,Stage III sporulation protein AE",FALSE,
K06395,0,1,sporulation_gene,4224,9383,1,0,0,TRUE,2,"spoIIIAF;stage III sporulation protein AF,Stage III sporulation protein AF",FALSE,
K06396,0,3,sporulation_gene,4224,9383,3,0,0,TRUE,2,"spoIIIAG;stage III sporulation protein AG,Stage III sporulation protein AG",FALSE,
K06397,0,2,sporulation_gene,4224,9383,2,0,0,TRUE,2,"spoIIIAH;stage III sporulation protein AH,Stage III sporulation protein AH",FALSE,
K06400,0,5,sporulation_gene,4224,9383,5,0,0,TRUE,1,spoIVCA;DNA recombinase,FALSE,
K06403,0,1,sporulation_gene,4224,9383,1,0,0,TRUE,1,spoVAA;stage V sporulation protein AA,FALSE,
K06404,0,1,sporulation_gene,4224,9383,1,0,0,TRUE,1,spoVAB;stage V sporulation protein AB,FALSE,
K06405,0,1,sporulation_gene,4224,9383,1,0,0,TRUE,2,"spoVAC;stage V sporulation protein AC,Stage V sporulation protein AC",FALSE,
K06406,0,3,sporulation_gene,4224,9383,3,0,0,TRUE,2,"spoVAD;stage V sporulation protein AD,Stage V sporulation protein AD",FALSE,
K06413,0,4,sporulation_gene,4224,9383,4,0,0,TRUE,1,spoVK;stage V sporulation protein K,FALSE,
K06416,0,2,sporulation_gene,4224,9383,2,0,0,TRUE,2,"spoVS;stage V sporulation protein S,Stage V sporulation protein S",FALSE,
K07038,0,5,sporulation_gene,4224,9383,5,0,0,TRUE,1,yfhP;hypothetical protein,FALSE,
K07192,0,1,sporulation_gene,4224,9383,1,0,0,TRUE,1,floT;hypothetical protein,FALSE,
K09762,0,7,sporulation_gene,4224,9383,7,0,0,TRUE,1,putative sporulation transcription regulator whiA,FALSE,
K09779,0,3,sporulation_gene,4224,9383,3,0,0,TRUE,2,"yuzA;hypothetical protein,putative membrane protein",FALSE,
K09936,0,1,sporulation_gene,4224,9383,1,0,0,TRUE,1,putative membrane protein,FALSE,
K10979,0,2,sporulation_gene,4224,9383,2,0,0,TRUE,1,ykoV;DNA repair protein YkoV,FALSE,
K16511,0,3,sporulation_gene,4224,9383,3,0,0,TRUE,1,ypbH;adapter protein MecA 2,FALSE,
K21469,0,1,sporulation_gene,4224,9383,1,0,0,TRUE,1,amiE;hypothetical protein,FALSE,
K07738,1,7,sporulation_gene,4224,9383,8,8.584311854883156e-5,0.00044834634487789736,TRUE,1,"Transcriptional regulator, repressor NrdR family",FALSE,
K06398,1,6,sporulation_gene,4224,9383,7,2.7684761969744103e-4,0.0013604232494809736,FALSE,2,"spoIVA;stage IV sporulation protein A,Stage IV sporulation protein A",FALSE,
K18672,1,6,sporulation_gene,4224,9383,7,2.7684761969744103e-4,0.0013604232494809736,FALSE,1,cdaS;hypothetical protein,FALSE,
K00640,10,16,sporulation_gene,4224,9383,26,3.2014584446399936e-4,0.0015400700096847128,FALSE,1,Serine acetyltransferase (SAT),FALSE,
K00074,6,12,sporulation_gene,4224,9383,18,3.8905465023881766e-4,0.0018142650526442824,FALSE,1,mmgB;3-hydroxybutyryl-CoA dehydrogenase,FALSE,
K14170,6,12,sporulation_gene,4224,9383,18,3.8905465023881766e-4,0.0018142650526442824,FALSE,1,"Bifunctional P-protein, chorismate mutase/prephenate dehydratase",FALSE,
K03589,2,7,sporulation_gene,4224,9383,9,5.596814780421393e-4,0.002596694776297032,FALSE,1,divIB;cell division protein DivIB,FALSE,
K06399,3,8,sporulation_gene,4224,9383,11,7.620932551864817e-4,0.0034654389812957425,FALSE,2,"spoIVB;peptidase S55,Stage IV sporulation protein B, peptidase S55 family",FALSE,
K06012,1,5,sporulation_gene,4224,9383,6,8.926990221680647e-4,0.00392272551087313,FALSE,2,"gpr;germination protease,Spore endopeptidase",FALSE,
K06408,1,5,sporulation_gene,4224,9383,6,8.926990221680647e-4,0.00392272551087313,FALSE,1,spoVAF;stage V sporulation protein AF,FALSE,
K07658,4,9,sporulation_gene,4224,9383,13,8.77577507976165e-4,0.00392272551087313,FALSE,2,"phoP;alkaline phosphatase synthesis transcriptional regulatory protein PhoP,Two-component response regulator",FALSE,
K18889,1,5,sporulation_gene,4224,9383,6,8.926990221680647e-4,0.00392272551087313,FALSE,1,yknU;ABC transporter ATP-binding protein,FALSE,
K03466,36,33,sporulation_gene,4224,9383,69,0.0011489464903031313,0.004976953043303611,FALSE,1,spoIIIE;spore DNA translocase,FALSE,
K03657,41,36,sporulation_gene,4224,9383,77,0.0012842344435397622,0.005536746610355389,FALSE,1,"putative DNA helicase, UvrD/REP type",FALSE,
K06409,2,6,sporulation_gene,4224,9383,8,0.0016138791277377086,0.006860862896522165,FALSE,2,"spoVB;stage V sporulation protein B,Stage V sporulation protein B",FALSE,
K20118,2,6,sporulation_gene,4224,9383,8,0.0016138791277377086,0.006860862896522165,FALSE,1,"PTS system, glucose-specific IIBC component",FALSE,
K02050,8,12,sporulation_gene,4224,9383,20,0.0018039957225040857,0.007563541698939149,FALSE,2,"ytlD;ABC transporter permease,ABC-type transport system, permease",FALSE,
K01448,209,129,sporulation_gene,4224,9383,338,0.0019936648099713574,0.00832059194663845,FALSE,6,"cwlD;germination-specific N-acetylmuramoyl-L-alanine amidase,cwlC;sporulation-specific N-acetylmuramoyl-L-alanine amidase,Germination-specific N-acetylmuramoyl-L-alanine amidase, Autolysin,putative N-acetylmuramoyl-L-alanine amidase,putative phage-related cell wall hydrolase (endolysin),putative N-acetylmuramoyl-L-alanine amidase",FALSE,
K06390,1,4,sporulation_gene,4224,9383,5,0.0028780497984190623,0.01158827099451552,FALSE,2,"spoIIIAA;stage III sporulation protein AA,Stage III sporulation protein AA",FALSE,
K11751,1,4,sporulation_gene,4224,9383,5,0.0028780497984190623,0.01158827099451552,FALSE,1,putative membrane-associated 5'-nucleotidase/phosphoesterase,FALSE,
K13292,1,4,sporulation_gene,4224,9383,5,0.0028780497984190623,0.01158827099451552,FALSE,1,lgt;prolipoprotein diacylglyceryl transferase,FALSE,
K00067,9,12,sporulation_gene,4224,9383,21,0.003395411437580514,0.013434658242201688,FALSE,1,spsK;spore coat polysaccharide biosynthesis protein SpsK,FALSE,
K07175,9,12,sporulation_gene,4224,9383,21,0.003395411437580514,0.013434658242201688,FALSE,1,ylaK;hypothetical protein,FALSE,
K00215,20,20,sporulation_gene,4224,9383,40,0.0037791032161671586,0.014888363532658547,FALSE,1,dapB;4-hydroxy-tetrahydrodipicolinate reductase,FALSE,
K22278,2,5,sporulation_gene,4224,9383,7,0.004587807436991805,0.017843642542172383,FALSE,1,putative oligosaccharide deacetylase,FALSE,
K01685,6,9,sporulation_gene,4224,9383,15,0.004798559666421364,0.018584252267411554,FALSE,1,uxaA;altronate dehydratase,FALSE,
K09747,5,8,sporulation_gene,4224,9383,13,0.00519064022931587,0.020017912107994536,FALSE,1,DNA binding protein,FALSE,
K04758,4,7,sporulation_gene,4224,9383,11,0.005414209985397575,0.02061911636105576,FALSE,1,Ferrous iron transport protein,FALSE,
K00928,70,49,sporulation_gene,4224,9383,119,0.0071996691422951484,0.027192138826684982,FALSE,2,"dapG;aspartokinase 1,Aspartokinase 1 (Aspartokinase I) (1spartate kinase I)",FALSE,
K09811,8,10,sporulation_gene,4224,9383,18,0.008040254163273001,0.029873139452160663,FALSE,1,ftsX;cell division protein FtsX,FALSE,
K03431,1,3,sporulation_gene,4224,9383,4,0.009277277584809117,0.03338358941935249,FALSE,1,Phosphoglucosamine mutase,FALSE,
K18197,1,3,sporulation_gene,4224,9383,4,0.009277277584809117,0.03338358941935249,FALSE,1,yesW;rhamnogalacturonan endolyase YesW,FALSE,
K18890,1,3,sporulation_gene,4224,9383,4,0.009277277584809117,0.03338358941935249,FALSE,1,yknV;ABC transporter ATP-binding protein,FALSE,
K03531,6,8,sporulation_gene,4224,9383,14,0.010546972984516791,0.037655989483782605,FALSE,1,ftsZ;cell division protein FtsZ,FALSE,
K01056,4,6,sporulation_gene,4224,9383,10,0.012939914157580314,0.04429618554317755,FALSE,1,spoVC;peptidyl-tRNA hydrolase,FALSE,
K02770,2,4,sporulation_gene,4224,9383,6,0.012804803679674043,0.04429618554317755,FALSE,1,"PTS system, fructose-specific IIABC component",FALSE,
K03569,4,6,sporulation_gene,4224,9383,10,0.012939914157580314,0.04429618554317755,FALSE,2,"mreB;rod shape-determining protein MreB,mbl;MreB-like protein",FALSE,
K03610,13,13,sporulation_gene,4224,9383,26,0.012928387181191206,0.04429618554317755,FALSE,1,minC;septum site-determining protein MinC,FALSE,
K07238,4,6,sporulation_gene,4224,9383,10,0.012939914157580314,0.04429618554317755,FALSE,1,putative zinc/iron permease,FALSE,
K00133,63,42,sporulation_gene,4224,9383,105,0.019667776601061802,0.06560710880792148,FALSE,1,asd;aspartate-semialdehyde dehydrogenase,FALSE,
K00703,10,10,sporulation_gene,4224,9383,20,0.022168873563284144,0.07314927955538522,FALSE,1,glgA;glycogen synthase,FALSE,
K10823,10,10,sporulation_gene,4224,9383,20,0.022168873563284144,0.07314927955538522,FALSE,1,oppF;oligopeptide transport ATP-binding protein OppF,FALSE,
K03310,6,7,sporulation_gene,4224,9383,13,0.02246151012357611,0.07358358513601637,FALSE,1,yrbD;sodium/proton-dependent alanine carrier protein YrbD,FALSE,
K06901,6,7,sporulation_gene,4224,9383,13,0.02246151012357611,0.07358358513601637,FALSE,1,Xanthine/uracil/thiamine/ascorbate permease family protein,FALSE,
K00882,1,2,sporulation_gene,4224,9383,3,0.02990004365404959,0.0885060668475695,FALSE,1,Fructose 1-phosphate kinase,FALSE,
K01934,4,5,sporulation_gene,4224,9383,9,0.029921635290917913,0.0885060668475695,FALSE,1,5-formyltetrahydrofolate cyclo-ligase,FALSE,
K03216,1,2,sporulation_gene,4224,9383,3,0.02990004365404959,0.0885060668475695,FALSE,1,cspR;tRNA (cytidine(34)-2'-O)-methyltransferase,FALSE,
K03719,4,5,sporulation_gene,4224,9383,9,0.029921635290917913,0.0885060668475695,FALSE,1,lrpA;AsnC family transcriptional regulator,FALSE,
K06407,1,2,sporulation_gene,4224,9383,3,0.02990004365404959,0.0885060668475695,FALSE,3,"spoVAEA;stage V sporulation protein AE,spoVAEB;stage V sporulation protein AEB,Stage V sporulation protein AE",FALSE,
K06438,1,2,sporulation_gene,4224,9383,3,0.02990004365404959,0.0885060668475695,FALSE,2,"yqfD;hypothetical protein,Stage IV sporulation protein",FALSE,
K07301,1,2,sporulation_gene,4224,9383,3,0.02990004365404959,0.0885060668475695,FALSE,1,putative Ca2+/Na+ antiporter,FALSE,
K07566,4,5,sporulation_gene,4224,9383,9,0.029921635290917913,0.0885060668475695,FALSE,1,tsaC;tRNA threonylcarbamoyladenosine biosynthesis protein YwlC,FALSE,
K01803,8,8,sporulation_gene,4224,9383,16,0.031916740578798806,0.0932009613067799,FALSE,1,tpi;triosephosphate isomerase,FALSE,
K02563,2,3,sporulation_gene,4224,9383,5,0.03487418873036937,0.09899070962595528,FALSE,1,murG;UDP-N-acetylglucosamine--N-acetylmuramyl- (pentapeptide) pyrophosphoryl-undecaprenol N-acetylglucosamine transferase,FALSE,
K04074,2,3,sporulation_gene,4224,9383,5,0.03487418873036937,0.09899070962595528,FALSE,1,divIVA;septum site-determining protein DivIVA,FALSE,
K06215,2,3,sporulation_gene,4224,9383,5,0.03487418873036937,0.09899070962595528,FALSE,1,pdxS;pyridoxal biosynthesis lyase PdxS,FALSE,
K03324,9,8,sporulation_gene,4224,9383,17,0.0495044465692769,0.13466388144142585,FALSE,1,yqeW;hypothetical protein,FALSE,
K00965,16,12,sporulation_gene,4224,9383,28,0.06299523352008973,0.16884939424446338,FALSE,1,putative galactose-1-phosphate uridylyltransferase,FALSE,
K01928,4,4,sporulation_gene,4224,9383,8,0.0664101308224222,0.1754302299759939,FALSE,1,UDP-N-acetylmuramyl-tripeptide synthetase,FALSE,
K03574,13,10,sporulation_gene,4224,9383,23,0.06820843663706189,0.17966141523422066,FALSE,1,rppH;8-oxo-dGTP diphosphatase YtkD,FALSE,
K01447,7,6,sporulation_gene,4224,9383,13,0.07367207620321324,0.19294062363821463,FALSE,1,cwlH;N-acetylmuramoyl-L-alanine amidase CwlH,FALSE,
K03664,15,11,sporulation_gene,4224,9383,26,0.07593103382534709,0.19828847118962067,FALSE,1,smpB;SsrA-binding protein,FALSE,
K07042,3,3,sporulation_gene,4224,9383,6,0.07901295883175992,0.20229088059447775,FALSE,1,putative metal-dependent hydrolase,FALSE,
K00997,2,2,sporulation_gene,4224,9383,4,0.0917683418617709,0.21957137293627904,FALSE,1,Holo-[acyl-carrier-protein] synthase,FALSE,
K03892,2,2,sporulation_gene,4224,9383,4,0.0917683418617709,0.21957137293627904,FALSE,1,arsR;arsenical resistance operon repressor,FALSE,
K06374,2,2,sporulation_gene,4224,9383,4,0.0917683418617709,0.21957137293627904,FALSE,2,"spmB;spore maturation protein B,Spore maturation protein B",FALSE,
K07074,2,2,sporulation_gene,4224,9383,4,0.0917683418617709,0.21957137293627904,FALSE,1,ycgL;hypothetical protein,FALSE,
K10716,9,7,sporulation_gene,4224,9383,16,0.08861373111878665,0.21957137293627904,FALSE,1,yugO;potassium channel protein YugO,FALSE,
K00012,45,27,sporulation_gene,4224,9383,72,0.09587157646518628,0.22126629466422396,FALSE,2,"ytcA;UDP-glucose 6-dehydrogenase YtcA,ugd;UDP-glucose 6-dehydrogenase YwqF",FALSE,
K00864,1,1,sporulation_gene,4224,9383,2,0.0963500933001763,0.22126629466422396,FALSE,1,glpK;glycerol kinase,FALSE,
K03299,1,1,sporulation_gene,4224,9383,2,0.0963500933001763,0.22126629466422396,FALSE,1,yojA;permease YojA,FALSE,
K03325,1,1,sporulation_gene,4224,9383,2,0.0963500933001763,0.22126629466422396,FALSE,1,arsB;arsenite resistance protein ArsB,FALSE,
K09769,1,1,sporulation_gene,4224,9383,2,0.0963500933001763,0.22126629466422396,FALSE,1,ymdB;hypothetical protein,FALSE,
K16203,1,1,sporulation_gene,4224,9383,2,0.0963500933001763,0.22126629466422396,FALSE,1,putative amino acid amidase,FALSE,
K15633,40,24,sporulation_gene,4224,9383,64,0.1062672481668616,0.24221512425065211,FALSE,1,"pgm;2,3-bisphosphoglycerate-independent phosphoglycerate mutase",FALSE,
K01207,5,4,sporulation_gene,4224,9383,9,0.11202075023680261,0.24911670490617419,FALSE,1,nagZ;lipoprotein,FALSE,
K01790,13,9,sporulation_gene,4224,9383,22,0.11102882116726616,0.24911670490617419,FALSE,1,spsL;spore coat polysaccharide biosynthesis protein SpsL,FALSE,
K03529,5,4,sporulation_gene,4224,9383,9,0.11202075023680261,0.24911670490617419,FALSE,1,smc;chromosome partition protein Smc,FALSE,
K04759,12,8,sporulation_gene,4224,9383,20,0.13478300294289539,0.29655267689550524,FALSE,1,Ferrous iron transport protein B,FALSE,
K00286,6,4,sporulation_gene,4224,9383,10,0.16864728348268052,0.3644057141918912,FALSE,1,proH;pyrroline-5-carboxylate reductase 1,FALSE,
K00820,3,2,sporulation_gene,4224,9383,5,0.1771095715588734,0.3747179361222461,FALSE,1,Glucosamine--fructose-6-phosphate aminotransferase [isomerizing],FALSE,
K03312,3,2,sporulation_gene,4224,9383,5,0.1771095715588734,0.3747179361222461,FALSE,1,Sodium/glutamate symporter,FALSE,
K03790,3,2,sporulation_gene,4224,9383,5,0.1771095715588734,0.3747179361222461,FALSE,1,putative Acyl-CoA N-acyltransferase,FALSE,
K06382,3,2,sporulation_gene,4224,9383,5,0.1771095715588734,0.3747179361222461,FALSE,2,"spoIIE;stage II sporulation protein E,stage II sporulation protein",FALSE,
K00041,27,15,sporulation_gene,4224,9383,42,0.20354806783444523,0.4267039770657866,FALSE,1,uxaB;altronate oxidoreductase,FALSE,
K00700,14,8,sporulation_gene,4224,9383,22,0.2171908658506916,0.44509518248325586,FALSE,1,"glgB;1,4-alpha-glucan branching enzyme GlgB",FALSE,
K01710,14,8,sporulation_gene,4224,9383,22,0.2171908658506916,0.44509518248325586,FALSE,1,"spsJ;dTDP-glucose 4,6-dehydratase",FALSE,
K03517,2,1,sporulation_gene,4224,9383,3,0.22925019259242976,0.44868238978475544,FALSE,1,nadA;quinolinate synthase A,FALSE,
K03524,2,1,sporulation_gene,4224,9383,3,0.22925019259242976,0.44868238978475544,FALSE,1,birA;bifunctional protein BirA,FALSE,
K03699,2,1,sporulation_gene,4224,9383,3,0.22925019259242976,0.44868238978475544,FALSE,2,"yugS;hypothetical protein,putative membrane protein",FALSE,
K05770,2,1,sporulation_gene,4224,9383,3,0.22925019259242976,0.44868238978475544,FALSE,1,"putative transmembrane signaling protein,TspO/MBR family",FALSE,
K06346,2,1,sporulation_gene,4224,9383,3,0.22925019259242976,0.44868238978475544,FALSE,1,jag;protein jag,FALSE,
K06902,2,1,sporulation_gene,4224,9383,3,0.22925019259242976,0.44868238978475544,FALSE,1,yxiO;MFS transporter,FALSE,
K07636,16,9,sporulation_gene,4224,9383,25,0.2224884568801918,0.44868238978475544,FALSE,2,"phoR;alkaline phosphatase synthesis sensor protein PhoR,Two-component sensor histidine kinase",FALSE,
K15771,2,1,sporulation_gene,4224,9383,3,0.22925019259242976,0.44868238978475544,FALSE,1,mdxF;maltodextrin transport system permease protein MdxF,FALSE,
K00859,7,4,sporulation_gene,4224,9383,11,0.2337405183604533,0.4507148392013804,FALSE,1,Dephospho-CoA kinase (Dephosphocoenzyme A kinase),FALSE,
K00975,7,4,sporulation_gene,4224,9383,11,0.2337405183604533,0.4507148392013804,FALSE,2,"glgD;glycogen biosynthesis protein GlgD,glgC;glucose-1-phosphate adenylyltransferase",FALSE,
K03110,7,4,sporulation_gene,4224,9383,11,0.2337405183604533,0.4507148392013804,FALSE,1,ftsY;signal recognition particle receptor FtsY,FALSE,
K00963,6,3,sporulation_gene,4224,9383,9,0.29448700594235994,0.4784870155346536,FALSE,2,"ytdA;UTP--glucose-1-phosphate uridylyltransferase,gtaB;UTP--glucose-1-phosphate uridylyltransferase",FALSE,
K01118,1,0,sporulation_gene,4224,9383,1,0.3104284559417949,0.4784870155346536,FALSE,2,"azoR2;FMN-dependent NADH-azoreductase 2,putative FMN-dependent NADH-azoreductase",FALSE,
K01297,1,0,sporulation_gene,4224,9383,1,0.3104284559417949,0.4784870155346536,FALSE,1,"putative muramoyltetrapeptide carboxypeptidase,S66 family",FALSE,
K01537,13,7,sporulation_gene,4224,9383,20,0.26039809073828196,0.4784870155346536,FALSE,1,yloB;calcium-transporting ATPase,FALSE,
