gene,scaffold,gene_id,gene_description,category,header,subheader,module,amg_flags,d,p,f,spore_likely
Han_2018_ERR1398080_NODE_1549_length_17014_cov_10.011557_1,Han_2018_ERR1398080_NODE_1549_length_17014_cov_10.011557,K03091,sigH;RNA polymerase sigma-H factor,MISC,RNA synthesis and degradation,Transcription,Sigma factors,FM,Host Not Assigned or not a prokaryotic virus,NA,NA,NA
Han_2018_ERR1398080_NODE_1549_length_17014_cov_10.011557_8,Han_2018_ERR1398080_NODE_1549_length_17014_cov_10.011557,K01356,lexA;lexa repressor,MISC,Genetics,DNA repair/ recombination,NA,FM,Host Not Assigned or not a prokaryotic virus,NA,NA,NA
Han_2018_ERR1398080_NODE_241_length_57275_cov_6.017931_91,Han_2018_ERR1398080_NODE_241_length_57275_cov_6.017931,K06333,cotJB;spore coat protein CotJB,MISC,Sporulation,Sporulation proteins,Spore coat proteins,FM,Bacteria,p__Firmicutes_A,f__Lachnospiraceae,TRUE
Han_2018_ERR1398080_NODE_241_length_57275_cov_6.017931_92,Han_2018_ERR1398080_NODE_241_length_57275_cov_6.017931,K06334,cotJC;spore coat peptide assembly protein CotJC,MISC,Sporulation,Sporulation proteins,Spore coat proteins,FM,Bacteria,p__Firmicutes_A,f__Lachnospiraceae,TRUE
Han_2018_ERR1398080_NODE_3464_length_9068_cov_4.462887_4,Han_2018_ERR1398080_NODE_3464_length_9068_cov_4.462887,K02051,ABC.SN.S; sulfonate/nitrate/taurine transport system substrate-binding protein,Transporters,NA,NA,NitT/TauT family transport system,MF,Bacteria,p__Firmicutes_A,f__Lachnospiraceae,TRUE
Han_2018_ERR1398080_NODE_3464_length_9068_cov_4.462887_4,Han_2018_ERR1398080_NODE_3464_length_9068_cov_4.462887,K02051,ytlA;ABC transporter substrate-binding protein YtlA,MISC,Sporulation,Sporulation proteins,Sporulation proteins/ other,MF,Bacteria,p__Firmicutes_A,f__Lachnospiraceae,TRUE
Han_2018_ERR1398080_NODE_5164_length_6628_cov_3.806785_3,Han_2018_ERR1398080_NODE_5164_length_6628_cov_3.806785,K00688,glgP;glycogen phosphorylase,MISC,Sporulation,Sporulation proteins,Sporulation proteins/ other,MKFB,Bacteria,p__Firmicutes_A,f__Ruminococcaceae,FALSE
Han_2018_ERR1398080_NODE_5414_length_6410_cov_5.648623_2,Han_2018_ERR1398080_NODE_5414_length_6410_cov_5.648623,K23989,lytD;beta-N-acetylglucosaminidase,MISC,Cell envelope and cell division,Cell wall degradation/ turnover,Autolysis,FM,Host Not Assigned or not a prokaryotic virus,NA,NA,NA
Han_2018_ERR1398080_NODE_95_length_93282_cov_13.656591_13,Han_2018_ERR1398080_NODE_95_length_93282_cov_13.656591,K07171,Endoribonuclease toxin,MISC,sporulation,sporulation,sporulation,FM,Bacteria,p__Firmicutes_A,f__Lachnospiraceae,TRUE
Han_2018_ERR1398081_NODE_17_length_101939_cov_6.824261_48,Han_2018_ERR1398081_NODE_17_length_101939_cov_6.824261,K07171,Endoribonuclease toxin,MISC,sporulation,sporulation,sporulation,M,Bacteria,p__Firmicutes_A,f__Ruminococcaceae,FALSE
Han_2018_ERR1398081_NODE_2093_length_8766_cov_10.657904_6,Han_2018_ERR1398081_NODE_2093_length_8766_cov_10.657904,K03469,ypeP;hypothetical protein,MISC,Sporulation,Sporulation proteins,Spore coat proteins,FM,Bacteria,p__Firmicutes_A,f__Lachnospiraceae,TRUE
Han_2018_ERR1398081_NODE_3151_length_6255_cov_4.432581_1,Han_2018_ERR1398081_NODE_3151_length_6255_cov_4.432581,K00688,glgP;glycogen phosphorylase,MISC,Sporulation,Sporulation proteins,Sporulation proteins/ other,MKF,Bacteria,p__Firmicutes_A,f__Lachnospiraceae,TRUE
Han_2018_ERR1398081_NODE_45_length_77938_cov_35.008192_45,Han_2018_ERR1398081_NODE_45_length_77938_cov_35.008192,K01448,cwlD;germination-specific N-acetylmuramoyl-L-alanine amidase,MISC,Sporulation,Sporulation proteins,Sporulation proteins/ other,M,Bacteria,p__Bacteroidota,f__Bacteroidaceae,NA
Han_2018_ERR1398081_NODE_51_length_76839_cov_6.978199_103,Han_2018_ERR1398081_NODE_51_length_76839_cov_6.978199,K06334,cotJC;spore coat peptide assembly protein CotJC,MISC,Sporulation,Sporulation proteins,Spore coat proteins,M,Bacteria,p__Firmicutes_A,f__Lachnospiraceae,TRUE
Han_2018_ERR1398081_NODE_51_length_76839_cov_6.978199_104,Han_2018_ERR1398081_NODE_51_length_76839_cov_6.978199,K06333,cotJB;spore coat protein CotJB,MISC,Sporulation,Sporulation proteins,Spore coat proteins,M,Bacteria,p__Firmicutes_A,f__Lachnospiraceae,TRUE
Han_2018_ERR1398081_NODE_51_length_76839_cov_6.978199_108,Han_2018_ERR1398081_NODE_51_length_76839_cov_6.978199,K00688,glgP;glycogen phosphorylase,MISC,Sporulation,Sporulation proteins,Sporulation proteins/ other,MK,Bacteria,p__Firmicutes_A,f__Lachnospiraceae,TRUE
Han_2018_ERR1398081_NODE_59_length_71067_cov_41.740945_9,Han_2018_ERR1398081_NODE_59_length_71067_cov_41.740945,K03469,ypeP;hypothetical protein,MISC,Sporulation,Sporulation proteins,Spore coat proteins,M,Bacteria,p__Bacteroidota,f__Bacteroidaceae,NA
Han_2018_ERR1398081_NODE_608_length_21808_cov_5.803337_15,Han_2018_ERR1398081_NODE_608_length_21808_cov_5.803337,K07097,nrnB;oligoribonuclease NrnB,MISC,Sporulation,Sporulation proteins,Newly identified sporulation proteins (based on transcription profiling),M,Host Not Assigned or not a prokaryotic virus,NA,NA,NA
Han_2018_ERR1398081_NODE_608_length_21808_cov_5.803337_20,Han_2018_ERR1398081_NODE_608_length_21808_cov_5.803337,K03469,ypeP;hypothetical protein,MISC,Sporulation,Sporulation proteins,Spore coat proteins,FM,Host Not Assigned or not a prokaryotic virus,NA,NA,NA
Han_2018_ERR1398082_NODE_2397_length_7879_cov_5.385097_3,Han_2018_ERR1398082_NODE_2397_length_7879_cov_5.385097,K00688,glgP;glycogen phosphorylase,MISC,Sporulation,Sporulation proteins,Sporulation proteins/ other,MKF,Bacteria,p__Firmicutes_A,f__Lachnospiraceae,TRUE
Han_2018_ERR1398082_NODE_4356_length_5074_cov_5.631002_1,Han_2018_ERR1398082_NODE_4356_length_5074_cov_5.631002,K01448,cwlD;germination-specific N-acetylmuramoyl-L-alanine amidase,MISC,Sporulation,Sporulation proteins,Sporulation proteins/ other,FM,Bacteria,p__Firmicutes_A,f__Butyricicoccaceae,TRUE
Han_2018_ERR1398083_NODE_118_length_50138_cov_34.796717_18,Han_2018_ERR1398083_NODE_118_length_50138_cov_34.796717,K06334,cotJC;spore coat peptide assembly protein CotJC,MISC,Sporulation,Sporulation proteins,Spore coat proteins,M,Bacteria,p__Firmicutes_A,f__Lachnospiraceae,TRUE
Han_2018_ERR1398083_NODE_118_length_50138_cov_34.796717_59,Han_2018_ERR1398083_NODE_118_length_50138_cov_34.796717,K03469,ypeP;hypothetical protein,MISC,Sporulation,Sporulation proteins,Spore coat proteins,FM,Bacteria,p__Firmicutes_A,f__Lachnospiraceae,TRUE
Han_2018_ERR1398084_NODE_2618_length_6542_cov_84.153846_8,Han_2018_ERR1398084_NODE_2618_length_6542_cov_84.153846,K01448,cwlD;germination-specific N-acetylmuramoyl-L-alanine amidase,MISC,Sporulation,Sporulation proteins,Sporulation proteins/ other,FM,Bacteria,p__Bacteroidota,f__Bacteroidaceae,NA
Han_2018_ERR1398084_NODE_751_length_16523_cov_28.386446_14,Han_2018_ERR1398084_NODE_751_length_16523_cov_28.386446,K01448,cwlD;germination-specific N-acetylmuramoyl-L-alanine amidase,MISC,Sporulation,Sporulation proteins,Sporulation proteins/ other,M,Host Not Assigned or not a prokaryotic virus,NA,NA,NA
Han_2018_ERR1398085_NODE_1515_length_15495_cov_3.279275_1,Han_2018_ERR1398085_NODE_1515_length_15495_cov_3.279275,K01448,cwlD;germination-specific N-acetylmuramoyl-L-alanine amidase,MISC,Sporulation,Sporulation proteins,Sporulation proteins/ other,FM,Bacteria,p__Firmicutes_A,f__Lachnospiraceae,TRUE
Han_2018_ERR1398085_NODE_274_length_63676_cov_5.985917_5,Han_2018_ERR1398085_NODE_274_length_63676_cov_5.985917,K02051,ABC.SN.S; sulfonate/nitrate/taurine transport system substrate-binding protein,Transporters,NA,NA,NitT/TauT family transport system,M,Bacteria,p__Firmicutes_A,f__Lachnospiraceae,TRUE
Han_2018_ERR1398085_NODE_274_length_63676_cov_5.985917_5,Han_2018_ERR1398085_NODE_274_length_63676_cov_5.985917,K02051,ytlA;ABC transporter substrate-binding protein YtlA,MISC,Sporulation,Sporulation proteins,Sporulation proteins/ other,M,Bacteria,p__Firmicutes_A,f__Lachnospiraceae,TRUE
Han_2018_ERR1398085_NODE_274_length_63676_cov_5.985917_27,Han_2018_ERR1398085_NODE_274_length_63676_cov_5.985917,K03469,ypeP;hypothetical protein,MISC,Sporulation,Sporulation proteins,Spore coat proteins,M,Bacteria,p__Firmicutes_A,f__Lachnospiraceae,TRUE
Han_2018_ERR1398085_NODE_3721_length_6439_cov_6.793390_5,Han_2018_ERR1398085_NODE_3721_length_6439_cov_6.793390,K03469,ypeP;hypothetical protein,MISC,Sporulation,Sporulation proteins,Spore coat proteins,FM,Bacteria,p__Firmicutes_A,f__CAG-274,FALSE
Han_2018_ERR1398085_NODE_4470_length_5402_cov_3.334580_2,Han_2018_ERR1398085_NODE_4470_length_5402_cov_3.334580,K00688,glgP;glycogen phosphorylase,MISC,Sporulation,Sporulation proteins,Sporulation proteins/ other,MKFB,Bacteria,p__Bacteroidota,f__Bacteroidaceae,NA
Han_2018_ERR1398089_NODE_115_length_55470_cov_191.499720_62,Han_2018_ERR1398089_NODE_115_length_55470_cov_191.499720,K01449,cwlJ;cell wall hydrolase CwlJ,MISC,Sporulation,Sporulation proteins,Spore coat proteins,M,Bacteria,p__Firmicutes_A,f__Lachnospiraceae,TRUE
Han_2018_ERR1398089_NODE_1_length_368996_cov_10.990096_205,Han_2018_ERR1398089_NODE_1_length_368996_cov_10.990096,K01356,lexA;lexa repressor,MISC,Genetics,DNA repair/ recombination,NA,TM,Host Not Assigned or not a prokaryotic virus,NA,NA,NA
Han_2018_ERR1398090_NODE_164_length_46357_cov_5.784869_42,Han_2018_ERR1398090_NODE_164_length_46357_cov_5.784869,K07171,Endoribonuclease toxin,MISC,sporulation,sporulation,sporulation,M,Bacteria,p__Firmicutes_A,f__Lachnospiraceae,TRUE
Han_2018_ERR1398090_NODE_548_length_19148_cov_4.544912_2,Han_2018_ERR1398090_NODE_548_length_19148_cov_4.544912,K06334,cotJC;spore coat peptide assembly protein CotJC,MISC,Sporulation,Sporulation proteins,Spore coat proteins,FM,Host Not Assigned or not a prokaryotic virus,NA,NA,NA
Han_2018_ERR1398092_NODE_24_length_67762_cov_377.602641_63,Han_2018_ERR1398092_NODE_24_length_67762_cov_377.602641,K02051,ABC.SN.S; sulfonate/nitrate/taurine transport system substrate-binding protein,Transporters,NA,NA,NitT/TauT family transport system,M,Bacteria,p__Bacteroidota,f__Bacteroidaceae,NA
Han_2018_ERR1398092_NODE_24_length_67762_cov_377.602641_63,Han_2018_ERR1398092_NODE_24_length_67762_cov_377.602641,K02051,ytlA;ABC transporter substrate-binding protein YtlA,MISC,Sporulation,Sporulation proteins,Sporulation proteins/ other,M,Bacteria,p__Bacteroidota,f__Bacteroidaceae,NA
Han_2018_ERR1398094_NODE_19_length_94538_cov_60.214197_99,Han_2018_ERR1398094_NODE_19_length_94538_cov_60.214197,K07171,Endoribonuclease toxin,MISC,sporulation,sporulation,sporulation,FM,Bacteria,p__Firmicutes_A,f__Ruminococcaceae,FALSE
Han_2018_ERR1398094_NODE_92_length_42212_cov_69.629955_61,Han_2018_ERR1398094_NODE_92_length_42212_cov_69.629955,K01448,cwlD;germination-specific N-acetylmuramoyl-L-alanine amidase,MISC,Sporulation,Sporulation proteins,Sporulation proteins/ other,M,Host Not Assigned or not a prokaryotic virus,NA,NA,NA
Han_2018_ERR1398096_NODE_215_length_30828_cov_9.672603_30,Han_2018_ERR1398096_NODE_215_length_30828_cov_9.672603,K01448,cwlD;germination-specific N-acetylmuramoyl-L-alanine amidase,MISC,Sporulation,Sporulation proteins,Sporulation proteins/ other,M,Bacteria,p__Firmicutes_A,f__Oscillospiraceae,FALSE
Han_2018_ERR1398098_NODE_2682_length_7804_cov_7.338237_5,Han_2018_ERR1398098_NODE_2682_length_7804_cov_7.338237,K01356,lexA;lexa repressor,MISC,Genetics,DNA repair/ recombination,NA,FM,Bacteria,p__Firmicutes_C,f__Megasphaeraceae,FALSE
Han_2018_ERR1398099_NODE_935_length_9472_cov_10.788574_4,Han_2018_ERR1398099_NODE_935_length_9472_cov_10.788574,K03469,ypeP;hypothetical protein,MISC,Sporulation,Sporulation proteins,Spore coat proteins,FM,Bacteria,p__Bacteroidota,f__Bacteroidaceae,NA
Han_2018_ERR1398100_NODE_1545_length_8818_cov_4.238389_4,Han_2018_ERR1398100_NODE_1545_length_8818_cov_4.238389,K00688,glgP;glycogen phosphorylase,MISC,Sporulation,Sporulation proteins,Sporulation proteins/ other,MKF,Bacteria,p__Firmicutes_A,f__Lachnospiraceae,TRUE
Han_2018_ERR1398100_NODE_39_length_132878_cov_102.545312_51,Han_2018_ERR1398100_NODE_39_length_132878_cov_102.545312,K07171,Endoribonuclease toxin,MISC,sporulation,sporulation,sporulation,M,Bacteria,p__Proteobacteria,f__Moraxellaceae,NA
Han_2018_ERR1398100_NODE_39_length_132878_cov_102.545312_108,Han_2018_ERR1398100_NODE_39_length_132878_cov_102.545312,K02051,ABC.SN.S; sulfonate/nitrate/taurine transport system substrate-binding protein,Transporters,NA,NA,NitT/TauT family transport system,M,Bacteria,p__Proteobacteria,f__Moraxellaceae,NA
Han_2018_ERR1398100_NODE_39_length_132878_cov_102.545312_108,Han_2018_ERR1398100_NODE_39_length_132878_cov_102.545312,K02051,ytlA;ABC transporter substrate-binding protein YtlA,MISC,Sporulation,Sporulation proteins,Sporulation proteins/ other,M,Bacteria,p__Proteobacteria,f__Moraxellaceae,NA
Han_2018_ERR1398103_NODE_1633_length_8571_cov_6.218060_11,Han_2018_ERR1398103_NODE_1633_length_8571_cov_6.218060,K03091,sigH;RNA polymerase sigma-H factor,MISC,RNA synthesis and degradation,Transcription,Sigma factors,FM,Host Not Assigned or not a prokaryotic virus,NA,NA,NA
Han_2018_ERR1398103_NODE_62_length_46123_cov_10.072306_61,Han_2018_ERR1398103_NODE_62_length_46123_cov_10.072306,K01449,cwlJ;cell wall hydrolase CwlJ,MISC,Sporulation,Sporulation proteins,Spore coat proteins,FM,Bacteria,p__Firmicutes_A,f__Oscillospiraceae,FALSE
Han_2018_ERR1398106_NODE_1851_length_6418_cov_37.572843_1,Han_2018_ERR1398106_NODE_1851_length_6418_cov_37.572843,K00626,acetyl-CoA C-acetyltransferase [EC:2.3.1.9] [RN:R00238],Energy,C1,NA,Dicarboxylate-hydroxybutyrate cycle,MKF,Bacteria,p__Firmicutes_A,f__Butyricicoccaceae,TRUE
