locus,title,description,function,product
BSU_34910,hisD,histidinol dehydrogenase,biosynthesis of histidine,histidinol dehydrogenase
BSU_38140,qoxD,cytochrome aa3 quinol oxidase (subunit IV),respiration,cytochrome aa3 quinol oxidase (subunit IV)
BSU_21750,sco,accessory lipoprotein required for assembly of the Cu(A) center of [[protein|72D5442C0EF3B404F7B615366E357B68C863CEB6|cytochrome c oxidase caa3]],maturation of [[protein|72D5442C0EF3B404F7B615366E357B68C863CEB6|cytochrome c oxidase caa3]],synthesis of cytochrome oxidase protein
BSU_37070,rpmE,ribosomal protein bL31,translation,ribosomal protein L31 (bL31)
BSU_00600,yabP,required for [wiki|sporulation] at a late stage,[wiki|sporulation],unknown
BSU_07430,yfmL,DEAD-box RNA helicase,RNA helicase,DEAD-box RNA helicase
BSU_27710,tgt,tRNA-guanine transglycosylase,tRNA modification,tRNA-guanine transglycosylase
BSU_08930,cspR,similar to tRNA (Um34/Cm34) methyltransferase,translation,tRNA (Um34/Cm34) methyltransferase homolog
BSU_08280,yfiI,similar to oxidoreductase,unknown,unknown
BSU_22400,dinG,ATP-dependent DNA helicase,response to DNA damage,ATP-dependent DNA helicase
BSU_14280,moeA,molybdopterin molybdenumtransferase,nitrate respiration,molybdopterin molybdenumtransferase
BSU_20170,yosC,unknown,unknown,unknown
BSU_06620,ligA,DNA ligase (NAD-dependent),replication,DNA ligase (NAD-dependent)
BSU_05390,ydfF,similar to transcriptional regulator ([wiki|ArsR family]),unknown,unknown
BSU_25990,yqbS,similar to phage-related protein,unknown,unknown
BSU_36200,ywqI,unknown,unknown,unknown
BSU_22660,trpC,indole-3-glycerol-phosphate synthase,biosynthesis of tryptophan,indole-3-glycerol-phosphate synthase
BSU_32730,metQ,methionine [wiki|ABC transporter] (binding lipoprotein),methionine uptake,methionine [wiki|ABC transporter] (binding lipoprotein)
BSU_35440,yvyF,similar to flagellar protein,unknown,unknown
BSU_36990,ywkF,sporulation protein,unknown,sporulation protein
BSU_09620,yhdW,similar to glycerophosphodiester phosphodiesterase,unknown,unknown
BSU_06269,ydzJ,unknown,unknown,unknown
BSU_misc_RNA_12,BSU_misc_RNA_12,null,null,NA
BSU_06550,yecA,similar to L-methionine and branched chain amino acids transporter,unknown,unknown
BSU_misc_RNA_48,BSU_misc_RNA_48,null,null,NA
BSU_38180,ywzA,general stress protein,unknown,unknown
BSU_08020,yfjO,similar to ribosomal RNA methyltransferase,unknown,putative rRNA methyltransferase
BSU_03789,yczN,putative toxin,unknown,unknown
BSU_11460,oppD,oligopeptide [wiki|ABC transporter ](ATP-binding protein),initiation of [wiki|sporulation],competence development
BSU_22590,ypiA,unknown,unknown,unknown
BSU_05240,ydeL,similar to transcriptional regulator ([wiki|MocR/ GabR family]),unknown,unknown
BSU_30280,melD,[wiki|ABC transporter] subunit for melibiose and raffinose (permease),uptake of melibiose and raffinose,[wiki|ABC transporter] (permease)
BSU_rRNA_8,rrnJ-5S,5S rRNA,translation,ribosomal RNA-5S
BSU_22230,ptsA,[[category|SW.1.2.2|PTS]] EIIA component,uptake and phosphorylation of maltose,N-acetylglucosamine
BSU_12930,dppB,dipeptide [wiki|ABC transporter] (permease),uptake of dipeptides,dipeptide [wiki|ABC transporter] (permease)
BSU_39950,yxaJ,unknown,unknown,unknown
BSU_09210,yhcT,similar to pseudouridylate synthase,RNA modification,putative [wiki|sporulation]-specific pseudouridylate synthase
BSU_13270,ykoI,unknown,unknown,unknown
BSU_15730,fmt,methionyl-tRNA formyltransferase,formylation of Met-tRNA(fMet),methionyl-tRNA formyltransferase
BSU_26510,yrkH,unknown,unknown,unknown
BSU_14720,ylaB,unknown,unknown,unknown
BSU_32830,fadA,acetyl-CoA C-acyltransferase,fatty acid degradation,acetyl-CoA C-acyltransferase
BSU_32040,yuiF,membrane protein,unknown,unknown
BSU_misc_RNA_61,mswI,NA,NA,NA
BSU_02070,csgA,required for the ability of the germinating spore to resume vegetative growth,spore germination,unknown
BSU_17280,ymaD,putative peroxiredoxin,protection against oxidative stress,putative peroxiredoxin
BSU_13520,ykrP,putative membrane-bound acyltransferase,unknown,unknown
BSU_07410,yfmN,unknown,unknown,unknown
BSU_33250,rsiO,anti-Sig([[protein|6359025A73C0BD313F5BCC6F56FE88B820902AAA]]-[[protein|AE8D4F07EFB17DA727D80229C3E72075928AA352]]),control of Sig([[protein|6359025A73C0BD313F5BCC6F56FE88B820902AAA]]-[[protein|AE8D4F07EFB17DA727D80229C3E72075928AA352]]) activity,anti-Sig([[protein|6359025A73C0BD313F5BCC6F56FE88B820902AAA]]-[[protein|AE8D4F07EFB17DA727D80229C3E72075928AA352]])
BSU_32630,yurR,similar to glycine oxidase,unknown,unknown
BSU_27490,yrrB,unknown,unknown,unknown
BSU_15260,ylxX,unknown,unknown,unknown
BSU_39600,yxeC,unknown,unknown,unknown
BSU_00250,xpaC,hydrolysis of 5-bromo-4-chloroindolyl phosphate,unknown,unknown
BSU_21190,yomX,unknown,unknown,unknown
BSU_misc_RNA_20,BSU_misc_RNA_20,null,null,NA
BSU_30180,ytbQ,unknown,unknown,unknown
BSU_20040,yosP,similar to ribonucleoside-diphosphate reductase (beta subunit),unknown,unknown
BSU_25569,yqzM,unknown,unknown,unknown
BSU_39150,yxiJ,unknown,unknown,unknown
BSU_10420,comK,competence transcription factor (CTF),regulation of [wiki|genetic competence] and DNA uptake,competence transcription factor (CTF)
BSU_23616,mciZ,[[protein|41872E2EF00C79918DD077F2EF78F37E24FEB110]] inhibition peptide,inhibits GTPase activity of [[protein|41872E2EF00C79918DD077F2EF78F37E24FEB110]] and Z ring formation during sporulation,[[protein|41872E2EF00C79918DD077F2EF78F37E24FEB110]] inhibition peptide
BSU_22390,ypmA,unknown,unknown,unknown
BSU_39750,iolB,formation of 2-deoxy-5-keto-gluconic acid (4th reaction),myo-inositol catabolism,formation of 2-deoxy-5-keto-gluconic acid (4th reaction)
BSU_04745,BSU_04745,NA,NA,NA
BSU_23780,yqjQ,similar to ketoacyl reductase,unknown,unknown
BSU_21990,ypdQ,similar to RNase HI,unknown,unknown
BSU_27809,yrzT,unknown,unknown,unknown
BSU_26450,yrkN,unknown,unknown,unknown
BSU_25090,yqfW,unknown,unknown,unknown
BSU_24630,sipW,bifunctional signal peptidase I that controls surface-adhered [wiki|biofilm formation] and processes [[protein|BF97457E986656E4A9FE7A858F5BDF1759850D5C]] and [[protein|8C13E1EF5437DD8F9906643DEDCBB18DABE3B9E3]],[wiki|biofilm formation],signal peptidase I
BSU_tRNA_34,trnD-Asp,null,translation,transfer RNA-Asp
BSU_17330,miaA,tRNA isopentenylpyrophosphate transferase,tRNA modification,tRNA isopentenylpyrophosphate transferase
BSU_08380,yfiS,similar to multidrug resistance protein,unknown,unknown
BSU_37030,racA,cell division protein,NA,cell division protein
BSU_32660,glxB,glyoxalase II,detoxification of methylglyoxal,glyoxalase II
BSU_19680,yozE,unknown,unknown,unknown
BSU_18860,yozH,unknown,unknown,unknown
BSU_36740,ywmC,unknown,unknown,unknown
BSU_21925,BSU_21925,NA,NA,NA
BSU_15200,murD,UDP-N-acetylmuramoyl-L-alanyl-D-glutamate synthetase,peptidoglycan precursor biosynthesis,UDP-N-acetylmuramoyl-L-alanyl-D-glutamate synthetase
BSU_16010,ylqD,unknown,unknown,unknown
BSU_15800,yloS,thiamine pyrophosphokinase,thiamine salvage,thiamine pyrophosphokinase
BSU_02220,ybfI,similar to transcription factor ([wiki|AraC family]),unknown,unknown
BSU_24190,yqiI,secreted N-acetylmuramoyl-L-alanine amidase,cell wall metabolism,peptidoglycan hydrolase
BSU_11810,spoVIF,required for spore coat assembly and resistance,required for spore coat assembly and resistance,unknown
BSU_22980,ypbG,unknown,unknown,unknown
BSU_30050,murJ,lipid II flippase,export of lipid II,lipid II flippase
BSU_06990,rhiG,[wiki|ABC transporter] (membrane protein) for rhamnose oligosaccharides,uptake of rhamnose oligosaccharides,rhamnose oligosaccharide [wiki|ABC transporter]
BSU_01700,murQ,N-acetyl-muramic acid-6P etherase (cleaves lactate from N-acetylmuramic acid),cell wall turnover,N-acetyl-muramic acid-6P etherase
BSU_11530,coiA,protein involved in establishment of DNA transport in competence,genetic competence,unknown
BSU_08560,yfhJ,unknown,unknown,unknown
BSU_25820,yqcI,unknown,unknown,unknown
BSU_26020,yqbP,similar to phage-related protein,unknown,unknown
BSU_32640,sspG,small acid-soluble spore protein (minor),protection of spore DNA,small acid-soluble spore protein (minor)
BSU_10300,aprE,major extracellular alkaline protease,protein degradation,extracellular alkaline serine protease (subtilisin E)
BSU_06600,pcrB,heptaprenylglyceryl phosphate synthase,unknown,heptaprenylglyceryl phosphate synthase
BSU_31560,nupP,[wiki|ABC transporter] for guanosine (membrane protein),uptake of guanosine,[wiki|ABC transporter] for guanosine
BSU_24940,sweC,cofactor of the [[protein|8BF7EB539B53D75BD30BD30ABF27106D6A0B030B]]-[[protein|E22D0F0AC56DC95AFC02E7F55FCD5FAA44B6B490]] complex,control of [[protein|4F9D70C4BB4FCA809BEAC341C3F8122FB7FD8872]] activity in peptidoglycan elongation,cofactor of the [[protein|8BF7EB539B53D75BD30BD30ABF27106D6A0B030B]]-[[protein|E22D0F0AC56DC95AFC02E7F55FCD5FAA44B6B490]] complex
BSU_12671,xkdN,unknown PBSX prophage protein,unknown,unknown
BSU_21090,yonH,unknown,unknown,unknown
BSU_21140,yonC,unknown,unknown,unknown
BSU_misc_RNA_39,BSU_misc_RNA_39,null,null,NA
BSU_05580,ydgC,similar to transcription factor ([wiki|TetR family]),unknown,unknown
BSU_06170,fruC,fructokinase,utilization of sucrose and glucitol,fructokinase
BSU_35020,nagB,glucosamine-6-phosphate deaminase,N-acetylglucosamine utilization,glucosamine-6-phosphate deaminase
BSU_31330,yugN,unknown,unknown,unknown
BSU_01290,rpsN,ribosomal protein (uS14),translation,ribosomal protein S14 (uS14)
BSU_11180,yitZ,similar to multidrug resistance protein,unknown,unknown
BSU_01440,rplQ,ribosomal protein bL17,translation,ribosomal protein L17 (bL17)
BSU_16070,ylqG,unknown,unknown,unknown
BSU_31990,dhbC,isochorismate synthase,biosynthesis of the siderophore bacillibactin,isochorismate synthase
BSU_17267,ymzE/2,part of the ymzE pseudogene,unknown,unknown
BSU_24950,pstBB,phosphate [wiki|ABC transporter ](ATP-binding protein),high-affinity phosphate uptake,phosphate [wiki|ABC transporter] (ATP-binding protein)
BSU_11420,trpS,tryptophanyl-tRNA synthetase,translation,tryptophanyl-tRNA synthetase
BSU_00150,dgk,deoxyguanosine kinase,purine salvage and interconversion,deoxyguanosine kinase
BSU_06430,purK,phosphoribosylaminoimidazole carboxylase (ATP-dependent),purine biosynthesis,phosphoribosylaminoimidazole carboxylase (ATP-dependent)
BSU_39290,yxxD,antitoxin,inhibition of the cytotoxic activity of [[protein|BD8C0563C7123B6DEC1EEB602BDF2C9D92D34991]],antitoxin
BSU_02700,lip,extracellular lipase,lipid degradation,extracellular lipase
BSU_28890,yscB,unknown,unknown,unknown
BSU_22170,ypsC,similar to SAM-dependent 23S rRNA methyltransferase,rRNA modification,23S rRNA methyltransferase
BSU_20960,yopA,unknown,unknown,unknown
BSU_28440,sdhA,succinate dehydrogenase (flavoprotein subunit),TCA cycle,succinate dehydrogenase (flavoprotein subunit)
BSU_33540,azoR2,similar to NAD(P)H dehydrogenase (quinone),resistance to 2-methylhydroquinone,azoreductase
BSU_01100,rpsL,ribosomal protein uS12,translation,ribosomal protein S12 (uS12)
BSU_06000,ydiK,unknown lipoprotein,unknown,unknown
BSU_37570,mmr,methylenomycin A resistance protein,resistance to methylenomycin A,methylenomycin A resistance protein
BSU_25300,cdd,cytidine deaminase,pyrimidine interconversion,cytidine deaminase
BSU_06700,yerO,similar to transcriptional regulator ([wiki|TetR family]),unknown,unknown
BSU_28250,leuD,3-isopropylmalate dehydratase (small subunit),biosynthesis of leucine,3-isopropylmalate dehydratase (small subunit)
BSU_08690,ygaD,similar to [wiki|ABC transporter] (fused ATP-binding and membrane protein),unknown,[wiki|ABC transporter] (fused ATP-binding and membrane protein)
BSU_misc_RNA_91,pswI,NA,NA,NA
BSU_rRNA_29,rrnH-23S,23S rRNA,translation,ribosomal RNA-23S
BSU_15110,ylbQ,2-dehydropantoate 2-reductase,biosynthesis of coenzyme A,2-dehydropantoate 2-reductase
BSU_25740,yqeB,unknown,unknown,unknown
BSU_32390,yunF,unknown,unknown,unknown
BSU_32270,yutH,spore coat protein,protection of the spore,spore coat protein
BSU_33270,yvrO,similar to amino acid [wiki|ABC transporter ](ATP-binding protein),unknown,[wiki|ABC transporter ](ATP-binding protein)
BSU_21930,cspD,cold shock protein,RNA chaperone,cold shock protein
BSU_01810,adaA,trigger enzyme,adaptive response to alkylative DNA damage,trigger enzyme
BSU_22150,ypvA,similar to ATP-dependent helicase,unknown,unknown
BSU_08400,yfiU,similar to multidrug-efflux transporter,unknown,unknown
BSU_33190,yvrD,similar to ketoacyl-carrier protein reductase,unknown,unknown
BSU_11200,argJ,N-acetylglutamate synthase,biosynthesis of arginine,N-acetylglutamate synthase
BSU_01000,secE,preprotein translocase subunit,protein secretion,preprotein translocase subunit
BSU_13960,ykwC,beta-hydroxyacid dehydrogenase,unknown,beta-hydroxyacid dehydrogenase
BSU_tRNA_68,trnB-Gly2,NA,translation,transfer RNA-Gly
BSU_13545,BSU_13545,NA,NA,NA
BSU_30090,yteU,unknown,unknown,unknown
BSU_18740,yozG,similar to transcription regulator ([wiki|Xre family]),unknown,unknown
BSU_28270,leuB,3-isopropylmalate dehydrogenase,biosynthesis of leucine,3-isopropylmalate dehydrogenase
BSU_31510,yufK,unknown,unknown,unknown
BSU_31500,yuxK,unknown,unknown,unknown
BSU_23900,yqjF,unknown,unknown,unknown
BSU_09940,yhaL,[[protein|3CB24D493B3282278B7DC61CE3C793DFA815F9E2]]-dependent [wiki|sporulation] gene,[[category|SW.4.2]],unknown
BSU_32260,hom,homoserine dehydrogenase (NADPH),biosynthesis of methionine and threonine,homoserine dehydrogenase (NADPH)
BSU_08800,ygaK,uncharacterized FAD-linked oxidoreductase,unknown,unknown
BSU_15120,bshC,cysteine-adding enzyme required for the synthesis of bacillithiol,biosynthesis of bacillithiol,cysteine-adding enzyme
BSU_10780,yisN,unknown,unknown,unknown
BSU_tRNA_5,trnO-Ile,null,translation,transfer RNA-Ile
BSU_27960,rplU,ribosomal protein bL21,translation,ribosomal protein L21 (bL21)
BSU_19750,cgeE,maturation of the outermost layer of the spore,maturation of the outermost layer of the spore,unknown
BSU_16825,ymfD,exporter for the siderophore bacillibactin,iron acquisition,bacillibactin exporter
BSU_32340,lytH,differentiation-associated peptidoglycan hydrolase involved in endospore cortex maturation,endospore cortex maturation,peptidoglycan hydrolase
BSU_31440,patB,cystathione-beta-lyase,biosynthesis of methionine,cystathione-beta-lyase
BSU_21200,yomW,unknown,unknown,unknown
BSU_11250,argF,ornithine carbamoyltransferase,biosynthesis of arginine,ornithine carbamoyltransferase
BSU_21910,metA,homoserine O-succinyltransferase,biosynthesis of methionine,homoserine O-succinyltransferase
BSU_22720,cheR,MCPs methyltransferase,motility,chemotaxis
BSU_19669,yoyF,unknown,unknown,unknown
BSU_21030,yonP,unknown,unknown,unknown
BSU_11480,yjbB,similar to macrolide-efflux transporter,unknown,unknown
BSU_12730,xkdT,PBSX prophage,unknown,unknown
BSU_29710,acuC,protein deacetylase for the control of [[protein|6671E7D85E99D349679F0E9D825DC035D10FFD2E]] activity,control of [[protein|6671E7D85E99D349679F0E9D825DC035D10FFD2E]] activity,[[protein|6671E7D85E99D349679F0E9D825DC035D10FFD2E]] deacetylase
BSU_01690,murR,transcriptional repressor of genes required for the utilization of N-acetylmuramic acid,regulation of muramic acid utilization,transcriptional repressor
BSU_26180,yqbA,similar to phage-related protein,unknown,unknown
BSU_13400,ligD,DNA repair polymerase/ ligase in non-homologous end joining DNA repair,non-homologous end joining DNA repair,repair of gapped DNA substrates
BSU_21599,yoyK/2,part of the yoyK pseudogene,unknown,unknown
BSU_33160,yvrA,[wiki|ABC transporter] (ATP binding domain) for cobalamin,uptake of cobalamin,[wiki|ABC transporter] (ATP binding domain)
BSU_27760,csbX,general stress protein,unknown,unknown
BSU_21440,bdbB,thiol-disulfide oxidoreductase,oxidative folding of proteins,thiol-disulfide oxidoreductase
BSU_17810,yndK,unknown,unknown,unknown
BSU_31970,dhbB,isochorismatase,biosynthesis of the siderophore bacillibactin,isochorismatase
BSU_21520,yolC,unknown,unknown,unknown
BSU_36220,ywqG,unknown,unknown,unknown
BSU_27860,nadC,nicotinate-nucleotide diphosphorylase (carboxylating),"NAD biosynthesis",nicotinate-nucleotide diphosphorylase (carboxylating)
BSU_19999,yojW,unknown,unknown,unknown
BSU_19720,yodR,similar to butyrate-acetoacetate CoA-transferase,unknown,unknown
BSU_11549,yizD,[wiki|sporulation] protein,unknown,[wiki|sporulation] protein
BSU_17650,yncE,unknown,unknown,unknown
BSU_10180,yhfC,unknown,unknown,unknown
BSU_19740,yodT,similar to adenosylmethionine-8-amino-7-oxononanoate aminotransferase,unknown,unknown
BSU_28350,ysnB,putative metallophosphoesterase,unknown,putative metallophosphoesterase
BSU_02650,pcp,pyrrolidone-carboxylate peptidase,removal of the N-terminal pyroglutamyl group from peptides,pyrrolidone-carboxylate peptidase
BSU_17180,pksJ,polyketide synthase,polyketide synthesis,polyketide synthase
BSU_07530,yfmB,unknown,unknown,unknown
BSU_37110,ywjH,transaldolase,pentose phosphate pathway,transaldolase
BSU_39970,yxaH,putative transporter,unknown,unknown
BSU_02880,yceB,similar to monooxygenase,unknown,unknown
BSU_05060,lrpB,transcriptional regulator ([wiki|Lrp family]) involved in repression of [[gene|BAE8062DA8538C9C83FFBA9684BECE9613EEFD2F]] transcription and [[protein|2111AC1AE49D1006E10DC127BF5B7A0327DE94A7]]-dependent [wiki|sporulation],repression of [[gene|BAE8062DA8538C9C83FFBA9684BECE9613EEFD2F]] transcription and [[protein|2111AC1AE49D1006E10DC127BF5B7A0327DE94A7]]-dependent [wiki|sporulation],transcription regulator ([wiki|Lrp family])
BSU_35120,yvlB,unknown,unknown,unknown
BSU_25060,yqfZ,unknown,unknown,unknown
BSU_01330,rpsE,ribosomal protein uS5,translation,ribosomal protein S5 (uS5)
BSU_10330,yhfQ,iron/ citrate [wiki|ABC transporter] (solute-binding protein),iron uptake,iron/ citrate [wiki|ABC transporter] (solute-binding protein)
BSU_23590,ansR,transcriptional repressor ([wiki|Xre family]) of the [[gene|FED8E46AA1C4EFD27796D5DFBBB1663EBF336BFD]]-[[gene|5FAE80F22AEBAE63FC3C872EC651166A65C34DC2]] operon,negative regulation of the [[gene|FED8E46AA1C4EFD27796D5DFBBB1663EBF336BFD]]-[[gene|5FAE80F22AEBAE63FC3C872EC651166A65C34DC2]] operon,transcriptional regulator ([wiki|Xre family])
BSU_40200,yydD,unknown,unknown,unknown
BSU_39710,iolF,D-chiro-inositol transport protein,D-chiro-inositol uptake,D-chiro-inositol transport protein
BSU_30110,yteS,unknown,unknown,unknown
BSU_23530,spoIIM,required for dissolution of the septal cell wall,dissolution of the septal cell wall,sporulation protein
BSU_05000,spbK,protection of populations of ICEBs1 host cells from predation by the lysogenic phage SPβ,protection of populations of ICEBs1 host cells from predation by the lysogenic phage SPβ,TIR (Toll-interleukin-1 receptor)-domain protein
BSU_28280,leuA,2-isopropylmalate synthase,biosynthesis of leucine,2-isopropylmalate synthase
BSU_33700,opuBD,choline and arsenocholine [wiki|ABC transporter] (membrane protein),compatible solute transport,choline and arsenocholine [wiki|ABC transporter] (membrane protein)
BSU_22630,trpA,tryptophan synthase (alpha subunit),biosynthesis of tryptophan,tryptophan synthase (alpha subunit)
BSU_12672,xkzB,unknown PBSX prophage protein,unknown,unknown
BSU_26430,yrkP,two-component response regulator ([wiki|OmpR family]),unknown,two-component response regulator ([wiki|OmpR family])
BSU_misc_RNA_40,BSU_misc_RNA_40,null,null,NA
BSU_06310,gabP,gamma-amino butyric acid permease and minor proline permease,utilization of gamma-amino butyric acid,gamma-amino butyric acid permease
BSU_03280,nasF,uroporphyrinogen methyltransferase,nitrate respiration,uroporphyrinogen methyltransferase
BSU_12229,yjzI,unknown,unknown,unknown
BSU_04600,ydbT,resistence against antimicrobial compounds from B. amyloliquefaciens,confers resistence against antimicrobial compounds from B. amyloliquefaciens,unknown
BSU_10790,asnO,asparagine synthase (glutamine-hydrolysing),biosynthesis of asparagine,asparagine synthase (glutamine-hydrolysing)
BSU_08370,yfiR,transcriptional regulator ([wiki|TetR family]) of the [[gene|09D56215645F3E13803704F96FC6AD3FAAD58EF4]]-[[gene|yfiR ]]operon,control of [[gene|yfiS ]]expression,transcriptional regulator ([wiki|TetR family])
BSU_01389,ybzG,unknown,unknown,unknown
BSU_23550,mleA,malic enzyme,malate utilization,"NAD-dependent malate dehydrogenase"
BSU_19710,yodQ,putative deacylase,unknown,putative deacylase
BSU_12649,ykzM,unknown PBSX prophage protein,unknown,unknown
BSU_38470,ywaD,double-zinc aminopeptidase,unknown,double-zinc aminopeptidase
BSU_05650,ydgH,similar to drug exporter,unknown,unknown
BSU_30790,menE,o-succinylbenzoate-CoA ligase,biosynthesis of menaquinone,o-succinylbenzoate-CoA ligase
BSU_13320,ykzB,unknown,unknown,unknown
BSU_29860,ytoP,similar to glutamyl aminopeptidase,unknown,putative glutamyl aminopeptidase
BSU_20530,yoqS,unknown,unknown,unknown
BSU_04880,ydcS,unknown,unknown,unknown
BSU_04480,ydbI,unknown,unknown,unknown
BSU_09100,cspB,major cold-shock protein,RNA chaperone,major cold-shock protein
BSU_00970,yacP,[wiki|ribosome]-associated A site endoribonuclease,ribosome-dependent mRNA decay,A site endoribonuclease
BSU_31590,yufS,unknown,unknown,unknown
BSU_tRNA_39,trnD-His,transfer RNA-His,translation,transfer RNA-His
BSU_17990,sspO,small acid-soluble spore protein (minor),protection of spore DNA,small acid-soluble spore protein (minor)
BSU_19900,yotF,similar to 3-hydroxy-3-methylglutaryl-CoA lyase,unknown,unknown
BSU_27240,yrhC,unknown,unknown,unknown
BSU_05350,ydfB,similar to GCN5-related N-acetyltransferase,unknown,unknown
BSU_29690,acuA,protein acetylase for the control of [[protein|AcsA ]]activity,control of [[protein|AcsA ]]activity,Gcn5-related N-acetyltransferase
BSU_33420,nhaK,cation/H<sup>+</sup> antiporter,monovalent cation export,cation/H<sup>+</sup> antiporter
BSU_31780,yueH,unknown,unknown,unknown
BSU_26680,yrdK,unknown,unknown,unknown
BSU_18550,yoaC,similar to xylulokinase,unknown,unknown
BSU_34920,hisG,ATP phosphoribosyltransferase,biosynthesis of histidine,ATP phosphoribosyltransferase
BSU_21970,ypeP,similar to RNase HI,unknown,unknown
BSU_32170,dapF,diaminopimelate epimerase,biosynthesis of lysine and peptidoglycan,diaminopimelate epimerase
BSU_03370,yckA,similar to amino acid [wiki|ABC transporter] (permease),unknown,unknown
BSU_03840,ycnB,c-di-AMP exporter,secretion of cyclic di-AMP,c-di-AMP exporter
BSU_36620,ywnB,unknown,unknown,unknown
BSU_07130,lplD,alpha-galacturonidase,utilization of pectin,alpha-galacturonidase
BSU_10410,yhzC,unknown,unknown,unknown
BSU_34500,yvdR,similar to multidrug-efflux transporter,unknown,subunit of unidentified multidrug transporter
BSU_28570,yshE,unknown,unknown,unknown
BSU_06250,ydjM,member of the [regulon|protein:7F340423A34CE40D1F1AA8D373F7C4B859A6496D|walR regulon],may be involved in cell wall metabolism ([regulon|protein:7F340423A34CE40D1F1AA8D373F7C4B859A6496D|walR regulon]),unknown
BSU_20270,yorS,putative SPBc2 prophage-derived 5'(3')-deoxyribonucleotidase,unknown,unknown
BSU_17520,ynaD,similar to ribosomal-protein-alanine N-acetyltransferase,unknown,unknown
BSU_18090,parE,subunit of DNA topoisomerase IV,chromosome segregation and compaction,resolution of head-on [[category|SW.3.1.1]]-[[category|SW.3.2.1]] conflicts
BSU_28410,gerE,transcriptional regulator (repressor or activator) of a subset of [[protein|24F7FD5C7C3A68BB2760ABB8CBD8FBD65E5FF7D4]]-dependent late spore coat genes,regulation of [[protein|24F7FD5C7C3A68BB2760ABB8CBD8FBD65E5FF7D4]]-dependent gene expression,transcriptional regulator (LuxR-FixJ family)
BSU_13720,queC,synthesis of the modified ribonucleotide queuosine,tRNA modification,unknown
BSU_28840,ysdA,unknown,unknown,unknown
BSU_tRNA_45,trnS-Asn,null,translation,transfer RNA-Asn
BSU_36940,ywlD,unknown,unknown,unknown
