category id,gene,locus tag,category1,category2,category3,category4,category5
SW 1.1.1.1,BSU_22490,dapB,Cellular processes,Cell envelope and cell division,Cell wall synthesis,Biosynthesis of peptidoglycan,
SW 1.1.1.1,BSU_00500,gcaD,Cellular processes,Cell envelope and cell division,Cell wall synthesis,Biosynthesis of peptidoglycan,
SW 1.1.1.1,BSU_15220,murG,Cellular processes,Cell envelope and cell division,Cell wall synthesis,Biosynthesis of peptidoglycan,
SW 1.1.1.1,BSU_14040,ldt,Cellular processes,Cell envelope and cell division,Cell wall synthesis,Biosynthesis of peptidoglycan,
SW 1.1.1.1,BSU_04230,amj,Cellular processes,Cell envelope and cell division,Cell wall synthesis,Biosynthesis of peptidoglycan,
SW 1.1.1.1,BSU_09310,pgcA,Cellular processes,Cell envelope and cell division,Cell wall synthesis,Biosynthesis of peptidoglycan,
SW 1.1.1.1,BSU_15180,murE,Cellular processes,Cell envelope and cell division,Cell wall synthesis,Biosynthesis of peptidoglycan,
SW 1.1.1.1,BSU_29790,murC,Cellular processes,Cell envelope and cell division,Cell wall synthesis,Biosynthesis of peptidoglycan,
SW 1.1.1.1,BSU_16750,asd,Cellular processes,Cell envelope and cell division,Cell wall synthesis,Biosynthesis of peptidoglycan,
SW 1.1.1.1,BSU_16770,dapA,Cellular processes,Cell envelope and cell division,Cell wall synthesis,Biosynthesis of peptidoglycan,
SW 1.1.1.2,BSU_35260,ftsE,Cellular processes,Cell envelope and cell division,Cell wall synthesis,Autolytic activity required for peptidoglycan synthesis (cell elongation),
SW 1.1.1.2,BSU_35250,ftsX,Cellular processes,Cell envelope and cell division,Cell wall synthesis,Autolytic activity required for peptidoglycan synthesis (cell elongation),
SW 1.1.1.2,BSU_34800,cwlO,Cellular processes,Cell envelope and cell division,Cell wall synthesis,Autolytic activity required for peptidoglycan synthesis (cell elongation),
SW 1.1.1.2,BSU_09420,lytE,Cellular processes,Cell envelope and cell division,Cell wall synthesis,Autolytic activity required for peptidoglycan synthesis (cell elongation),
SW 1.1.1.3,BSU_06720,dgkB,Cellular processes,Cell envelope and cell division,Cell wall synthesis,Biosynthesis of lipoteichoic acid,
SW 1.1.1.3,BSU_08600,csbB,Cellular processes,Cell envelope and cell division,Cell wall synthesis,Biosynthesis of lipoteichoic acid,
SW 1.1.1.3,BSU_07710,ltaS,Cellular processes,Cell envelope and cell division,Cell wall synthesis,Biosynthesis of lipoteichoic acid,
SW 1.1.1.3,BSU_33360,yvgJ,Cellular processes,Cell envelope and cell division,Cell wall synthesis,Biosynthesis of lipoteichoic acid,
SW 1.1.1.3,BSU_07260,yfnI,Cellular processes,Cell envelope and cell division,Cell wall synthesis,Biosynthesis of lipoteichoic acid,
SW 1.1.1.3,BSU_25310,dgkA,Cellular processes,Cell envelope and cell division,Cell wall synthesis,Biosynthesis of lipoteichoic acid,
SW 1.1.1.3,BSU_08610,yfhO,Cellular processes,Cell envelope and cell division,Cell wall synthesis,Biosynthesis of lipoteichoic acid,
SW 1.1.1.3,BSU_24840,yqgS,Cellular processes,Cell envelope and cell division,Cell wall synthesis,Biosynthesis of lipoteichoic acid,
SW 1.1.1.4,BSU_38510,dltB,Cellular processes,Cell envelope and cell division,Cell wall synthesis,Biosynthesis of teichoic acid,
SW 1.1.1.4,BSU_38530,dltD,Cellular processes,Cell envelope and cell division,Cell wall synthesis,Biosynthesis of teichoic acid,
SW 1.1.1.4,BSU_35730,tagE,Cellular processes,Cell envelope and cell division,Cell wall synthesis,Biosynthesis of teichoic acid,
SW 1.1.1.4,BSU_38520,dltC,Cellular processes,Cell envelope and cell division,Cell wall synthesis,Biosynthesis of teichoic acid,
SW 1.1.1.4,BSU_35760,tagB,Cellular processes,Cell envelope and cell division,Cell wall synthesis,Biosynthesis of teichoic acid,
SW 1.1.1.4,BSU_35770,tagC,Cellular processes,Cell envelope and cell division,Cell wall synthesis,Biosynthesis of teichoic acid,
SW 1.1.1.4,BSU_35740,tagD,Cellular processes,Cell envelope and cell division,Cell wall synthesis,Biosynthesis of teichoic acid,
SW 1.1.1.4,BSU_35530,tagO,Cellular processes,Cell envelope and cell division,Cell wall synthesis,Biosynthesis of teichoic acid,
SW 1.1.1.4,BSU_35720,tagF,Cellular processes,Cell envelope and cell division,Cell wall synthesis,Biosynthesis of teichoic acid,
SW 1.1.1.4,BSU_35700,tagH,Cellular processes,Cell envelope and cell division,Cell wall synthesis,Biosynthesis of teichoic acid,
SW 1.1.1.4,BSU_35660,mnaA,Cellular processes,Cell envelope and cell division,Cell wall synthesis,Biosynthesis of teichoic acid,
SW 1.1.1.4,BSU_35710,tagG,Cellular processes,Cell envelope and cell division,Cell wall synthesis,Biosynthesis of teichoic acid,
SW 1.1.1.4,BSU_38500,dltA,Cellular processes,Cell envelope and cell division,Cell wall synthesis,Biosynthesis of teichoic acid,
SW 1.1.1.4,BSU_38210,gtcA,Cellular processes,Cell envelope and cell division,Cell wall synthesis,Biosynthesis of teichoic acid,
SW 1.1.1.4,BSU_35690,ggaA,Cellular processes,Cell envelope and cell division,Cell wall synthesis,Biosynthesis of teichoic acid,
SW 1.1.1.4,BSU_35750,tagA,Cellular processes,Cell envelope and cell division,Cell wall synthesis,Biosynthesis of teichoic acid,
SW 1.1.1.4,BSU_35670,gtaB,Cellular processes,Cell envelope and cell division,Cell wall synthesis,Biosynthesis of teichoic acid,
SW 1.1.1.4,BSU_38540,dltE,Cellular processes,Cell envelope and cell division,Cell wall synthesis,Biosynthesis of teichoic acid,
SW 1.1.1.4,BSU_09310,pgcA,Cellular processes,Cell envelope and cell division,Cell wall synthesis,Biosynthesis of teichoic acid,
SW 1.1.1.4,BSU_35680,ggaB,Cellular processes,Cell envelope and cell division,Cell wall synthesis,Biosynthesis of teichoic acid,
SW 1.1.1.5,BSU_35590,tuaC,Cellular processes,Cell envelope and cell division,Cell wall synthesis,Biosynthesis of teichuronic acid,
SW 1.1.1.5,BSU_35540,tuaH,Cellular processes,Cell envelope and cell division,Cell wall synthesis,Biosynthesis of teichuronic acid,
SW 1.1.1.5,BSU_35600,tuaB,Cellular processes,Cell envelope and cell division,Cell wall synthesis,Biosynthesis of teichuronic acid,
SW 1.1.1.5,BSU_35610,tuaA/2,Cellular processes,Cell envelope and cell division,Cell wall synthesis,Biosynthesis of teichuronic acid,
SW 1.1.1.5,BSU_35580,tuaD,Cellular processes,Cell envelope and cell division,Cell wall synthesis,Biosynthesis of teichuronic acid,
SW 1.1.1.5,BSU_35609,tuaA/1,Cellular processes,Cell envelope and cell division,Cell wall synthesis,Biosynthesis of teichuronic acid,
SW 1.1.1.5,BSU_35570,tuaE,Cellular processes,Cell envelope and cell division,Cell wall synthesis,Biosynthesis of teichuronic acid,
SW 1.1.1.5,BSU_35550,tuaG,Cellular processes,Cell envelope and cell division,Cell wall synthesis,Biosynthesis of teichuronic acid,
SW 1.1.1.5,BSU_35560,tuaF,Cellular processes,Cell envelope and cell division,Cell wall synthesis,Biosynthesis of teichuronic acid,
SW 1.1.1.6,BSU_35650,tagU,Cellular processes,Cell envelope and cell division,Cell wall synthesis,Export of anionic polymers and attachment to peptidoglycan,
SW 1.1.1.6,BSU_35700,tagH,Cellular processes,Cell envelope and cell division,Cell wall synthesis,Export of anionic polymers and attachment to peptidoglycan,
SW 1.1.1.6,BSU_35520,tagV,Cellular processes,Cell envelope and cell division,Cell wall synthesis,Export of anionic polymers and attachment to peptidoglycan,
SW 1.1.1.6,BSU_35710,tagG,Cellular processes,Cell envelope and cell division,Cell wall synthesis,Export of anionic polymers and attachment to peptidoglycan,
SW 1.1.1.6,BSU_35840,tagT,Cellular processes,Cell envelope and cell division,Cell wall synthesis,Export of anionic polymers and attachment to peptidoglycan,
SW 1.1.1.7,BSU_34440,pbpE,Cellular processes,Cell envelope and cell division,Cell wall synthesis,Penicillin-binding proteins,
SW 1.1.1.7,BSU_22320,ponA,Cellular processes,Cell envelope and cell division,Cell wall synthesis,Penicillin-binding proteins,
SW 1.1.1.7,BSU_15160,pbpB,Cellular processes,Cell envelope and cell division,Cell wall synthesis,Penicillin-binding proteins,
SW 1.1.1.7,BSU_23480,dacF,Cellular processes,Cell envelope and cell division,Cell wall synthesis,Penicillin-binding proteins,
SW 1.1.1.7,BSU_31490,pbpD,Cellular processes,Cell envelope and cell division,Cell wall synthesis,Penicillin-binding proteins,
SW 1.1.1.7,BSU_27310,pbpI,Cellular processes,Cell envelope and cell division,Cell wall synthesis,Penicillin-binding proteins,
SW 1.1.1.7,BSU_18350,dacC,Cellular processes,Cell envelope and cell division,Cell wall synthesis,Penicillin-binding proteins,
SW 1.1.1.7,BSU_13980,pbpH,Cellular processes,Cell envelope and cell division,Cell wall synthesis,Penicillin-binding proteins,
SW 1.1.1.7,BSU_15170,spoVD,Cellular processes,Cell envelope and cell division,Cell wall synthesis,Penicillin-binding proteins,
SW 1.1.1.7,BSU_00100,dacA,Cellular processes,Cell envelope and cell division,Cell wall synthesis,Penicillin-binding proteins,
SW 1.1.1.7,BSU_04140,pbpC,Cellular processes,Cell envelope and cell division,Cell wall synthesis,Penicillin-binding proteins,
SW 1.1.1.7,BSU_16950,pbpX,Cellular processes,Cell envelope and cell division,Cell wall synthesis,Penicillin-binding proteins,
SW 1.1.1.7,BSU_25000,pbpA,Cellular processes,Cell envelope and cell division,Cell wall synthesis,Penicillin-binding proteins,
SW 1.1.1.7,BSU_23190,dacB,Cellular processes,Cell envelope and cell division,Cell wall synthesis,Penicillin-binding proteins,
SW 1.1.1.7,BSU_37510,pbpG,Cellular processes,Cell envelope and cell division,Cell wall synthesis,Penicillin-binding proteins,
SW 1.1.1.7,BSU_10110,pbpF,Cellular processes,Cell envelope and cell division,Cell wall synthesis,Penicillin-binding proteins,
SW 1.1.1.8,BSU_36530,bcrC,Cellular processes,Cell envelope and cell division,Cell wall synthesis,Biosynthesis of the carrier lipid undecaprenylphosphate,
SW 1.1.1.8,BSU_16530,uppS,Cellular processes,Cell envelope and cell division,Cell wall synthesis,Biosynthesis of the carrier lipid undecaprenylphosphate,
SW 1.1.2,BSU_28020,mreC,Cellular processes,Cell envelope and cell division,Cell shape,,
SW 1.1.2,BSU_34760,glmR,Cellular processes,Cell envelope and cell division,Cell shape,,
SW 1.1.2,BSU_31160,yubA,Cellular processes,Cell envelope and cell division,Cell shape,,
SW 1.1.2,BSU_38120,rodA,Cellular processes,Cell envelope and cell division,Cell shape,,
SW 1.1.2,BSU_14470,mreBH,Cellular processes,Cell envelope and cell division,Cell shape,,
SW 1.1.2,BSU_36410,mbl,Cellular processes,Cell envelope and cell division,Cell shape,,
SW 1.1.2,BSU_28030,mreB,Cellular processes,Cell envelope and cell division,Cell shape,,
SW 1.1.2,BSU_31800,yueF,Cellular processes,Cell envelope and cell division,Cell shape,,
SW 1.1.2,BSU_22030,dynA,Cellular processes,Cell envelope and cell division,Cell shape,,
SW 1.1.2,BSU_28010,mreD,Cellular processes,Cell envelope and cell division,Cell shape,,
SW 1.1.2,BSU_16910,rodZ,Cellular processes,Cell envelope and cell division,Cell shape,,
SW 1.1.3.1,BSU_02810,cwlK,Cellular processes,Cell envelope and cell division,Cell wall degradation/ turnover,Autolysis,
SW 1.1.3.1,BSU_21350,cwlP,Cellular processes,Cell envelope and cell division,Cell wall degradation/ turnover,Autolysis,
SW 1.1.3.1,BSU_25900,cwlA,Cellular processes,Cell envelope and cell division,Cell wall degradation/ turnover,Autolysis,
SW 1.1.3.1,BSU_34440,pbpE,Cellular processes,Cell envelope and cell division,Cell wall degradation/ turnover,Autolysis,
SW 1.1.3.1,BSU_09420,lytE,Cellular processes,Cell envelope and cell division,Cell wall degradation/ turnover,Autolysis,
SW 1.1.3.1,BSU_04970,cwlT,Cellular processes,Cell envelope and cell division,Cell wall degradation/ turnover,Autolysis,
SW 1.1.3.1,BSU_34800,cwlO,Cellular processes,Cell envelope and cell division,Cell wall degradation/ turnover,Autolysis,
SW 1.1.3.1,BSU_25710,cwlH,Cellular processes,Cell envelope and cell division,Cell wall degradation/ turnover,Autolysis,
SW 1.1.3.1,BSU_12460,xlyB,Cellular processes,Cell envelope and cell division,Cell wall degradation/ turnover,Autolysis,
SW 1.1.3.1,BSU_18380,iseA,Cellular processes,Cell envelope and cell division,Cell wall degradation/ turnover,Autolysis,
SW 1.1.3.1,BSU_11570,cwlQ,Cellular processes,Cell envelope and cell division,Cell wall degradation/ turnover,Autolysis,
SW 1.1.3.1,BSU_19210,yocH,Cellular processes,Cell envelope and cell division,Cell wall degradation/ turnover,Autolysis,
SW 1.1.3.1,BSU_28930,lytS,Cellular processes,Cell envelope and cell division,Cell wall degradation/ turnover,Autolysis,
SW 1.1.3.1,BSU_28920,lytT,Cellular processes,Cell envelope and cell division,Cell wall degradation/ turnover,Autolysis,
SW 1.1.3.1,BSU_09370,lytF,Cellular processes,Cell envelope and cell division,Cell wall degradation/ turnover,Autolysis,
SW 1.1.3.1,BSU_12810,xlyA,Cellular processes,Cell envelope and cell division,Cell wall degradation/ turnover,Autolysis,
SW 1.1.3.1,BSU_21410,blyA,Cellular processes,Cell envelope and cell division,Cell wall degradation/ turnover,Autolysis,
SW 1.1.3.1,BSU_35640,lytA,Cellular processes,Cell envelope and cell division,Cell wall degradation/ turnover,Autolysis,
SW 1.1.3.1,BSU_31120,lytG,Cellular processes,Cell envelope and cell division,Cell wall degradation/ turnover,Autolysis,
SW 1.1.3.1,BSU_35630,lytB,Cellular processes,Cell envelope and cell division,Cell wall degradation/ turnover,Autolysis,
SW 1.1.3.1,BSU_12780,xepA,Cellular processes,Cell envelope and cell division,Cell wall degradation/ turnover,Autolysis,
SW 1.1.3.1,BSU_35780,lytD,Cellular processes,Cell envelope and cell division,Cell wall degradation/ turnover,Autolysis,
SW 1.1.3.1,BSU_35620,lytC,Cellular processes,Cell envelope and cell division,Cell wall degradation/ turnover,Autolysis,
SW 1.1.3.1,BSU_19410,cwlS,Cellular processes,Cell envelope and cell division,Cell wall degradation/ turnover,Autolysis,
SW 1.1.3.2,BSU_13820,ykvT,Cellular processes,Cell envelope and cell division,Cell wall degradation/ turnover,Autolysis/ based on similarity,
SW 1.1.3.2,BSU_30640,ytkC,Cellular processes,Cell envelope and cell division,Cell wall degradation/ turnover,Autolysis/ based on similarity,
SW 1.1.3.3,BSU_02360,gamA,Cellular processes,Cell envelope and cell division,Cell wall degradation/ turnover,Utilization of cell wall components,
SW 1.1.3.3,BSU_01700,murQ,Cellular processes,Cell envelope and cell division,Cell wall degradation/ turnover,Utilization of cell wall components,
SW 1.1.3.3,BSU_35010,nagA,Cellular processes,Cell envelope and cell division,Cell wall degradation/ turnover,Utilization of cell wall components,
SW 1.1.3.3,BSU_35020,nagB,Cellular processes,Cell envelope and cell division,Cell wall degradation/ turnover,Utilization of cell wall components,
SW 1.1.3.3,BSU_24190,yqiI,Cellular processes,Cell envelope and cell division,Cell wall degradation/ turnover,Utilization of cell wall components,
SW 1.1.3.3,BSU_01660,nagZ,Cellular processes,Cell envelope and cell division,Cell wall degradation/ turnover,Utilization of cell wall components,
SW 1.1.3.3,BSU_01680,murP,Cellular processes,Cell envelope and cell division,Cell wall degradation/ turnover,Utilization of cell wall components,
SW 1.1.3.3,BSU_02350,gamP,Cellular processes,Cell envelope and cell division,Cell wall degradation/ turnover,Utilization of cell wall components,
SW 1.1.3.3,BSU_01690,murR,Cellular processes,Cell envelope and cell division,Cell wall degradation/ turnover,Utilization of cell wall components,
SW 1.1.3.3,BSU_02370,gamR,Cellular processes,Cell envelope and cell division,Cell wall degradation/ turnover,Utilization of cell wall components,
SW 1.1.3.3,BSU_01670,amiE,Cellular processes,Cell envelope and cell division,Cell wall degradation/ turnover,Utilization of cell wall components,
SW 1.1.3.4,BSU_24830,yqgT,Cellular processes,Cell envelope and cell division,Cell wall degradation/ turnover,Endopeptidases,
SW 1.1.3.4,BSU_02810,cwlK,Cellular processes,Cell envelope and cell division,Cell wall degradation/ turnover,Endopeptidases,
SW 1.1.3.4,BSU_09420,lytE,Cellular processes,Cell envelope and cell division,Cell wall degradation/ turnover,Endopeptidases,
SW 1.1.3.4,BSU_32340,lytH,Cellular processes,Cell envelope and cell division,Cell wall degradation/ turnover,Endopeptidases,
SW 1.1.3.4,BSU_19410,cwlS,Cellular processes,Cell envelope and cell division,Cell wall degradation/ turnover,Endopeptidases,
SW 1.1.3.4,BSU_09370,lytF,Cellular processes,Cell envelope and cell division,Cell wall degradation/ turnover,Endopeptidases,
SW 1.1.3.4,BSU_34800,cwlO,Cellular processes,Cell envelope and cell division,Cell wall degradation/ turnover,Endopeptidases,
SW 1.1.3.5,BSU_31120,lytG,Cellular processes,Cell envelope and cell division,Cell wall degradation/ turnover,N-acetyl-β-D-glucosaminidases,
SW 1.1.3.5,BSU_35780,lytD,Cellular processes,Cell envelope and cell division,Cell wall degradation/ turnover,N-acetyl-β-D-glucosaminidases,
SW 1.1.3.6,BSU_24190,yqiI,Cellular processes,Cell envelope and cell division,Cell wall degradation/ turnover,Cell wall degradation/ turnover/ Additional genes,
SW 1.1.4,BSU_20460,pghZ,Cellular processes,Cell envelope and cell division,Capsule biosynthesis and degradation,,
SW 1.1.4,BSU_35880,capA,Cellular processes,Cell envelope and cell division,Capsule biosynthesis and degradation,,
SW 1.1.4,BSU_35900,capB,Cellular processes,Cell envelope and cell division,Capsule biosynthesis and degradation,,
SW 1.1.4,BSU_17820,pghL,Cellular processes,Cell envelope and cell division,Capsule biosynthesis and degradation,,
SW 1.1.4,BSU_17270,pghC,Cellular processes,Cell envelope and cell division,Capsule biosynthesis and degradation,,
SW 1.1.4,BSU_18410,ggt,Cellular processes,Cell envelope and cell division,Capsule biosynthesis and degradation,,
SW 1.1.4,BSU_35870,capE,Cellular processes,Cell envelope and cell division,Capsule biosynthesis and degradation,,
SW 1.1.4,BSU_35890,capC,Cellular processes,Cell envelope and cell division,Capsule biosynthesis and degradation,,
SW 1.1.4,BSU_35860,pgdS,Cellular processes,Cell envelope and cell division,Capsule biosynthesis and degradation,,
SW 1.1.4,BSU_12480,pghB,Cellular processes,Cell envelope and cell division,Capsule biosynthesis and degradation,,
SW 1.1.5,BSU_27370,yrrL,Cellular processes,Cell envelope and cell division,Cell wall/ other,,
SW 1.1.5,BSU_12990,ykfC,Cellular processes,Cell envelope and cell division,Cell wall/ other,,
SW 1.1.5,BSU_10770,wprA,Cellular processes,Cell envelope and cell division,Cell wall/ other,,
SW 1.1.5,BSU_23530,spoIIM,Cellular processes,Cell envelope and cell division,Cell wall/ other,,
SW 1.1.5,BSU_12980,ykfB,Cellular processes,Cell envelope and cell division,Cell wall/ other,,
SW 1.1.5,BSU_24830,yqgT,Cellular processes,Cell envelope and cell division,Cell wall/ other,,
SW 1.1.5,BSU_07980,pdaA,Cellular processes,Cell envelope and cell division,Cell wall/ other,,
SW 1.1.5,BSU_40390,walH,Cellular processes,Cell envelope and cell division,Cell wall/ other,,
SW 1.1.5,BSU_01530,cwlD,Cellular processes,Cell envelope and cell division,Cell wall/ other,,
SW 1.1.5,BSU_40400,walK,Cellular processes,Cell envelope and cell division,Cell wall/ other,,
SW 1.1.5,BSU_36750,spoIID,Cellular processes,Cell envelope and cell division,Cell wall/ other,,
SW 1.1.5,BSU_32340,lytH,Cellular processes,Cell envelope and cell division,Cell wall/ other,,
SW 1.1.5,BSU_15780,cpgA,Cellular processes,Cell envelope and cell division,Cell wall/ other,,
SW 1.1.5,BSU_17410,cwlC,Cellular processes,Cell envelope and cell division,Cell wall/ other,,
SW 1.1.5,BSU_40380,walI,Cellular processes,Cell envelope and cell division,Cell wall/ other,,
SW 1.1.5,BSU_39230,wapA,Cellular processes,Cell envelope and cell division,Cell wall/ other,,
SW 1.1.5,BSU_02600,cwlJ,Cellular processes,Cell envelope and cell division,Cell wall/ other,,
SW 1.1.5,BSU_40410,walR,Cellular processes,Cell envelope and cell division,Cell wall/ other,,
SW 1.1.5,BSU_25530,spoIIP,Cellular processes,Cell envelope and cell division,Cell wall/ other,,
SW 1.1.5,BSU_06250,ydjM,Cellular processes,Cell envelope and cell division,Cell wall/ other,,
SW 1.1.5,BSU_12100,pdaC,Cellular processes,Cell envelope and cell division,Cell wall/ other,,
SW 1.1.6,BSU_02200,ybfG,Cellular processes,Cell envelope and cell division,Cell wall/ other/ based on similarity,,
SW 1.1.6,BSU_05710,ydhD,Cellular processes,Cell envelope and cell division,Cell wall/ other/ based on similarity,,
SW 1.1.6,BSU_18180,yngB,Cellular processes,Cell envelope and cell division,Cell wall/ other/ based on similarity,,
SW 1.1.6,BSU_15020,ylbI,Cellular processes,Cell envelope and cell division,Cell wall/ other/ based on similarity,,
SW 1.1.6,BSU_00400,yabE,Cellular processes,Cell envelope and cell division,Cell wall/ other/ based on similarity,,
SW 1.1.6,BSU_27580,yrvJ,Cellular processes,Cell envelope and cell division,Cell wall/ other/ based on similarity,,
SW 1.1.7,BSU_11340,fabF,Cellular processes,Cell envelope and cell division,Membrane dynamics,,
SW 1.1.7,BSU_32350,fisB,Cellular processes,Cell envelope and cell division,Membrane dynamics,,
SW 1.1.7,BSU_31020,yuaF,Cellular processes,Cell envelope and cell division,Membrane dynamics,,
SW 1.1.7,BSU_31010,floT,Cellular processes,Cell envelope and cell division,Membrane dynamics,,
SW 1.1.7,BSU_22030,dynA,Cellular processes,Cell envelope and cell division,Membrane dynamics,,
SW 1.1.7,BSU_25380,floA,Cellular processes,Cell envelope and cell division,Membrane dynamics,,
SW 1.1.7,BSU_28030,mreB,Cellular processes,Cell envelope and cell division,Membrane dynamics,,
SW 1.1.8.1,BSU_27990,minD,Cellular processes,Cell envelope and cell division,Cell division,The Min system,
SW 1.1.8.1,BSU_28000,minC,Cellular processes,Cell envelope and cell division,Cell division,The Min system,
SW 1.1.8.1,BSU_15420,divIVA,Cellular processes,Cell envelope and cell division,Cell division,The Min system,
SW 1.1.8.1,BSU_35220,minJ,Cellular processes,Cell envelope and cell division,Cell division,The Min system,
SW 1.1.8.2,BSU_15150,ftsL,Cellular processes,Cell envelope and cell division,Cell division,Other genes,
SW 1.1.8.2,BSU_28240,ddcA,Cellular processes,Cell envelope and cell division,Cell division,Other genes,
SW 1.1.8.2,BSU_00620,divIC,Cellular processes,Cell envelope and cell division,Cell division,Other genes,
SW 1.1.8.2,BSU_15420,divIVA,Cellular processes,Cell envelope and cell division,Cell division,Other genes,
SW 1.1.8.2,BSU_15890,plsX,Cellular processes,Cell envelope and cell division,Cell division,Other genes,
SW 1.1.8.2,BSU_10750,yisK,Cellular processes,Cell envelope and cell division,Cell division,Other genes,
SW 1.1.8.2,BSU_00490,spoVG,Cellular processes,Cell envelope and cell division,Cell division,Other genes,
SW 1.1.8.2,BSU_23616,mciZ,Cellular processes,Cell envelope and cell division,Cell division,Other genes,
SW 1.1.8.2,BSU_14850,ftsW,Cellular processes,Cell envelope and cell division,Cell division,Other genes,
SW 1.1.8.2,BSU_17860,yneA,Cellular processes,Cell envelope and cell division,Cell division,Other genes,
SW 1.1.8.2,BSU_34750,whiA,Cellular processes,Cell envelope and cell division,Cell division,Other genes,
SW 1.1.8.2,BSU_29805,sftA,Cellular processes,Cell envelope and cell division,Cell division,Other genes,
SW 1.1.8.2,BSU_15280,ftsA,Cellular processes,Cell envelope and cell division,Cell division,Other genes,
SW 1.1.8.2,BSU_19640,yodL,Cellular processes,Cell envelope and cell division,Cell division,Other genes,
SW 1.1.8.2,BSU_22180,gpsB,Cellular processes,Cell envelope and cell division,Cell division,Other genes,
SW 1.1.8.2,BSU_00690,ftsH,Cellular processes,Cell envelope and cell division,Cell division,Other genes,
SW 1.1.8.2,BSU_28610,zapA,Cellular processes,Cell envelope and cell division,Cell division,Other genes,
SW 1.1.8.2,BSU_23000,ypbE,Cellular processes,Cell envelope and cell division,Cell division,Other genes,
SW 1.1.8.2,BSU_00880,disA,Cellular processes,Cell envelope and cell division,Cell division,Other genes,
SW 1.1.8.2,BSU_15290,ftsZ,Cellular processes,Cell envelope and cell division,Cell division,Other genes,
SW 1.1.8.2,BSU_40990,noc,Cellular processes,Cell envelope and cell division,Cell division,Other genes,
