locus,name,description,function,product,names,outlinks.uniprot,outlinks.subtilist
new_839233_839338_c,S266,"new RNA feature, intergenic region
",,intergenic region,S266,,
new_3509781_3509830_c,S1307,"new RNA feature, 3'UTR of lutR
",,3'UTR of lutR,S1307,,
new_2161801_2162107_c,S768,"new RNA feature, intergenic region
",,intergenic region,S768,,
BSU_00240,csfB,"anti-sigma factor, inhibitor of [[protein|SigG ]]and of [[protein|3CB24D493B3282278B7DC61CE3C793DFA815F9E2]]",control of [[protein|SigG ]]and [[protein|SigE ]]activity,inhibitor of [[protein|SigG ]]and [[protein|3CB24D493B3282278B7DC61CE3C793DFA815F9E2]],csfB;gin;yaaM,P37534,gene_detail BG10088
BSU_09780,yheC,ATP-binding spore coat protein,unknown,ATP-binding spore coat protein,yheC,O07544,gene_detail BG13035
new_1571801_1571902_c,S551,"new RNA feature, 5'UTR of ylbJ
",,5'UTR of ylbJ,S551,,
BSU_31670,yuxO,similar to thioesterase,unknown,unknown,yuxO;srfB,P14205,gene_detail BG10382
BSU_31730,yuzC,spore coat protein,protection of the spore,spore coat protein,yuzC,O32089,gene_detail+BG14052
BSU_13850,pfeT,"Fe<sup>2+</sup> efflux pump, P<sub>1B4</sub>-type ATPase, protects the cell against iron intoxication",protection against toxic iron,Fe<sup>2+</sup> efflux pump,pfeT;ykvW;zosA,O31688,gene_detail BG13325
new_1900515_1901611,S640,"new RNA feature, intergenic region
",,intergenic region,S640,,
BSU_25565,BSU_25565,annotated in RefSeq,,,,,
BSU_13360,ykoP,unknown,unknown,unknown,ykoP,O34495,gene_detail BG13260
new_1570575_1571849,S550,"new RNA feature, intergenic region
",,intergenic region,S550,,
BSU_15560,pyrE,orotate phosphoribosyltransferase,pyrimidine biosynthesis,orotate phosphoribosyltransferase,pyrE;pyrX,P25972,gene_detail+BG10720
new_3495702_3495768_c,S1306,"new RNA feature, 5'UTR of lutA
",,5'UTR of lutA,S1306,,
BSU_12110,yjfA,unknown,unknown,unknown,yjfA,O34554,gene_detail+BG13185
BSU_28475,lysCB,annotated in RefSeq,,,,,
new_667383_667465,S220,"new RNA feature, 5'UTR of gutB
",,5'UTR of gutB,S220,,
BSU_20830,yopN,unknown,unknown,unknown,yopN,P68581,gene_detail+BG13647
BSU_12170,yjgD,"general stress protein, survival of ethanol and paraquat stresses",survival of stress conditions,unknown,yjgD,O34681,gene_detail+BG13191
new_926651_926919_c,S289,"new RNA feature, independent transcript
",,independent transcript,S289,,
BSU_04430,ydbD,"general stress protein, similar to manganese-containing catalase",survival of ethanol stress,unknown,ydbD,P80878,gene_detail BG12071
BSU_21340,yomJ,similar to phage-related immunity protein,unknown,unknown,yomJ,O31975,gene_detail+BG13597
BSU_00560,spoVT,transcription activator and repressor of [[protein|5F24258282F3166B7696B9E9ABC1706E4D06C944]]-dependent genes,regulation of forespore gene expression,transcriptional regulator,spoVT;yabL,P37554,gene_detail BG10119
BSU_10480,yhjE,unknown,unknown,unknown,yhjE,O07559,gene_detail+BG13072
BSU_13290,ykzD,unknown,unknown,unknown,ykzD,O34405,gene_detail+BG13332
new_1923125_1923233,S663,"new RNA feature, 5'UTR of ccdA
",,5'UTR of ccdA,S663,,
BSU_26330,yqdA,"unknown, skin element",unknown,unknown,yqdA;yqcS,P54372,gene_detail+BG11508
new_2749037_2749259,S1013,"new RNA feature, 5'UTR of yraL
",,5'UTR of yraL,S1013,,
BSU_19020,yobN,similar to L-amino acid oxidase,unknown,unknown,yobN,O34363,gene_detail+BG13506
BSU_10730,yisI,"[[protein|2C54FE2ADC82FF414D732018C90649D477A925AD]]-P phosphatase, control of the [SW|phosphorelay]",control of [SW|sporulation] initiation,[[protein|2C54FE2ADC82FF414D732018C90649D477A925AD]]-P phosphatase,yisI,O06722,gene_detail BG13096
new_3208192_3208279_c,S1190,"new RNA feature, intergenic region
",,intergenic region,S1190,,
new_1192592_1192857,S398,"new RNA feature, intergenic region
",,intergenic region,S398,,
BSU_32790,yusG,unknown,unknown,unknown,yusG,O32173,gene_detail+BG14019
BSU_04020,yczH,unknown,unknown,unknown,yczH,O31482,gene_detail+BG12782
BSU_31740,pdeH,c-di-GMP degrading phosphodiesterase,degradation of c-di-GMP,c-di-GMP degrading phosphodiesterase,pdeH;yuxH;comB;yufA,P14203,gene_detail+BG10377
BSU_14071,fadG,fatty acid degradation,fatty acid degradation,unknown,fadG;ykuG,C0H407,gene_detail+BG13291
BSU_28800,araA,L-arabinose isomerase,arabinose utilization,L-arabinose isomerase,araA,P94523,gene_detail+BG11904
BSU_12220,yjiC,macrolide glycosyltransferase,synthesis of bacillaene,macrolide glycosyltransferase,yjiC,O34539,gene_detail BG13196
BSU_03970,ycnL,unknown,unknown,unknown,ycnL,P94434,gene_detail+BG12048
new_3032765_3032908,S1130,"new RNA feature, 5'UTR of ytsP
",,5'UTR of ytsP,S1130,,
new_1150464_1151119,S381,"new RNA feature, independent transcript
",,independent transcript,S381,,
BSU_19360,odhB,"2-oxoglutarate dehydrogenase complex (dihydrolipoamide transsuccinylase, E2 subunit)",TCA cycle,2-oxoglutarate dehydrogenase complex,odhB,P16263,gene_detail BG10273
BSU_22070,xpt,xanthine phosphoribosyltransferase,purine salvage and interconversion,xanthine phosphoribosyltransferase,xpt,P42085,gene_detail BG11079
new_3794010_3794074_c,S1430,"new RNA feature, 5'UTR of tsaC
",,5'UTR of tsaC,S1430,,
BSU_01170,rplD,ribosomal protein,translation,ribosomal protein L4,rplD,P42921,gene_detail BG11219
BSU_23380,lysA,diaminopimelate decarboxylase,biosynthesis of lysine,diaminopimelate decarboxylase,lysA,P23630,gene_detail+BG10510
BSU_28930,lytS,"two-component sensor kinase, control of pyruvate utilization",control of pyruvate utilization,two-component sensor kinase,lytS,P94513,gene_detail BG11952
BSU_15069,ylzH,unknown,unknown,unknown,ylzH,C0H411,
BSU_00950,mrnC,RNase Mini-III,maturation of 23S rRNA,RNase Mini-III,mrnC;yazC,O31418,gene_detail BG12702
BSU_19030,yobO,similar to phage-related pre-neck appendage protein,unknown,unknown,yobO,O34433,gene_detail+BG13507
BSU_30350,yttB,similar to multidrug resistance protein,unknown,unknown,yttB,O34546,gene_detail+BG13925
BSU_34910,hisD,histidinol dehydrogenase,biosynthesis of histidine,histidinol dehydrogenase,hisD,O34651,gene_detail BG12599
BSU_05610,vmlR,"F-type ATP-binding cassette protein, allosterically dissociates antibiotics (virginiamycin M, lincomycin) from their ribosomal binding sites","dissociation of antibiotics (virginiamycin M, lincomycin) from the ribosome",ABCF ATPase,vmlR;expZ,P39115,gene_detail BG10767
new_2079086_2079196,S728,"new RNA feature, independent transcript
",,independent transcript,S728,,
new_2197860_2198069_c,S778,"new RNA feature, intergenic region
",,intergenic region,S778,,
BSU_38140,qoxD,cytochrome aa3 quinol oxidase (subunit IV),respiration,cytochrome aa3 quinol oxidase (subunit IV),qoxD;ipa-40d,P34959,gene_detail BG10586
BSU_21750,sco,accessory lipoprotein required for assembly of the Cu(A) center of [[protein|72D5442C0EF3B404F7B615366E357B68C863CEB6|cytochrome c oxidase caa3]],maturation of [[protein|72D5442C0EF3B404F7B615366E357B68C863CEB6|cytochrome c oxidase caa3]],synthesis of cytochrome oxidase protein,sco;ypmQ,P54178,gene_detail+BG11622
BSU_37070,rpmE,ribosomal protein,translation,ribosomal protein L31,rpmE,Q03223,gene_detail BG10417
BSU_17900,sirA,"[[category|SW 4.2]] protein, inhibits [[category|SW 3.1.1]] initiation in cells committed to [[category|SW 4.2]], facilitates capture of <i>oriC</i> in the forespore",control of chromosome copy number,inhibitor of [[category|SW 3.1.1]],sirA;yneE;yoxF,P45707,gene_detail BG11248
BSU_00600,yabP,required for [SW|sporulation] at a late stage,[SW|sporulation],unknown,yabP,P37558,gene_detail+BG10123
BSU_07430,yfmL,DEAD-box RNA helicase,RNA helicase,DEAD-box RNA helicase,yfmL,O34750,gene_detail+BG12963
BSU_27710,tgt,tRNA-guanine transglycosylase,tRNA modification,tRNA-guanine transglycosylase,tgt,O32053,gene_detail BG12686
new_3733736_3733966_c,S1396,"new RNA feature, 5'UTR of ywzD
",,5'UTR of ywzD,S1396,,
BSU_08290,lnrJ,"two-component sensor kinase, involved in resistance to linearmycin",involved in resistance to linearmycin,two-component sensor kinase,lnrJ;yfiJ,P94438,gene_detail BG12215
BSU_08930,cspR,similar to tRNA (Um34/Cm34) methyltransferase,translation,tRNA (Um34/Cm34) methyltransferase homolog,cspR;ygaR;trmL,O31590,gene_detail BG11802
BSU_08280,yfiI,similar to oxidoreductase,unknown,unknown,yfiI,P94437,gene_detail+BG12214
BSU_22400,dinG,ATP-dependent DNA helicase,response to DNA damage,ATP-dependent DNA helicase,dinG,P54394,gene_detail+BG11515
BSU_26320,yqaG,"similar to transcription regulator ([SW|Xre family]), skin element",unknown,unknown,yqaG,P45904,gene_detail+BG11258
BSU_14280,moeA,molybdopterin molybdenumtransferase,nitrate respiration,molybdopterin molybdenumtransferase,moeA,O31703,gene_detail BG12623
BSU_14630,speA,"arginine decarboxylase, required for [SW|biofilm formation]","spermidine, polyamine biosynthesis",arginine decarboxylase,speA;cad,P21885,gene_detail BG10212
BSU_20170,yosC,unknown,unknown,unknown,yosC,O31886,gene_detail+BG13712
BSU_06620,ligA,DNA ligase (NAD-dependent),replication,DNA ligase (NAD-dependent),ligA;lig;yerG,O31498,gene_detail BG12835
BSU_39050,katE,"catalase, general stress protein",detoxification (degradation) of hydrogen peroxide,catalase 2,katE;katB,P42234,gene_detail+BG11102
BSU_05390,ydfF,similar to transcriptional regulator ([SW|ArsR family]),unknown,unknown,ydfF,P96683,gene_detail+BG12153
BSU_25990,yqbS,similar to phage-related protein,unknown,unknown,yqbS,P45934,gene_detail+BG11290
new_1780399_1780532,S612,"new RNA feature, independent transcript
",,independent transcript,S612,,
new_3255432_3256404,S1214,"new RNA feature, independent transcript
",,independent transcript,S1214,,
BSU_36200,ywqI,unknown,unknown,unknown,ywqI,P96721,gene_detail+BG12513
BSU_39070,bglS,"endo-beta-1,3-1,4 glucanase",lichenan degradation,"endo-beta-1,3-1,4 glucanase",bglS;bgl;licS,P04957,gene_detail BG10476
BSU_22660,trpC,indole-3-glycerol-phosphate synthase,biosynthesis of tryptophan,indole-3-glycerol-phosphate synthase,trpC,P03964,gene_detail BG11038
BSU_33610,rnr,"RNase R, required for protection against paraquate stress",nonspecific degradation of rRNA,exoribonuclease RNase R (EC 3.1.-.-),rnr;yvaJ,O32231,gene_detail+BG14065
BSU_35500,degS,"two-component sensor kinase for exoenzyme and competence regulation, kinase activity is activated in response to inhibition of flagellar rotation",regulation of degradative enzyme and genetic competence,two-component sensor kinase,degS;sacU,P13799,gene_detail+BG10392
BSU_32730,metQ,methionine [SW|ABC transporter] (binding lipoprotein),methionine uptake,methionine [SW|ABC transporter] (binding lipoprotein),metQ;yusA,O32167,gene_detail BG14013
new_3762479_3762776_c,S1409,"new RNA feature, 5'UTR of ywnF
",,5'UTR of ywnF,S1409,,
new_4215473_4215670,S1583,"new RNA feature, independent transcript
",,independent transcript,S1583,,
BSU_35440,yvyF,similar to flagellar protein,unknown,unknown,yvyF;yviB,P39807,gene_detail+BG10398
BSU_36990,ywkF,sporulation protein,unknown,sporulation protein,ywkF,P45874,gene_detail+BG11317
BSU_09620,yhdW,similar to glycerophosphodiester phosphodiesterase,unknown,unknown,yhdW,O07592,gene_detail+BG13029
BSU_35450,comFC,late competence gene,compentence,unknown,comFC,P39147,gene_detail+BG10397
BSU_11870,metI,"O-succinylhomoserine lyase (L-cysteine, H<sub>2</sub>S, methanethiol, elimination)",biosynthesis of methionine,"O-succinylhomoserine lyase (L-cysteine, H<sub>2</sub>S, methanethiol, elimination)",metI;yjcI,O31631,gene_detail+BG13162
BSU_06269,ydzJ,unknown,unknown,unknown,ydzJ,O24817,
BSU_misc_RNA_12,BSU_misc_RNA_12,,,,BSU_misc_RNA_12,,
BSU_06550,yecA,similar to L-methionine and branched chain amino acids transporter,unknown,unknown,yecA,O34560,gene_detail BG12817
BSU_misc_RNA_48,BSU_misc_RNA_48,,,,BSU_misc_RNA_48,,
BSU_38180,ywzA,general stress protein,unknown,unknown,ywzA,O32282,gene_detail+BG14162
BSU_31630,mrpD,"H<sup>+</sup> transporter subunit of the Na<sup>+</sup>/H<sup>+</sup> antiporter, multiple resistance and pH homeostasis",sodium export,Na<sup>+</sup>/H<sup>+</sup> antiporter subunit,mrpD;yufD,O05229,gene_detail BG12345
new_1211372_1211476,S403,"new RNA feature, 5'UTR of appD
",,5'UTR of appD,S403,,
BSU_04650,ndoAI,"antitoxin, antagonist for [[protein|2E5A557E417CB355331CC0555D46A79793EB90B3|EndoA]]",inhibition of [[protein|2E5A557E417CB355331CC0555D46A79793EB90B3|EndoA]],antitoxin,ndoAI;ydcD;mazE,P96621,gene_detail+BG12091
BSU_08020,yfjO,similar to ribosomal RNA methyltransferase,unknown,putative rRNA methyltransferase,yfjO,O31545,gene_detail+BG12911
new_4125593_4125741_c,S1543,"new RNA feature, intergenic region
",,intergenic region,S1543,,
new_649718_649826,S207,"new RNA feature, 5'UTR of groES
",,5'UTR of groES,S207,,
BSU_03789,yczN,putative toxin,unknown,unknown,yczN,C0H3V1,
new_3529856_3529913_c,S1313,"new RNA feature, 5'UTR of epsA
",,5'UTR of epsA,S1313,,
BSU_11460,oppD,oligopeptide [SW|ABC transporter ](ATP-binding protein),"initiation of [SW|sporulation], competence development",oligopeptide [SW|ABC transporter ](ATP-binding protein),oppD;spo0KD,P24136,gene_detail BG10774
BSU_22590,ypiA,unknown,unknown,unknown,ypiA,P54389,gene_detail+BG11496
new_1915794_1916005_c,S656,"new RNA feature, 3'UTR of yndM
",,3'UTR of yndM,S656,,
BSU_04110,lipC,"spore coat protein, phospholipase implicated in spore germination",spore germination,spore coat phospholipase B,lipC;ycsK,P42969,gene_detail BG11232
new_3809980_3810619_c,S1440,"new RNA feature, 5'UTR of spo0F
",,5'UTR of spo0F,S1440,,
new_3741593_3741676,S1400,"new RNA feature, 3'UTR of ywpF
",,3'UTR of ywpF,S1400,,
BSU_05240,ydeL,similar to transcriptional regulator ([SW|MocR/ GabR family]),unknown,unknown,ydeL,P96669,gene_detail+BG12139
BSU_30280,melD,[SW|ABC transporter] subunit for melibiose and raffinose (permease),uptake of melibiose and raffinose,[SW|ABC transporter] (permease),melD;amyD,O34706,gene_detail+BG12565
new_252315_252458,S89,"new RNA feature, intergenic region
",,intergenic region,S89,,
BSU_rRNA_8,rrnJ-5S,5S rRNA,translation,ribosomal RNA-5S,rrnJ-5S,,gene_detail+BG00019
new_3744236_3744320_c,S1401,"new RNA feature, 5'UTR of ywpB
",,5'UTR of ywpB,S1401,,
BSU_22230,ptsA,[[category|SW 1.2.2|PTS]] EIIA component,"uptake and phosphorylation of maltose, N-acetylglucosamine, sucrose, and trehalose",[[category|SW 1.2.2|PTS]] EIIA component,ptsA;ypqE,P50829,gene_detail+BG11450
BSU_12930,dppB,dipeptide [SW|ABC transporter] (permease),uptake of dipeptides,dipeptide [SW|ABC transporter] (permease),dppB;dciAB,P26903,gene_detail+BG10843
new_4039160_4039225_c,S1515,"new RNA feature, 5'UTR of yxiB
",,5'UTR of yxiB,S1515,,
BSU_39950,yxaJ,unknown,unknown,unknown,yxaJ,P42109,gene_detail BG11112
BSU_09210,yhcT,similar to pseudouridylate synthase,RNA modification,putative [SW|sporulation]-specific pseudouridylate synthase,yhcT,P54604,gene_detail BG11598
BSU_38390,ywbA,"similar to [[category|SW 1.2.2|PTS]], putative EIIC component",unknown,unknown,ywbA;ipa-16d,P39584,gene_detail+BG10562
new_2780331_2780484_c,S1029,"new RNA feature, independent transcript
",,independent transcript,S1029,,
BSU_13270,ykoI,unknown,unknown,unknown,ykoI,O34551,gene_detail+BG13254
BSU_15730,fmt,methionyl-tRNA formyltransferase,formylation of Met-tRNA(fMet),methionyl-tRNA formyltransferase,fmt;yloL,P94463,gene_detail BG11937
BSU_26510,yrkH,unknown,unknown,unknown,yrkH,P54435,gene_detail+BG11774
BSU_40390,walH,"negative effector of [[protein|E88978809272FAC2520DB4ABCA0554F8028F3451]], controls cell wall metabolism",control of cell wall metabolism,negative effector of [[protein|E88978809272FAC2520DB4ABCA0554F8028F3451]],walH;yycH,Q794W0,gene_detail+BG11462
new_2225995_2226059,S800,"new RNA feature, 5'UTR of yonK
",,5'UTR of yonK,S800,,
new_3631609_3631729_c,S1350,"new RNA feature, 5'UTR of yvyD
",,5'UTR of yvyD,S1350,,
BSU_14720,ylaB,unknown,unknown,unknown,ylaB,O07626,gene_detail+BG13339
new_2529726_2529888_c,S918,"new RNA feature, intergenic region
",,intergenic region,S918,,
BSU_33760,sdpB,"membrane protein, required for [[protein|820635420B3980B620F3E3D7ACF7EDE9DC6275AD]] toxin maturation",maturation of the [[protein|820635420B3980B620F3E3D7ACF7EDE9DC6275AD]] toxin,unknown,sdpB;yvaX,O34616,gene_detail+BG14075
BSU_32830,fadA,acetyl-CoA C-acyltransferase,fatty acid degradation,acetyl-CoA C-acyltransferase,fadA;yusK,O32177,gene_detail+BG14023
new_1229759_1229848,S412,"new RNA feature, intergenic region
",,intergenic region,S412,,
BSU_39810,csbC,"general stress protein, similar to sugar-H<sup>+</sup> symporter, required for protection against paraquat stress",protection against paraquat stress,putative sugar-H<sup>+</sup> symporter,csbC;yxcC,P46333,gene_detail+BG11360
new_3774188_3774399_c,S1418,"new RNA feature, intergenic region
",,intergenic region,S1418,,
BSU_32040,yuiF,membrane protein,unknown,unknown,yuiF,O32105,gene_detail+BG13971
BSU_37240,ywiE,"minor cardiolipin synthetase, general stress protein, required for protection against paraquat stress","phospholipiid biosynthesis, protection against paraquat stress",minor cardiolipin synthetase,ywiE,P45860,gene_detail+BG11305
BSU_misc_RNA_61,mswI,annotated in RefSeq,,,,,
BSU_02070,csgA,required for the ability of the germinating spore to resume vegetative growth,spore germination,unknown,csgA,P54379,gene_detail+BG11504
new_3451771_3451862_c,S1287,"new RNA feature, intergenic region
",,intergenic region,S1287,,
BSU_08320,lnrM,"similar to [SW|ABC transporter] (membrane protein), involved in resistance to linearmycin",resistance to linearmycin,[SW|ABC transporter] (membrane protein),yfiM,P94441,gene_detail BG12218
BSU_17280,ymaD,putative peroxiredoxin,protection against oxidative stress,putative peroxiredoxin,ymaD,O31790,gene_detail+BG13412
new_1168918_1169042,S393,"new RNA feature, 5'UTR of yisY
",,5'UTR of yisY,S393,,
BSU_05600,ydgE,"protein N-acetyltransferase, may acetylate [[protein|EFD8FC875B6787B1512C5FC4C81E7E4C9BD93028|HBsu]]",unknown,unknown,ydgE,P96703,gene_detail+BG12172
BSU_13520,ykrP,putative membrane-bound acyltransferase,unknown,unknown,ykrP,O31660,gene_detail+BG13276
BSU_11120,yitT,"general stress protein, required for protection against paraquat stress",protection against paraquat stress,unknown,yitT;yuxA,P39803,gene_detail BG10850
new_2552307_2552445,S924,"new RNA feature, 5'UTR of sinI
",,5'UTR of sinI,S924,,
BSU_07410,yfmN,unknown,unknown,unknown,yfmN,O06472,gene_detail+BG12965
BSU_33250,rsiO,anti-Sig([[protein|6359025A73C0BD313F5BCC6F56FE88B820902AAA]]-[[protein|AE8D4F07EFB17DA727D80229C3E72075928AA352]]),control of Sig([[protein|6359025A73C0BD313F5BCC6F56FE88B820902AAA]]-[[protein|AE8D4F07EFB17DA727D80229C3E72075928AA352]]) activity,anti-Sig([[protein|6359025A73C0BD313F5BCC6F56FE88B820902AAA]]-[[protein|AE8D4F07EFB17DA727D80229C3E72075928AA352]]),rsiO;yvrL,O34686,gene_detail BG14149
BSU_32630,yurR,similar to glycine oxidase,unknown,unknown,yurR,O32159,gene_detail+BG14004
BSU_27490,yrrB,unknown,unknown,unknown,yrrB,O34452,gene_detail+BG13788
new_1386984_1387035_c,S472,"new RNA feature, 5'UTR of ispA
",,5'UTR of ispA,S472,,
BSU_10750,yisK,"modulator of [[protein|6ED386D49F973C1F6B1076974F54275DD583C9D3]] activity, similar to 5-oxo-1,2,5-tricarboxilic-3-penten acid decarboxylase",control of [SW|cell division],modulator of [[protein|6ED386D49F973C1F6B1076974F54275DD583C9D3]] activity,yisK,O06724,gene_detail BG13098
BSU_09520,sigM,"[SW|RNA polymerase] ECF-type [SW|sigma factor] [[protein|081DF3EE9FA56209D648C7677188C61CE3AA8E41]], required for adaptation to inhibitors of peptidoglycan synthesis",adaptation to inhibitors of peptidoglycan synthesis,[SW|RNA polymerase] ECF-type [SW|sigma factor] [[protein|081DF3EE9FA56209D648C7677188C61CE3AA8E41]],sigM;yhdM,O07582,gene_detail BG13019
BSU_15260,ylxX,unknown,unknown,unknown,ylxX,Q45544,gene_detail BG11489
BSU_39600,yxeC,unknown,unknown,unknown,yxeC,P54942,gene_detail BG11879
BSU_11382,appA/2,"oligopeptide ABC transporter, inactive pseudogene in strain 168",unknown,oligopeptide ABC transporter,appA/2,,
BSU_00250,xpaC,hydrolysis of 5-bromo-4-chloroindolyl phosphate,unknown,unknown,xpaC,P37467,gene_detail+BG10089
new_1454806_1455063,S504,"new RNA feature, intergenic region
",,intergenic region,S504,,
new_2625913_2626090_c,surC,"new RNA feature, intergenic region
",,intergenic region,S959,,
new_1072963_1073105_c,S351,"new RNA feature, 3'UTR of scoC
",,3'UTR of scoC,S351,,
BSU_21190,yomX,unknown,unknown,unknown,yomX,O31960,gene_detail+BG13611
BSU_misc_RNA_20,BSU_misc_RNA_20,,,,BSU_misc_RNA_20,,
BSU_30180,ytbQ,unknown,unknown,unknown,ytbQ,P53560,gene_detail+BG11787
new_3574321_3577707,S1326,"new RNA feature, independent transcript
",,independent transcript,S1326,,
BSU_20040,yosP,similar to ribonucleoside-diphosphate reductase (beta subunit),unknown,unknown,yosP;nrdF,O30601,gene_detail BG13725
BSU_25569,yqzM,unknown,unknown,unknown,yqzM,C0H453,
BSU_39150,yxiJ,unknown,unknown,unknown,yxiJ,P42320,gene_detail+BG11139
BSU_10420,comK,competence transcription factor (CTF),regulation of [SW|genetic competence] and DNA uptake,competence transcription factor (CTF),comK,P40396,gene_detail BG11059
new_3471824_3472588,S1299,"new RNA feature, intergenic region
",,intergenic region,S1299,,
new_2713803_2713911_c,S993,"new RNA feature, intergenic region
",,intergenic region,S993,,
new_1538693_1539646,S537,"new RNA feature, 3'UTR of ykzC
",,3'UTR of ykzC,S537,,
BSU_23616,mciZ,[[protein|41872E2EF00C79918DD077F2EF78F37E24FEB110]] inhibition peptide,inhibits GTPase activity of [[protein|41872E2EF00C79918DD077F2EF78F37E24FEB110]] and Z ring formation during sporulation,[[protein|41872E2EF00C79918DD077F2EF78F37E24FEB110]] inhibition peptide,mciZ;S896,L8EBJ9,
BSU_25160,ispH,"(E)-4-hydroxy-3-methylbut-2-enyl diphosphate reductase, 7th step in the MEP pathway of isoprenoid biosynthesis",MEP pathway of isoprenoid biosynthesis,(E)-4-hydroxy-3-methylbut-2-enyl diphosphate reductase,ispH;yqfP,P54473,gene_detail BG11662
BSU_30390,bceS,"two-component sensor kinase, regulation of [[gene|8E0DE8FE7E9C12495C4DCADA74D838FED088867D]]-[[gene|bceB ]]in response to bacitracin, plectasin, mersacidin and actagardine",resistance against  toxic peptides,two-component sensor kinase,bceS;ytsB,O35044,gene_detail BG13919
new_45224_45399_c,S23,"new RNA feature, 5'UTR of abrB
",,5'UTR of abrB,S23,,
BSU_22390,ypmA,unknown,unknown,unknown,ypmA,P54395,gene_detail+BG11501
