gene_id.ko,gene_id.uniref90,gene_description,module,sheet,header,subheader,potential_amg,strain
NA,P96698,cotP;spore coat protein P,Spore coat proteins,MISC,Sporulation,Sporulation proteins,TRUE,bs
NA,P96699,ydgA;hypothetical protein,Sporulation proteins/ other,MISC,Sporulation,Sporulation proteins,TRUE,bs
NA,P96700,ydgB;hypothetical protein,Sporulation proteins/ other,MISC,Sporulation,Sporulation proteins,TRUE,bs
NA,O05495,ydhD;sporulation protein,Spore coat proteins,MISC,Sporulation,Sporulation proteins,TRUE,bs
NA,O05497,ydhF;hypothetical protein,Sporulation proteins/ other,MISC,Sporulation,Sporulation proteins,TRUE,bs
K01077,P19405,phoB;alkaline phosphatase 3,Sporulation proteins/ other,MISC,Sporulation,Sporulation proteins,TRUE,bs
NA,O34592,ydjP;AB hydrolase superfamily protein YdjP,Sporulation proteins/ other,MISC,Sporulation,Sporulation proteins,TRUE,bs
NA,O34803,yeaA;hypothetical protein,Sporulation proteins/ other,MISC,Sporulation,Sporulation proteins,TRUE,bs
K06324,P07788,cotA;spore coat protein A,Spore coat proteins,MISC,Sporulation,Sporulation proteins,TRUE,bs
NA,O34904,yebD;hypothetical protein,NA,MISC,Proteins of unknown function,NA,TRUE,bs
NA,C0H3X3,yezF;hypothetical protein,Newly identified sporulation proteins (based on transcription profiling),MISC,Sporulation,Sporulation proteins,TRUE,bs
NA,Q7BVT7,yerC;hypothetical protein,Transcription factor/ other/ based on similarity,MISC,Regulation of gene expression,Transcription factors and their control,TRUE,bs
K06366,Q59HN8,rapH;response regulator aspartate phosphatase H,Phosphatases controlling the phosphorelay,MISC,Sporulation,phosphorelay,TRUE,bs
K20389,NA,phrH;inhibitor of regulatory cascade,NA,MISC,Sporulation,phosphorelay,TRUE,bs
NA,O31510,yeeK;spore coat protein YeeK,Spore coat proteins,MISC,Sporulation,Sporulation proteins,TRUE,bs
K06332,Q45536,cotJA;spore coat associated protein CotJA,Spore coat proteins,MISC,Sporulation,Sporulation proteins,TRUE,bs
K06333,Q45537,cotJB;spore coat protein CotJB,Spore coat proteins,MISC,Sporulation,Sporulation proteins,TRUE,bs
K06334,Q45538,cotJC;spore coat peptide assembly protein CotJC,Spore coat proteins,MISC,Sporulation,Sporulation proteins,TRUE,bs
NA,O31513,yesJ;N-acetyltransferase YesJ,Sporulation proteins/ other,MISC,Sporulation,Sporulation proteins,TRUE,bs
NA,O31514,yesK;hypothetical protein,Sporulation proteins/ other,MISC,Sporulation,Sporulation proteins,TRUE,bs
K18197,O31526,yesW;rhamnogalacturonan endolyase YesW,Utilization of pectin,MISC,Carbon metabolism,Utilization of specific carbon sources,TRUE,bs
K22933,P39130,lplD;alpha-galacturonidase,Newly identified sporulation proteins (based on transcription profiling),MISC,Sporulation,Sporulation proteins,TRUE,bs
NA,O31533,yetF;hypothetical protein,Newly identified sporulation proteins (based on transcription profiling),MISC,Sporulation,Sporulation proteins,TRUE,bs
K14338,O08394,yetO;bifunctional P-450/NADPH-P450 reductase 1,Newly identified sporulation proteins (based on transcription profiling),MISC,Sporulation,Sporulation proteins,TRUE,bs
K00978,O06486,yfnH;glucose-1-phosphate cytidylyltransferase,Sporulation proteins/ other,MISC,Sporulation,Sporulation proteins,TRUE,bs
NA,O06485,yfnG;CDP-sugar-dehydratase/epimerase,Sporulation proteins/ other,MISC,Sporulation,Sporulation proteins,TRUE,bs
NA,O06484,yfnF;hypothetical protein,Sporulation proteins/ other,MISC,Sporulation,Sporulation proteins,TRUE,bs
NA,O06483,yfnE;glycosyltransferase YfnE,Sporulation proteins/ other,MISC,Sporulation,Sporulation proteins,TRUE,bs
NA,O31542,yfnD;hypothetical protein,Sporulation proteins/ other,MISC,Sporulation,Sporulation proteins,TRUE,bs
NA,NA,yfmA;hypothetical protein,Newly identified sporulation proteins (based on transcription profiling),MISC,Sporulation,Sporulation proteins,TRUE,bs
K11639,P55069,citM;Mg(2+)/citrate complex secondary transporter,Transporter for organic acids,MISC,Transporters,Transporters/ other,TRUE,bs
NA,O34409,yflN;hypothetical protein,Newly identified sporulation proteins (based on transcription profiling),MISC,Sporulation,Sporulation proteins,TRUE,bs
NA,O34345,yflJ;hypothetical protein,Newly identified sporulation proteins (based on transcription profiling),MISC,Sporulation,Sporulation proteins,TRUE,bs
K06309,O34573,yfkT;spore germination protein YfkT,NA,MISC,Sporulation,Germination/ based on similarity,TRUE,bs
NA,O35036,yfkS;hypothetical protein,NA,MISC,Sporulation,Germination/ based on similarity,TRUE,bs
K06308,O35028,yfkR;spore germination protein YfkR,NA,MISC,Sporulation,Germination/ based on similarity,TRUE,bs
K06307,O34486,yfkQ;hypothetical protein,NA,MISC,Sporulation,Germination/ based on similarity,TRUE,bs
NA,O34475,hypO;NAD(P)H nitroreductase YfkO,NA,MISC,Electron transport and ATP synthesis,Electron transport/ other/ based on similarity,TRUE,bs
K07300,O34840,chaA;cation exchanger YfkE,Sporulation proteins/ other,MISC,Sporulation,Sporulation proteins,TRUE,bs
NA,O34579,yfkD;hypothetical protein,NA,MISC,Coping with stress,General stress proteins (controlled by SigB),TRUE,bs
K01567,O34928,pdaA;polysaccharide deacetylase PdaA,Sporulation proteins/ other,MISC,Sporulation,Sporulation proteins,TRUE,bs
K00627,O31550,acoC;dihydrolipoyllysine-residue acetyltransferase component of acetoin cleaving system,Utilization of acetoin,MISC,Carbon metabolism,Utilization of specific carbon sources,TRUE,bs
K06425,O31552,sspH;small acid-soluble spore protein H,Small acid-soluble spore proteins,MISC,Sporulation,Sporulation proteins,TRUE,bs
NA,O31556,yfjC;hypothetical protein,NA,MISC,Phosphoproteins,Phosphorylation on a Ser residue,TRUE,bs
NA,O31572,yfhD;hypothetical protein,Sporulation proteins/ other,MISC,Sporulation,Sporulation proteins,TRUE,bs
NA,O31573,yfhE;hypothetical protein,NA,MISC,Coping with stress,General stress proteins (controlled by SigB),TRUE,bs
K06428,Q7WY75,sspK;small acid-soluble spore protein K,Small acid-soluble spore proteins,MISC,Sporulation,Sporulation proteins,TRUE,bs
NA,O31581,yfhM;AB hydrolase superfamily protein YfhM,NA,MISC,Coping with stress,General stress proteins (controlled by SigB),TRUE,bs
K07038,O31583,yfhP;hypothetical protein,NA,MISC,Membrane proteins,NA,TRUE,bs
NA,O31585,yfhS;hypothetical protein,Sporulation proteins/ other,MISC,Sporulation,Sporulation proteins,TRUE,bs
K10780,P71079,fabL;enoyl-[acyl-carrier-protein] reductase [NADPH] FabL,Sporulation proteins/ other,MISC,Sporulation,Sporulation proteins,TRUE,bs
K06422,P84585,sspE;small acid-soluble spore protein gamma-type,Small acid-soluble spore proteins,MISC,Sporulation,Sporulation proteins,TRUE,bs
NA,P71080,ygaB;hypothetical protein,NA,MISC,Proteins of unknown function,NA,TRUE,bs
NA,P71083,ygaE;hypothetical protein,NA,MISC,Membrane proteins,NA,TRUE,bs
K06377,P71088,spo0M;sporulation-control protein spo0M,NA,MISC,Sporulation,Sporulation/ other,TRUE,bs
NA,O31586,ygzA;hypothetical protein,Newly identified sporulation proteins (based on transcription profiling),MISC,Sporulation,Sporulation proteins,TRUE,bs
NA,C0H3X8,ygzC;spore coat protein F,Newly identified sporulation proteins (based on transcription profiling),MISC,Sporulation,Sporulation proteins,TRUE,bs
NA,Q796Y5,ygaK;FAD-linked oxidoreductase YgaK,Spore coat proteins,MISC,Sporulation,Sporulation proteins,TRUE,bs
K03781,P26901,katA;vegetative catalase,NA,MISC,Coping with stress,Resistance against oxidative and electrophile stress,TRUE,bs
K18979,P97030,queG;epoxyqueuosine reductase,tRNA modification and maturation,MISC,"Protein synthesis, modification and degradation",Translation,TRUE,bs
NA,O31589,yhbB;hypothetical protein,Spore coat proteins,MISC,Sporulation,Sporulation proteins,TRUE,bs
K03216,O31590,cspR;tRNA (cytidine(34)-2'-O)-methyltransferase,tRNA modification and maturation,MISC,"Protein synthesis, modification and degradation",Translation,TRUE,bs
K07180,P39134,prkA;serine protein kinase PrkA,Sporulation proteins/ other,MISC,Sporulation,Sporulation proteins,TRUE,bs
K09786,P45742,yhbH;stress response UPF0229 protein YhbH,Sporulation proteins/ other,MISC,Sporulation,Sporulation proteins,TRUE,bs
NA,O31593,yhbJ;efflux system component YhbJ,NA,MISC,Membrane proteins,NA,TRUE,bs
NA,P54585,yhcA;MFS transporter,Other exporters,MISC,Transporters,Transporters/ other,TRUE,bs
NA,P54586,yhcB;hypothetical protein,NA,MISC,Poorly characterized/ putative enzymes,NA,TRUE,bs
NA,P54587,yhcC;hypothetical protein,NA,MISC,Membrane proteins,NA,TRUE,bs
NA,P54597,yhcM;hypothetical protein,Sporulation proteins/ other,MISC,Sporulation,Sporulation proteins,TRUE,bs
NA,P54598,yhcN;lipoprotein,Additional germination proteins,MISC,Sporulation,Germination,TRUE,bs
NA,P54599,yhcO;hypothetical protein,Sporulation proteins/ other,MISC,Sporulation,Sporulation proteins,TRUE,bs
NA,P54601,yhcQ;spore coat protein F,Sporulation proteins/ other,MISC,Sporulation,Sporulation proteins,TRUE,bs
K06180,P54604,yhcT;RNA pseudouridine synthase YhcT,Newly identified sporulation proteins (based on transcription profiling),MISC,Sporulation,Sporulation proteins,TRUE,bs
NA,P54606,yhcV;CBS domain-containing protein YhcV,Sporulation proteins/ other,MISC,Sporulation,Sporulation proteins,TRUE,bs
K00864,P18157,glpK;glycerol kinase,Utilization of glycerol/ glycerol-3-phosphate,MISC,Carbon metabolism,Utilization of specific carbon sources,TRUE,bs
K01835,P18159,pgcA;phosphoglucomutase,Biosynthesis of peptidoglycan,MISC,Cell envelope and cell division,Cell wall synthesis,TRUE,bs
K02480,O07527,yhcY;sensor histidine kinase,Protein kinases,MISC,"Protein synthesis, modification and degradation",Protein modification,TRUE,bs
K02479,O07528,yhcZ;transcriptional regulator,Two-component system response regulators,MISC,Regulation of gene expression,Transcription factors and their control,TRUE,bs
NA,O07530,yhdB;hypothetical protein,Newly identified sporulation proteins (based on transcription profiling),MISC,Sporulation,Sporulation proteins,TRUE,bs
NA,O07531,yhdC;hypothetical protein,Newly identified sporulation proteins (based on transcription profiling),MISC,Sporulation,Sporulation proteins,TRUE,bs
K06415,P37875,spoVR;stage V sporulation protein R,Sporulation proteins/ other,MISC,Sporulation,Sporulation proteins,TRUE,bs
K01077,P19406,phoA;alkaline phosphatase,NA,MISC,Additional metabolic pathways,Phosphate metabolism,TRUE,bs
NA,O07547,yheF;hypothetical protein,Newly identified sporulation proteins (based on transcription profiling),MISC,Sporulation,Sporulation proteins,TRUE,bs
K06419,NA,sspB;small acid-soluble spore protein B,Small acid-soluble spore proteins,MISC,Sporulation,Sporulation proteins,TRUE,bs
NA,O07545,yheD;endospore coat-associated protein YheD,Spore coat proteins,MISC,Sporulation,Sporulation proteins,TRUE,bs
NA,O07544,yheC;endospore coat-associated protein YheC,Spore coat proteins,MISC,Sporulation,Sporulation proteins,TRUE,bs
NA,O07539,yhaX;hydrolase,Spore coat proteins,MISC,Sporulation,Sporulation proteins,TRUE,bs
K02495,Q796V8,hemZ;oxygen-independent coproporphyrinogen-III oxidase,Biosynthesis of heme/ siroheme,MISC,Additional metabolic pathways,Biosynthesis of cofactors,TRUE,bs
K07228,O07535,khtT;K(+)/H(+) antiporter subunit KhtT,Metal ion transporter,MISC,Transporters,Transporters/ other,TRUE,bs
NA,O07534,khtS;hypothetical protein,Potassium uptake/ export,MISC,Homeostasis,"Metal ion homeostasis (K, Na, Ca, Mg)",TRUE,bs
K03698,O07521,yhaM;3'-5' exoribonuclease YhaM,Exoribonucleases,MISC,RNA synthesis and degradation,RNases,TRUE,bs
NA,O07520,yhaL;sporulation protein YhaL,Sporulation proteins/ other,MISC,Sporulation,Sporulation proteins,TRUE,bs
NA,C0H3Y2,sscA;hypothetical protein,Sporulation proteins/ other,MISC,Sporulation,Sporulation proteins,TRUE,bs
K09682,P11065,scoC;MarR family transcriptional regulator,Transcription factors/ other,MISC,Regulation of gene expression,Transcription factors and their control,TRUE,bs
NA,C0H3Y3,yhzF;hypothetical protein,Newly identified sporulation proteins (based on transcription profiling),MISC,Sporulation,Sporulation proteins,TRUE,bs
NA,O07599,yhfA;hypothetical protein,Newly identified sporulation proteins (based on transcription profiling),MISC,Sporulation,Sporulation proteins,TRUE,bs
K12555,P38050,pbpF;penicillin-binding protein 1F,Sporulation proteins/ other,MISC,Sporulation,Sporulation proteins,TRUE,bs
NA,P32398,yhgD;TetR family transcriptional regulator,Transcription factor/ other/ based on similarity,MISC,Regulation of gene expression,Transcription factors and their control,TRUE,bs
NA,O07611,yhfM;hypothetical protein,Sporulation proteins/ other,MISC,Sporulation,Sporulation proteins,TRUE,bs
NA,P40769,yhfN;metalloprotease YhfN,Newly identified sporulation proteins (based on transcription profiling),MISC,Sporulation,Sporulation proteins,TRUE,bs
NA,O07614,yhfO;N-acetyltransferase YhfO,NA,MISC,Poorly characterized/ putative enzymes,NA,TRUE,bs
NA,O07622,yhfW;rieske 2Fe-2S iron-sulfur protein YhfW,Sporulation proteins/ other,MISC,Sporulation,Sporulation proteins,TRUE,bs
NA,P40397,yhxC;oxidoreductase,Sporulation proteins/ other,MISC,Sporulation,Sporulation proteins,TRUE,bs
K18653,O07566,ntdA;NTD biosynthesis operon protein NtdA,Biosynthesis of antibacterial compounds,MISC,Additional metabolic pathways,Miscellaneous metabolic pathways,TRUE,bs
NA,O07571,yhjQ;cysteine-rich protein YhjQ,Newly identified sporulation proteins (based on transcription profiling),MISC,Sporulation,Sporulation proteins,TRUE,bs
NA,O07572,yhjR;hypothetical protein,Spore coat proteins,MISC,Sporulation,Sporulation proteins,TRUE,bs
K06304,O06716,gerPF;spore germination protein,Additional germination proteins,MISC,Sporulation,Germination,TRUE,bs
K06303,O06717,gerPE;spore germination protein GerPE,Additional germination proteins,MISC,Sporulation,Germination,TRUE,bs
K06302,O06718,gerPD;spore germination protein GerPD,Additional germination proteins,MISC,Sporulation,Germination,TRUE,bs
K06301,O06719,gerPC;spore germination protein GerPC,Additional germination proteins,MISC,Sporulation,Germination,TRUE,bs
K06300,O06720,gerPB;spore germination protein,Additional germination proteins,MISC,Sporulation,Germination,TRUE,bs
K06299,O06721,gerPA;spore germination protein GerPA,Additional germination proteins,MISC,Sporulation,Germination,TRUE,bs
NA,O06722,yisI;aspartyl-phosphate phosphatase YisI,Phosphatases controlling the phosphorelay,MISC,Sporulation,phosphorelay,TRUE,bs
NA,O06723,yisJ;inner spore coat protein H-like protein,Spore coat proteins,MISC,Sporulation,Sporulation proteins,TRUE,bs
NA,O06727,yisN;hypothetical protein,Newly identified sporulation proteins (based on transcription profiling),MISC,Sporulation,Sporulation proteins,TRUE,bs
K01953,O05272,asnO;asparagine synthetase 3,Sporulation proteins/ other,MISC,Sporulation,Sporulation proteins,TRUE,bs
K02291,O06728,yisP;squalene/phytoene synthase,NA,MISC,Sporulation,phosphorelay,TRUE,bs
NA,O06734,yisY;AB hydrolase superfamily protein YisY,Spore coat proteins,MISC,Sporulation,Sporulation proteins,TRUE,bs
K00860,O06735,yisZ;adenylyl-sulfate kinase,Sporulation proteins/ other,MISC,Sporulation,Sporulation proteins,TRUE,bs
K00958,O06736,yitA;sulfate adenylyltransferase,Sporulation proteins/ other,MISC,Sporulation,Sporulation proteins,TRUE,bs
K00390,O06737,yitB;phosphoadenosine phosphosulfate reductase,Sporulation proteins/ other,MISC,Sporulation,Sporulation proteins,TRUE,bs
K05979,O06738,yitC;2-phosphosulfolactate phosphatase,Sporulation proteins/ other,MISC,Sporulation,Sporulation proteins,TRUE,bs
K08097,O06739,yitD;phosphosulfolactate synthase,Sporulation proteins/ other,MISC,Sporulation,Sporulation proteins,TRUE,bs
NA,O06740,yitE;hypothetical protein,Newly identified sporulation proteins (based on transcription profiling),MISC,Sporulation,Sporulation proteins,TRUE,bs
NA,O06741,yitF;isomerase,Sporulation proteins/ other,MISC,Sporulation,Sporulation proteins,TRUE,bs
K08221,Q796Q1,yitG;MFS transporter,Sporulation proteins/ other,MISC,Sporulation,Sporulation proteins,TRUE,bs
NA,O06752,yitQ;hypothetical protein,Newly identified sporulation proteins (based on transcription profiling),MISC,Sporulation,Sporulation proteins,TRUE,bs
NA,C0H3Y5,yizC;hypothetical protein,Newly identified sporulation proteins (based on transcription profiling),MISC,Sporulation,Sporulation proteins,TRUE,bs
NA,O34585,yjzC;hypothetical protein,Newly identified sporulation proteins (based on transcription profiling),MISC,Sporulation,Sporulation proteins,TRUE,bs
NA,O35001,yjaU;hypothetical protein,Newly identified sporulation proteins (based on transcription profiling),MISC,Sporulation,Sporulation proteins,TRUE,bs
NA,O34959,yjaV;hypothetical protein,Sporulation proteins/ other,MISC,Sporulation,Sporulation proteins,TRUE,bs
NA,O34891,yjzB;hypothetical protein,Spore coat proteins,MISC,Sporulation,Sporulation proteins,TRUE,bs
