"","strain","locus_tag","symbol","description","ko"
"33","cdf","CD630_11820","fabG"," 3-oxoacyl-[acyl-carrier protein] reductase (3-ketoacyl-acyl carrier protein reductase)","K00059"
"34","cdf","CD630_11920","spoIIIAA"," Stage III sporulation protein AA","K06390"
"35","cdf","CD630_11930","spoIIIAB"," Stage III sporulation protein AB","K06391"
"36","cdf","CD630_11940","spoIIIAC"," Stage III sporulation protein AC","K06392"
"37","cdf","CD630_11950","spoIIIAD"," Stage III sporulation protein AD","K06393"
"38","cdf","CD630_11960","spoIIIAE"," Stage III sporulation protein AE","K06394"
"39","cdf","CD630_11970","spoiIIIAF"," Stage III sporulation protein AF","K06395"
"40","cdf","CD630_11980","spoIIIAG"," Stage III sporulation protein AG","K06396"
"41","cdf","CD630_11990","spoIIIAH"," Stage III sporulation protein AH","K06397"
"42","cdf","CD630_12130","spoIVB"," Stage IV sporulation protein B, peptidase S55 family","K06399"
"43","cdf","CD630_12140","spo0A"," Stage 0 sporulation protein A","K07699"
"44","cdf","CD630_12290",NA,"putative peptidoglycan glycosyltransferase","K05515"
"45","cdf","CD630_12300","sigK"," Sigma K","K03091"
"46","cdf","CD630_12590","brnQ-1"," Branched chain amino acid transport system carrier protein","K03311"
"47","cdf","CD630_12850",NA,"putative Holliday junction resolvase","K07447"
"48","cdf","CD630_12900",NA,"putative small acid-soluble spore protein SASP","K03537"
"49","cdf","CD630_12910","dacF"," D-alanyl-D-alanine carboxypeptidase (penicillin-binding protein)","K07258"
"50","cdf","CD630_13220","dapG"," Aspartokinase 1 (Aspartokinase I) (1spartate kinase I)","K00928"
"51","cdf","CD630_13400",NA,"putative galactose-1-phosphate uridylyltransferase","K00965"
"52","cdf","CD630_13960",NA,"putative amino acid amidase","K16203"
"53","cdf","CD630_13990",NA,"putative muramoyltetrapeptide carboxypeptidase,S66 family","K01297"
"54","cdf","CD630_14020","glpQ"," Glycerophosphoryl diester phosphodiesterase","K01126"
"55","cdf","CD630_14080","ddl"," D-alanine--D-alanine ligase (D-alanylalanine synthetase) (D-Ala-D-Ala ligase)","K01921"
"56","cdf","CD630_14160",NA,"putative membrane protein","K09936"
"57","cdf","CD630_14300",NA,"putative delta-lactam-biosynthetic de-N-acteylase","K01567"
"58","cdf","CD630_15170","feoB"," Ferrous iron transport protein B","K04759"
"59","cdf","CD630_15180","feoA2"," Ferrous iron transport protein","K04758"
"60","cdf","CD630_15430",NA,"putative FMN-dependent NADH-azoreductase","K01118"
"61","cdf","CD630_15670","cotG"," spore coat protein-manganese catalase","K07217"
"62","cdf","CD630_15680",NA,"conserved hypothetical protein","K06888"
"63","cdf","CD630_15950","cysE"," Serine acetyltransferase (SAT)","K00640"
"64","cdf","CD630_16310","sodA"," spore coat protein-superoxide dismutase (Mn)","K04564"
"65","cdf","CD630_16760","pcp"," Pyrrolidone-carboxylate peptidase","K01304"
"66","cdf","CD630_17400",NA,"Glycine/sarcosine/betaine reductase complex,protein B, alpha and beta subunits","K21583"
"67","cdf","CD630_17460","gltC"," Sodium/glutamate symporter","K03312"
"68","cdf","CD630_18230",NA,"conserved hypothetical protein, UPF0246 family","K09861"
"69","cdf","CD630_18350","aroC"," Chorismate synthase (5-enolpyruvylshikimate-3-phosphate phospholyase)","K01736"
"70","cdf","CD630_18360","pheA"," Bifunctional P-protein, chorismate mutase/prephenate dehydratase","K14170"
"71","cdf","CD630_18980",NA,"putative phage-related cell wall hydrolase (endolysin)","K01448"
"72","cdf","CD630_19040",NA,"ABC-type transport system, permease","K02050"
"73","cdf","CD630_19350","spoVS"," Stage V sporulation protein S","K06416"
"74","cdf","CD630_19510",NA,"putative Acyl-CoA N-acyltransferase","K03790"
"75","cdf","CD630_20000","isp"," Intracellular serine protease","K13275"
"76","cdf","CD630_21020",NA,"putative Na(+)/H(+) antiporter","K11105"
"77","cdf","CD630_21070",NA,"Xanthine/uracil/thiamine/ascorbate permease family protein","K06901"
"78","cdf","CD630_21360","uppS"," Undecaprenyl pyrophosphate synthetase","K00806"
"79","cdf","CD630_22450","asnC"," Asparaginyl-tRNA synthetase (Asparagine--tRNA ligase) (AsnRS)","K01893"
"80","cdf","CD630_22690","fruABC"," PTS system, fructose-specific IIABC component","K02770"
"81","cdf","CD630_22700","fruK"," Fructose 1-phosphate kinase","K00882"
"82","cdf","CD630_24000","cotJB2"," Spore coat peptide assembly protein CotJB 2","K06333"
"83","cdf","CD630_24010","cotD"," Spore coat protein, manganese catalase","K06334"
"84","cdf","CD630_24270",NA,"putative flavodoxin/ferredoxin oxidoreductase gamma subunit","K00177"
"85","cdf","CD630_24310",NA,"putative nitrite/sulphite reductase","K00366"
"86","cdf","CD630_24370","era"," GTP-binding protein Era","K03595"
"87","cdf","CD630_24380","cdd"," Cytidine deaminase (Cytidine aminohydrolase) (CDA)","K01489"
"88","cdf","CD630_24390",NA,"putative diacylglycerol kinase","K00901"
"89","cdf","CD630_24400",NA,"putative metal-dependent hydrolase","K07042"
"90","cdf","CD630_24411",NA,"PhoH-like protein","K06217"
"91","cdf","CD630_24420","spoIV"," Stage IV sporulation protein","K06438"
"92","cdf","CD630_24450",NA,"putative transmembrane signaling protein,TspO/MBR family","K05770"
"93","cdf","CD630_24590",NA,"putative glucokinase, ROK family","K25026"
"94","cdf","CD630_24650",NA,"putative amino acid/polyamine transporter","K03294"
"95","cdf","CD630_24690","spoIIP"," Stage II sporulation protein P","K06385"
"96","cdf","CD630_24700","gpr"," Spore endopeptidase","K06012"
"97","cdf","CD630_25370",NA,"putative membrane-associated 5'-nucleotidase/phosphoesterase","K11751"
"98","cdf","CD630_25980",NA,"putative oligosaccharide deacetylase","K22278"
"99","cdf","CD630_26290","spoIVA"," Stage IV sporulation protein A","K06398"
"100","cdf","CD630_26350",NA,"putative spore envelope protein","K05739"
"101","cdf","CD630_26360",NA,"putative membrane protein","K05739"
"102","cdf","CD630_26370",NA,"Two-component sensor histidine kinase","K07636"
"103","cdf","CD630_26380",NA,"Two-component response regulator","K07658"
"104","cdf","CD630_26390",NA,"conserved hypothetical protein","K05810"
"105","cdf","CD630_26400","nrdR"," Transcriptional regulator, repressor NrdR family","K07738"
"106","cdf","CD630_26420","sigG"," RNA polymerase sigma-G factor","K03091"
"107","cdf","CD630_26430","sigE"," RNA polymerase sigma-E factor","K03091"
"108","cdf","CD630_26440","spoIIGA"," Sporulation sigma-E factor processing peptidase","K06383"
"109","cdf","CD630_26520","spoVE"," Cell division/stage V sporulation protein","K03588"
"110","cdf","CD630_26560","spoVD"," Stage V sporulation protein D (Sporulation-specific penicillin-binding protein)","K08384"
"111","cdf","CD630_26640","murE"," UDP-N-acetylmuramyl-tripeptide synthetase","K01928"
"112","cdf","CD630_26670","ptsG-BC"," PTS system, glucose-specific IIBC component","K20118"
"113","cdf","CD630_27020","brnQ"," Branched-chain amino acid transport system II carrier protein","K03311"
"114","cdf","CD630_27610",NA,"putative N-acetylmuramoyl-L-alanine amidase","K01448"
"115","cdf","CD630_27810","mviN"," Transmembrane virulence factor, MviN family protein","K03980"
"116","cdf","CD630_28580",NA,"putative membrane protein","K03699"
"117","cdf","CD630_28650",NA,"putative bacterioferritin","K03594"
"118","cdf","CD630_29670","spoVFB"," Dipicolinate synthase subunit B","K06411"
"119","cdf","CD630_29680","spoVFA"," Dipicolinate synthase subunit A","K06410"
"120","cdf","CD630_31780",NA,"D-hydantoinase (Dihydropyrimidinase)","K01464"
"121","cdf","CD630_31800",NA,"putative purine permease","K24206"
"122","cdf","CD630_31820",NA,"putative D-aminoacylase","K06015"
"123","cdf","CD630_31840","dpaL1"," Diaminopropionate ammonia-lyase","K01751"
"124","cdf","CD630_32690",NA,"putative oligoendopeptidase F, M3B family","K08602"
"125","cdf","CD630_32700",NA,"putative magnesium transport ATPase, MgtC/SapB family","K07507"
"126","cdf","CD630_33680","putative ribosome biogenesis GTPase RsgA"," putative EngC-like GTPase","K06949"
"127","cdf","CD630_33970","whiA"," putative sporulation transcription regulator whiA","K09762"
"128","cdf","CD630_34550",NA,"putative carboxy-terminal protease","K03797"
"129","cdf","CD630_34560",NA,"5-formyltetrahydrofolate cyclo-ligase","K01934"
"130","cdf","CD630_34610","EndoA"," Endoribonuclease toxin","K07171"
"131","cdf","CD630_34620",NA,"putative antitoxin EndoAI","K07723"
"132","cdf","CD630_34630","alr2"," Alanine racemase 2","K01775"
"133","cdf","CD630_34660","acpS"," Holo-[acyl-carrier-protein] synthase","K00997"
"134","cdf","CD630_34680","atpD1"," ATP synthase subunit beta (ATPase subunit beta) (ATP synthase F1 sector subunit beta)","K02112"
"135","cdf","CD630_34830",NA,"putative zinc/iron permease","K07238"
"136","cdf","CD630_34890",NA,"putative oligoendopeptidase F, peptidase M3B family","K08602"
"137","cdf","CD630_34900","spoIIE"," stage II sporulation protein","K06382"
"138","cdf","CD630_34980","spoVB"," Stage V sporulation protein B","K06409"
"139","cdf","CD630_34990","spoVT"," Stage V sporulation protein T","K04769"
"140","cdf","CD630_35160","spoVG"," Regulator required for spore cortex synthesis","K06412"
"141","cdf","CD630_35210",NA,"putative peptidase T, M20B family","K01258"
"142","cdf","CD630_35410","spmB"," Spore maturation protein B","K06374"
"143","cdf","CD630_35420","spmA"," Spore maturation protein A","K06373"
"144","cdf","CD630_35510",NA,"putative arginine decarboxylase","K01585"
"145","cdf","CD630_35511",NA,"putative membrane protein","K09779"
"146","cdf","CD630_35630",NA,"putative spore cortex-lytic hydrolase","K01449"
"147","cdf","CD630_35640","spoIIR"," Pro-sigma(E) endopeptidase (stage II sporulation)","K06387"
"148","cdf","CD630_35690",NA,"Sporulation-specific protease","K06436"
"149","cdf","CD630_35950",NA,"Aminopeptidase","K19689"
"150","cdf","CD630_36100",NA,"putative glyoxalase","K01759"
"151","cdf","CD630_36710","spo0J"," Stage 0 sporulation protein J, site-specific DNA-binding protein","K03497"
"152","cdf","CD630_36720","soj"," Transcriptional regulator, sporulation initiation inhibitor, chromosome partitioning protein","K03496"
