old_locus_tag,locus_tag,Gene product,gene name,Functional class,Functional colour,Transcriptome p-adj value , Transcriptome log2fold change in 630?erm?spo0A, Proteome log2fold change in 630?erm?spo0A,Mature spore proteome (PMID:19542279)
CD0031,CD630_00310,"Transcriptional regulator, AraC family",,6.3.2,9,not significant,not significant,not detected,not detected
CD0032,CD630_00320,putative beta-glucosidase,,2.1.3,5,not significant,not significant,not detected,not detected
CD0033,CD630_00330,putative glycoside hydrolase,,3.4.5,6,not significant,not significant,not detected,not detected
CD0034,CD630_00340,"putative xylose transporter, sodium:galactoside symporter family",,1.5.3,3,not significant,not significant,not detected,not detected
CD0035,CD630_00350,Transcriptional regulator,,6.5.0,9,not significant,not significant,not detected,not detected
CD0036,CD630_00360,Acetoin dehydrogenase E1 component (TPP-dependent alpha subunit),acoA,3.4.3,6,not significant,not significant,-0.9902,not detected
CD0037,CD630_00370,Acetoin dehydrogenase E1 component (TPP-dependent beta subunit),acoB,3.4.3,6,not significant,not significant,0.0069,not detected
CD0038,CD630_00380,Acetoin dehydrogenase E2 component (dihydrolipoamide acetyltransferase),acoC,3.4.3,6,not significant,not significant,0.2195,not detected
CD0039,CD630_00390,Acetoin dehydrogenase E3 component (dihydrolipoamide dehydrogenase),acoL,3.4.3,6,not significant,not significant,0.0972,not detected
CD0040,CD630_00400,"Transcription antiterminator, PTS operon regulator",,6.5.0,9,not significant,not significant,not detected,not detected
CD0041,CD630_00410,"PTS system, galactitol-specific IIA component",,1.5.3,3,not significant,not significant,not detected,not detected
CD0042,CD630_00420,"PTS system, galactitol-specific IIB component",,1.5.3,3,not significant,not significant,not detected,not detected
CD0043,CD630_00430,"PTS system, galactitol-specific IIC component",,1.5.3,3,not significant,not significant,not detected,not detected
CD0044,CD630_00440,conserved hypothetical protein,,0.0.2,10,not significant,not significant,not detected,not detected
CD0045,CD630_00450,putative sugar-phosphate aldolase,,3.4.3,6,not significant,not significant,not detected,not detected
CD0046,CD630_00460,putative lipoate-protein ligase,,3.2.7,7,not significant,not significant,not detected,not detected
CD0047,CD630_00470,2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase,ispD,3.2.8,7,not significant,not significant,-0.0897,not detected
CD0048,CD630_00480,"2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase",ispF,3.2.8,7,not significant,not significant,-0.1117,not detected
CD0049,CD630_00490,Prolyl-tRNA synthetase,proS,2.2.1,2,not significant,not significant,-0.373,not detected
CD0050,CD630_00500,Prolyl-tRNA synthetase,proS1,2.2.1,2,not significant,not significant,-0.3327,detected
CD0051,CD630_00510,Glutamyl-tRNA synthetase,gltX,2.2.1,2,not significant,not significant,0.1819,not detected
CD0051A,CD630_00511,conserved hypothetical protein,,0.0.2,10,not significant,not significant,not detected,not detected
CD0052,CD630_00520,Cysteinyl-tRNA synthetase (Cysteine--tRNA ligase) (CysRS),cysS,2.2.1,2,not significant,not significant,0.1243,detected
CD0053,CD630_00530,Ribonuclease III,mrnC,2.1.2,5,not significant,not significant,not detected,not detected
CD0054,CD630_00540,Thymidylate synthase thyX (TS) (TSase),thyX,3.3.0,7,not significant,not significant,0.1986,not detected
CD0055,CD630_00550,"putative tRNA/rRNA methyltransferase, TrmH family, group3",,2.2.11,2,not significant,not significant,-0.0265,not detected
CD0056,CD630_00560,putative ribonuclease,,2.1.2,5,not significant,not significant,not detected,not detected
CD0057,CD630_00570,RNA polymerase factor sigma-70,sigH,6.2.1,9,not significant,not significant,not detected,not detected
CD0058,CD630_00580,Elongation factor EFTu/EF1A,tuf1,2.2.10,2,not significant,not significant,-0.0862,detected
CD0058A,CD630_00581,50S ribosomal protein L33,rpmG,4.2.2,2,not significant,not significant,0.02,detected
CD0059,CD630_00590,Preprotein translocase SecE subunit,secE,1.5.5,3,not significant,not significant,not detected,not detected
CD0060,CD630_00600,transcription antitermination protein,nusG,2.2.11,2,not significant,not significant,-0.1473,not detected
CD0061,CD630_00610,50S ribosomal protein L11,rplK,4.2.2,2,not significant,not significant,-0.0588,detected
CD0062,CD630_00620,50S ribosomal protein L1,rplA,4.2.2,2,not significant,not significant,-0.0396,detected
CD0063,CD630_00630,50S ribosomal protein L10,rplJ,4.2.2,2,not significant,not significant,0.2052,detected
CD0064,CD630_00640,50S ribosomal protein L7/L12,rplL,4.2.2,2,not significant,not significant,0.1124,detected
CD0065,CD630_00650,putative NADP-dependent deshydrogenase,,3.4.5,6,4.76E-43,2.9408,2.6484,not detected
CD0066,CD630_00660,DNA-directed RNA polymerase subunit beta,rpoB,2.2.11,2,not significant,not significant,0.0342,detected
CD0067,CD630_00670,DNA-directed RNA polymerase subunit beta',rpoC,2.2.11,2,not significant,not significant,-0.0421,detected
CD0068,CD630_00680,30S ribosomal protein S12,rpsL,4.2.2,2,not significant,not significant,-0.0239,detected
CD0069,CD630_00690,30S ribosomal protein S7,rpsG,4.2.2,2,not significant,not significant,-0.1004,detected
CD0070,CD630_00700,Elongation factor G (EF-G),fusA,2.2.10,2,not significant,not significant,-0.0405,detected
CD0071,CD630_00710,Elongation factor EFTu/EF1A (EF-Tu),tuf,2.2.10,2,not significant,not significant,-0.0862,detected
CD0072,CD630_00720,30S ribosomal protein S10,rpsJ,4.2.2,2,not significant,not significant,-0.6681,detected
CD0073,CD630_00730,50S ribosomal protein L3,rplC,4.2.2,2,not significant,not significant,-0.1277,detected
CD0074,CD630_00740,50S ribosomal protein L4,rplD,4.2.2,2,not significant,not significant,0.0567,detected
CD0075,CD630_00750,50S ribosomal protein L23,rplW,4.2.2,2,not significant,not significant,0.0213,detected
CD0076,CD630_00760,50S ribosomal protein L2,rplB,4.2.2,2,not significant,not significant,-0.184,detected
CD0077,CD630_00770,30S ribosomal protein S19,rpsS,4.2.2,2,not significant,not significant,-0.2843,detected
CD0078,CD630_00780,50S ribosomal protein L22,rplV,4.2.2,2,not significant,not significant,-0.089,detected
CD0079,CD630_00790,30S ribosomal protein S3,rpsC,4.2.2,2,not significant,not significant,-0.1329,detected
CD0080,CD630_00800,50S ribosomal protein L16,rplP,4.2.2,2,not significant,not significant,-0.5533,detected
CD0080A,CD630_00801,50S ribosomal protein L29,rpmC,4.2.2,2,not significant,not significant,-0.2268,detected
CD0081,CD630_00810,30S ribosomal protein S17,rpsQ,4.2.2,2,not significant,not significant,-0.1092,detected
CD0082,CD630_00820,50S ribosomal protein L14,rplN,4.2.2,2,not significant,not significant,-0.0984,detected
CD0083,CD630_00830,50S ribosomal protein L24,rplX,4.2.2,2,not significant,not significant,-0.0528,detected
CD0084,CD630_00840,50S ribosomal protein L5,rplE,4.2.2,2,not significant,not significant,-0.1301,detected
CD0084A,CD630_00841,30S ribosomal protein S14 type Z,rpsZ,4.2.2,2,not significant,not significant,0.0406,detected
CD0085,CD630_00850,30S ribosomal protein S8,rpsH,4.2.2,2,not significant,not significant,-0.1072,detected
CD0086,CD630_00860,50S ribosomal protein L6,rplF,4.2.2,2,not significant,not significant,0.0102,detected
CD0087,CD630_00870,50S ribosomal protein L18,rplR,4.2.2,2,not significant,not significant,-0.1972,detected
CD0088,CD630_00880,30S ribosomal protein S5,rpsE,4.2.2,2,not significant,not significant,-0.0401,detected
CD0088A,CD630_00881,50S ribosomal protein L30,rpmD,4.2.2,2,not significant,not significant,0.2376,detected
CD0089,CD630_00890,50S ribosomal protein L15,rplO,4.2.2,2,not significant,not significant,-0.1085,detected
CD0090,CD630_00900,Preprotein translocase SecY subunit,SecY,1.5.5,3,not significant,not significant,not detected,not detected
CD0091,CD630_00910,Adenylate kinase,adk,3.3.11,7,not significant,not significant,-0.1483,detected
CD0092,CD630_00920,Methionine aminopeptidase Map1 (MAP) (Peptidase M),map1,2.2.10,2,not significant,not significant,-0.0949,not detected
CD0093,CD630_00930,Ribosomal protein L14E/L6E/L27E-like,,4.2.2,2,not significant,not significant,-0.0148,detected
CD0094,CD630_00940,Translation initiation factor IF-1,infA,2.2.10,2,not significant,not significant,-0.206,not detected
CD0094A,CD630_00941,50S ribosomal protein L36,rpmJ,4.2.2,2,not significant,not significant,0.137,detected
CD0095,CD630_00950,30S ribosomal protein S13,rpsM,4.2.2,2,not significant,not significant,-0.2298,detected
CD0096,CD630_00960,30S ribosomal protein S11,rpsK,4.2.2,2,not significant,not significant,-0.244,not detected
CD0097,CD630_00970,30S ribosomal protein S4,rpsD,4.2.2,2,not significant,not significant,-0.0143,detected
CD0098,CD630_00980,DNA-directed RNA polymerase subunit alpha,rpoA,2.2.11,2,not significant,not significant,-0.0639,detected
CD0099,CD630_00990,50S ribosomal protein L17,rplQ,4.2.2,2,not significant,not significant,-0.0243,detected
CD0100,CD630_01000,"ABC-type transport system, cobalt-specific ATP-binding protein",cbiO1,1.5.5,3,not significant,not significant,0.1425,not detected
CD0101,CD630_01010,"ABC-type transport system, cobalt-specific ATP-binding protein",cbiO2,1.5.5,3,not significant,not significant,-0.079,not detected
CD0102,CD630_01020,"ABC-type transport system, cobalt-specific permease",cbiQ,1.5.5,3,not significant,not significant,not detected,not detected
CD0103,CD630_01030,transfer RNA pseudouridine synthase A 1,truA1,2.2.1,2,not significant,not significant,not detected,not detected
CD0104,CD630_01040,50S ribosomal protein L13,rplM,4.2.2,2,not significant,not significant,-0.1205,detected
CD0105,CD630_01050,30S ribosomal protein S9,rpsI,4.2.2,2,not significant,not significant,-0.541,detected
CD0106,CD630_01060,"Germination-specific N-acetylmuramoyl-L-alanine amidase, Autolysin",cwlD,1.8.1,0,not significant,not significant,not detected,not detected
CD0107,CD630_01070,Aspartate aminotransferase,aspC,3.1.4,7,0.0005,0.7557,0.5335,not detected
CD0108,CD630_01080,Anaerobic ribonucleoside triphosphate reductase,nrdD,3.3.1,7,not significant,not significant,0.1199,not detected
CD0109,CD630_01090,Anaerobic ribonucleoside-triphosphate reductase-activating protein,nrdG,3.3.11,7,not significant,not significant,not detected,not detected
CD0110,CD630_01100,"conserved hypothetical protein, CHP00159 family",,0.0.2,10,not significant,not significant,0.3185,not detected
CD0111,CD630_01110,putative exported protein,,4.1.7,3,not significant,not significant,0.6009,not detected
CD0111A,CD630_01111,conserved hypothetical protein,,0.0.2,10,not significant,not significant,not detected,not detected
CD0112,CD630_01120,phosphate butyryltransferase,ptb,3.5.4,1,0.0033,0.6571,-0.4308,not detected
CD0113,CD630_01130,Butyrate kinase (BK) (Branched-chain carboxylic acid kinase),buk,3.5.4,1,0.0012,0.6861,-0.4075,detected
CD0114,CD630_01140,putative atp/gtp-binding protein,,7.0.0,13,0.0029,0.6293,-0.2352,not detected
CD0115,CD630_01150,"putative 4Fe-4S ferredoxin, iron-sulfur binding domain protein, delta subunit",,3.5.3,1,not significant,not significant,-0.4658,detected
CD0116,CD630_01160,"putative ferredoxin/flavodoxin oxidoreductase,alpha subunit",,3.5.3,1,not significant,not significant,-0.4427,not detected
CD0117,CD630_01170,"putative ferredoxin/flavodoxin oxidoreductase,beta subunit",,3.5.3,1,not significant,not significant,-0.3982,not detected
CD0118,CD630_01180,"putative ferredoxin/flavodoxin oxidoreductase,gamma subunit",,3.5.3,1,0.0033,0.6167,-0.4174,not detected
CD0119,CD630_01190,Phosphoglucosamine mutase,glmM,3.3.7,7,not significant,not significant,-0.0466,not detected
CD0120,CD630_01200,Glucosamine--fructose-6-phosphate aminotransferase [isomerizing],glmS,3.3.2,7,not significant,not significant,0.1352,not detected
CD0121,CD630_01210,putative thiosulfate sulfurtransferase,,1.4.2,0,not significant,not significant,not detected,not detected
CD0122,CD630_01220,putative exported protein,,4.1.7,3,not significant,not significant,not detected,not detected
CD0123,CD630_01230,UDP-N-acetylglucosamine 1-carboxyvinyltransferase,murA,4.1.9,3,not significant,not significant,-0.0588,detected
CD0124,CD630_01240,Stage II sporulation protein D,spoIID,1.8.1,0,not significant,not significant,not detected,not detected
CD0125,CD630_01250,putative cell wall endopeptidase,,4.1.9,3,0.0028,-0.8321,not detected,not detected
CD0126,CD630_01260,Stage III sporulation protein D,spoIIID,1.8.1,0,0.0001,-1.5308,not detected,not detected
CD0127,CD630_01270,Rod shape-determining protein MreB,mreB1,1.7.1,0,not significant,not significant,-0.046,not detected
CD0128,CD630_01280,(3R)-hydroxymyristoyl-[acyl-carrier-protein] dehydratase,fabZ,3.6.1,7,not significant,not significant,-0.184,detected
CD0129,CD630_01290,putative sporulation protein yyac,,1.8.1,0,not significant,not significant,not detected,not detected
CD0130,CD630_01300,S-adenosylmethionine synthetase,metK,3.3.16,7,not significant,not significant,-0.1423,not detected
CD0131,CD630_01310,putative membrane protein,,4.1.6,3,not significant,not significant,not detected,not detected
CD0132,CD630_01320,"putative DNA helicase, RecD/TraA type",,2.2.3,2,not significant,not significant,not detected,not detected
CD0133,CD630_01330,putative phosphoribosyl transferase,,2.2.3,2,not significant,not significant,not detected,not detected
CD0134,CD630_01340,"Transcription antiterminator, PTS operon regulator",,6.5.0,9,not significant,not significant,not detected,not detected
CD0135,CD630_01350,"PTS system, lactose/cellobiose-family IIA component",,1.5.3,3,not significant,not significant,not detected,not detected
CD0136,CD630_01360,"PTS system, lactose/cellobiose-family IIB component",,1.5.3,3,not significant,not significant,not detected,not detected
CD0137,CD630_01370,"PTS system, lactose/cellobiose-family IIC component",,1.5.3,3,not significant,not significant,not detected,not detected
CD0138,CD630_01380,glycine/sarcosine/betaine reductase b,,3.1.9,7,not significant,not significant,not detected,not detected
CD0139,CD630_01390,N(4)-(beta-N-acetylglucosaminyl)-L-asparaginase,,2.2.4,2,not significant,not significant,not detected,not detected
CD0140,CD630_01400,putative peptidase,,2.1.4,5,not significant,not significant,not detected,not detected
CD0141,CD630_01410,Copper homeostasis protein,cutC,1.4.2,0,not significant,not significant,-0.1416,not detected
CD0142,CD630_01420,putative RNA-binding protein,,2.2.11,2,0.0004,-0.9596,-0.5786,not detected
CD0143,CD630_01430,Protein translocase subunit SecA1,secA1,1.5.5,3,not significant,not significant,-0.0999,detected
CD0144,CD630_01440,Peptide chain release factor 2 (RF-2),prfB,2.2.10,2,not significant,not significant,not detected,not detected
CD0145,CD630_01450,putative S1 RNA-binding domain-containing protein,,1.5.5,2,not significant,not significant,-0.0265,not detected
CD0146,CD630_01460,putative hydrolase,,3.4.0,6,not significant,not significant,-0.2157,not detected
CD0147,CD630_01470,putative transporter,,1.5.5,3,not significant,not significant,not detected,not detected
CD0148,CD630_01480,uncharacterised protein,,7.0.0,13,0.0035,-0.9889,not detected,not detected
CD0149,CD630_01490,putative atp/gtp hydrolase,,7.0.0,13,not significant,not significant,not detected,not detected
CD0150,CD630_01500,"putative peptidase, M22 family",,2.1.4,5,not significant,not significant,-0.3332,not detected
CD0151,CD630_01510,"putative alanine acetyltransferase, ribosomal family",rimI,4.2.2,2,not significant,not significant,not detected,not detected
CD0152,CD630_01520,putative O-sialoglycoprotein endopeptidase,gcp,2.1.4,5,not significant,not significant,-0.3452,not detected
CD0153,CD630_01530,"putative 4-hydroxyphenylacetate decarboxylase,catalytic subunit HpdB",,3.4.5,6,not significant,not significant,0.0714,not detected
CD0154,CD630_01540,"putative 4-hydroxyphenylacetate decarboxylase,regulatory subunit HpdC",,3.4.5,6,not significant,not significant,-0.0724,not detected
CD0155,CD630_01550,"putative 4-hydroxyphenylacetate decarboxylase,activating subunit HpdA; putative glycyl-radical activating family protein",,3.4.5,6,not significant,not significant,not detected,not detected
CD0156,CD630_01560,putative membrane-membrane-associated CAAX amino terminal protease,,2.1.4,5,not significant,not significant,not detected,not detected
CD0157,CD630_01570,putative membrane protein,,4.1.6,3,1.93E-28,-2.3198,not detected,not detected
CD0159,CD630_01590,"putative enzyme, glyoxalase family",,1.4.2,0,not significant,not significant,not detected,not detected
CD0160,CD630_01600,Two-component response regulator,,6.1.2,9,not significant,not significant,not detected,not detected
CD0161,CD630_01610,"ABC-type transport system, multidrug-family ATP-binding protein",,1.4.3,0,not significant,not significant,not detected,not detected
CD0162,CD630_01620,putative radical SAM-family protein,,3.3.16,7,not significant,not significant,not detected,not detected
CD0163,CD630_01630,conserved hypothetical protein,,0.0.2,10,not significant,not significant,not detected,not detected
CD0163A,CD630_01631,conserved hypothetical protein,,0.0.2,10,not significant,not significant,not detected,not detected
CD0163B,CD630_01632,uncharacterised protein,,7.0.0,13,0.0085,-0.9487,not detected,not detected
CD0164,CD630_01640,putative membrane protein,,4.1.6,3,not significant,not significant,not detected,not detected
CD0165,CD630_01650,putative amino acid transporter,,1.5.1,3,not significant,not significant,not detected,not detected
CD0166,CD630_01660,"putative peptidase, M20D family",,2.1.4,5,not significant,not significant,not detected,not detected
CD0167,CD630_01670,"Transcriptional regulator, sigma-54-dependent",,6.5.0,9,not significant,not significant,not detected,not detected
CD0168,CD630_01680,putative cyclic nucleotide-binding protein,,6.5.0,9,not significant,not significant,not detected,not detected
CD0169,CD630_01690,"putative drug/sodium antiporter, MATE family",,1.4.3,3,not significant,not significant,not detected,not detected
CD0170,CD630_01700,"ABC-type transport system, ATP-binding protein",,1.5.5,3,not significant,not significant,0.2088,not detected
CD0171,CD630_01710,"Transcriptional regulator, Redox-sensing repressor Rex",rex,6.5.0,9,not significant,not significant,0.3068,not detected
CD0172,CD630_01720,fwde family protein,,7.0.0,13,not significant,not significant,not detected,not detected
CD0172A,CD630_01721,Ferredoxin (4Fe-4S cluster-containing protein) (fdx-like),fdxA,3.5.3,1,not significant,not significant,not detected,not detected
CD0173,CD630_01730,putative lipoprotein,,4.1.7,3,not significant,not significant,not detected,detected
CD0174,CD630_01740,Carbon monoxide dehydrogenase,cooS,3.5.2,1,0.0064,0.5997,0.1433,not detected
CD0175,CD630_01750,"putative oxidoreductase, Fe-S subunit",,3.5.3,1,not significant,not significant,not detected,not detected
CD0176,CD630_01760,"putative oxidoreductase, NAD/FAD binding subunit",,3.5.3,1,not significant,not significant,0.0173,not detected
CD0177,CD630_01770,Cyclopropane-fatty-acyl-phospholipid synthase,cfa,3.3.0,7,not significant,not significant,-0.0973,not detected
CD0178,CD630_01780,putative ATPase,,7.0.0,13,not significant,not significant,not detected,not detected
CD0179,CD630_01790,NAD-specific glutamate dehydrogenase,gluD,3.4.2,6,0.0011,0.6508,0.1228,detected
CD0180,CD630_01800,Fragment of conserved hypothetical protein (N-terminal region),,0.0.2,11,not significant,not significant,not detected,not detected
CD0181,CD630_01810,"putative membrane-associated metalloprotease,M56 family",,2.1.4,5,not significant,not significant,not detected,not detected
CD0181A,CD630_01811,conserved hypothetical protein,,0.0.2,10,not significant,not significant,not detected,not detected
CD0182,CD630_01820,conserved hypothetical protein,,0.0.2,10,not significant,not significant,not detected,not detected
CD0183,CD630_01830,putative cell wall hydrolase,,4.1.7,3,not significant,not significant,-0.4321,not detected
CD0184,CD630_01840,Aspartate carbamoyltransferase (Aspartate transcarbamylase) (ATCase),pyrB,3.7.2,7,not significant,not significant,0.074,not detected
CD0185,CD630_01850,Dihydroorotate dehydrogenase electron transfer subunit,pyrK,3.7.2,7,not significant,not significant,-0.02,not detected
CD0186,CD630_01860,Dihydroorotate dehydrogenase catalytic subunit,pyrD,3.7.2,7,not significant,not significant,0.0027,not detected
CD0187,CD630_01870,Orotate phosphoribosyltransferase (OPRT) (OPRTase),pyrE,3.7.2,7,not significant,not significant,-0.0495,not detected
CD0188,CD630_01880,putative ketopantoate reductase,,3.2.10,7,not significant,not significant,0.1963,not detected
CD0189,CD630_01890,"Transcriptional regulator, LysR family",,6.3.6,9,not significant,not significant,-0.016,not detected
CD0190,CD630_01900,putative membrane protein,,4.1.6,3,not significant,not significant,not detected,not detected
CD0191,CD630_01910,putative DNA glycosylase,,2.2.3,2,not significant,not significant,0.1511,not detected
CD0192,CD630_01920,Cardiolipin synthetase 1,cls,2.2.7,7,not significant,not significant,not detected,not detected
CD0193,CD630_01930,10 kDa chaperonin (Protein Cpn10) (GroES protein),groS,1.3.1,0,not significant,not significant,0.1706,detected
CD0194,CD630_01940,60 kDa chaperonin (Protein Cpn60) (GroEL protein),groL,1.3.1,0,not significant,not significant,0.0604,detected
CD0195,CD630_01950,putative NCAIR-mutase (PurE)-related protein,,3.3.0,7,not significant,not significant,0.0868,not detected
CD0196,CD630_01960,"Fragment of conserved hypothetical protein,DUF111 family",,0.0.2,11,not significant,not significant,not detected,not detected
CD0198,CD630_01980,Glutamine amidotransferase,guaA,3.7.1,7,not significant,not significant,0.1213,not detected
CD0198A,CD630_01981,conserved hypothetical protein,,0.0.2,10,not significant,not significant,not detected,not detected
CD0199,CD630_01990,putative membrane-associated nucleotidase,,3.4.5,6,not significant,not significant,-0.2949,not detected
CD0200,CD630_02000,"Fragment of transcriptional regulator, LysR family (C-terminal region)",,6.3.6,11,not significant,not significant,not detected,not detected
CD0201,CD630_02010,putative chromate transporter,,1.5.5,3,not significant,not significant,not detected,not detected
CD0202,CD630_02020,conserved hypothetical protein,,0.0.2,10,not significant,not significant,not detected,not detected
CD0203,CD630_02030,putative UvrABC system protein A 1 (UvrA protein 1) (Excinuclease ABC subunit A 1),,2.2.3,2,not significant,not significant,not detected,not detected
CD0204,CD630_02040,putative signaling protein,,6.5.0,9,not significant,not significant,not detected,not detected
CD0205,CD630_02050,"Transcription antiterminator, PTS operon regulator",,6.5.0,9,3.46E-32,3.0151,not detected,not detected
CD0206,CD630_02060,"PTS system, fructose-like IIA component",,1.5.3,3,0.0014,1.1719,not detected,not detected
CD0207,CD630_02070,"PTS system, fructose-like IIC component",,1.5.3,3,4.50E-08,2.7713,not detected,not detected
CD0208,CD630_02080,"PTS system, fructose-like IIB component",,1.5.3,3,1.63E-08,1.8996,0.6763,not detected
CD0209,CD630_02090,putative tagatose 6-phosphate kinase,,3.4.3,6,6.31E-54,3.6665,0.767,not detected
CD0210,CD630_02100,"putative hydrolase, HAD superfamily, subfamily IA",,3.4.0,6,0.0006,1.1373,0.2004,not detected
CD0211,CD630_02110,CTP:phosphocholine cytidylyltransferase,licC,4.1.9,3,not significant,not significant,not detected,not detected
CD0212,CD630_02120,putative sulfatase,,3.3.19,7,not significant,not significant,0.2266,not detected
CD0213,CD630_02130,putative spore coat protein,,1.8.1,0,not significant,not significant,not detected,not detected
CD0214,CD630_02140,uncharacterised protein,,7.0.0,13,not significant,not significant,not detected,detected
CD0215,CD630_02150,Transposase IS200/IS605-like OrfA,,5.1.4,12,not significant,not significant,not detected,not detected
CD0216,CD630_02160,Transposase IS200/IS605-like OrfB,,5.1.4,12,not significant,not significant,not detected,not detected
CD0217,CD630_02170,putative nitroreductase,,7.0.0,13,not significant,not significant,not detected,not detected
CD0218,CD630_02180,Phosphoribosylaminoimidazole carboxylase catalytic subunit,purE,3.7.1,7,not significant,not significant,-0.5283,not detected
CD0219,CD630_02190,Phosphoribosylaminoimidazole-succinocarboxamide synthase,purC,3.7.1,7,not significant,not significant,-0.3769,not detected
CD0220,CD630_02200,Amidophosphoribosyltransferase,purF,3.7.1,7,not significant,not significant,-0.569,not detected
CD0221,CD630_02210,Phosphoribosylformylglycinamidine cyclo-ligase,purG,3.7.1,7,not significant,not significant,-0.7388,not detected
CD0222,CD630_02220,Phosphoribosylglycinamide formyltransferase,purN,3.7.1,7,not significant,not significant,not detected,not detected
CD0223,CD630_02230,Bifunctional purine biosynthesis protein purH [Includes: Phosphoribosylaminoimidazolecarboxamide formyltransferase ; IMP cyclohydrolase],purH,3.7.1,7,not significant,not significant,-0.4855,not detected
CD0224,CD630_02240,Phosphoribosylamine--glycine ligase,purD,3.7.1,7,not significant,not significant,-0.5295,not detected
CD0225,CD630_02250,Phosphoribosylformylglycinamidine synthase,purL,3.7.1,7,not significant,not significant,-0.4241,not detected
CD0226,CD630_02260,putative lytic transglycosylase,,3.3.21,7,0.00026,0.8644,0.5551,not detected
CD0227,CD630_02270,conserved hypothetical protein,,0.0.2,10,not significant,not significant,0.186,not detected
CD0228,CD630_02280,Flagellar motor switch protein FliN,fliN,1.1.1,0,not significant,not significant,0.4897,not detected
CD0229,CD630_02290,Negative regulator of flagellin synthesis (Anti-sigma-d factor),flgM,6.2.2,9,not significant,not significant,0.2255,not detected
CD0230,CD630_02300,putative flagellar biosynthesis protein,,1.1.1,0,not significant,not significant,-1.968,not detected
CD0231,CD630_02310,Flagellar hook-associated protein FlgK (or HAP1),flgK,1.1.1,0,not significant,not significant,0.1626,not detected
