ko,bsu
K02548,BSU_38490
K01866,BSU_38460
K00878,BSU_38300
K00788,BSU_38290
K02826,BSU_38170
K02827,BSU_38160
K02828,BSU_38150
K02829,BSU_38140
K02598,BSU_38060
K01193,BSU_38040
K00973,BSU_37840
K01710,BSU_37830
K00067,BSU_37820
K00260,BSU_37790
K00294,BSU_37780
K00625,BSU_37660
K01985,BSU__rRNA_3
K01985,BSU__rRNA_11
K01985,BSU__rRNA_26
K01985,BSU__rRNA_28
K02314,BSU_40440
K02939,BSU_40500
K00661,BSU_40850
K01142,BSU_40880
K02963,BSU_40890
K03111,BSU_40900
K02990,BSU_40910
K02914,BSU_41060
K02313,BSU_00010
K02338,BSU_00020
K02470,BSU_00060
K02469,BSU_00070
K00088,BSU_00090
K01875,BSU_00130
K02343,BSU_00190
K00943,BSU_00280
K02341,BSU_00310
K02528,BSU_00420
K00919,BSU_00460
K00948,BSU_00510
K02897,BSU_00520
K00760,BSU_00680
K02619,BSU_00760
K00796,BSU_00770
K01633,BSU_00780
K00950,BSU_00790
K00991,BSU_00900
K01770,BSU_00910
K00640,BSU_00930
K01883,BSU_00940
K03218,BSU_00960
K03091,BSU_00980
K02913,BSU_00990
K03073,BSU_01000
K02601,BSU_01010
K02867,BSU_01020
K02863,BSU_01030
K00008,BSU_06150
K01077,BSU_09410
K02443,BSU_09270
K02440,BSU_09280
K00864,BSU_09290
K00111,BSU_09300
K00145,BSU_11190
K00930,BSU_11210
K01956,BSU_11230
K01955,BSU_11240
K00382,BSU_14610
K02275,BSU_14890
K02274,BSU_14900
K02276,BSU_14910
K02277,BSU_14920
K01928,BSU_15180
K01000,BSU_15190
K01925,BSU_15200
K02563,BSU_15220
K02445,BSU_02140
K01126,BSU_02130
K01951,BSU_06360
K00033,BSU_40080
K02406,BSU_35360
K01712,BSU_39360
K00053,BSU_28290
K00052,BSU_28270
K01869,BSU_30320
K01356,BSU_17850
K01046,BSU_02700
K02552,BSU_30830
K01661,BSU_30800
K01911,BSU_30790
K02556,BSU_13690
K02557,BSU_13680
K00946,BSU_05900
K01077,BSU_05740
K01588,BSU_06420
K01589,BSU_06430
K01756,BSU_06440
K01923,BSU_06450
K00764,BSU_06490
K01933,BSU_06500
K01945,BSU_06530
K00609,BSU_15490
K01465,BSU_15500
K01956,BSU_15510
K01955,BSU_15520
K02823,BSU_15530
K01591,BSU_15550
K00762,BSU_15560
K00712,BSU_35730
K02935,BSU_01050
K03043,BSU_01070
K03046,BSU_01080
K02952,BSU_01410
K02948,BSU_01420
K03040,BSU_01430
K03090,BSU_04730
K03070,BSU_35300
K02836,BSU_35290
K03092,BSU_34200
K02405,BSU_16470
K02878,BSU_01230
K02904,BSU_01240
K02961,BSU_01250
K02874,BSU_01260
K02895,BSU_01270
K02931,BSU_01280
K02954,BSU_01290
K02994,BSU_01300
K02902,BSU_15820
K00133,BSU_16750
K00928,BSU_16760
K01714,BSU_16770
K00560,BSU_21820
K01867,BSU_11420
K00854,BSU_17610
K01181,BSU_18840
K00265,BSU_18450
K00925,BSU_29470
K02116,BSU_36880
K01448,BSU_17410
K00134,BSU_33940
K03106,BSU_15980
K02959,BSU_15990
K02016,BSU_01630
K02015,BSU_01620
K02015,BSU_01610
K01728,BSU_07560
K00286,BSU_12910
K00567,BSU_13540
K00031,BSU_29130
K00278,BSU_27870
K00767,BSU_27860
K01304,BSU_02650
K01889,BSU_28640
K02529,BSU_35910
K01689,BSU_33900
K00657,BSU_26600
K00700,BSU_30980
K00975,BSU_30970
K02407,BSU_35340
K02422,BSU_35330
K02423,BSU_35320
K01808,BSU_36920
K00600,BSU_36900
K00761,BSU_36890
K00820,BSU_01780
K01775,BSU_04640
K01893,BSU_22360
K01447,BSU_12810
K00931,BSU_13120
K00147,BSU_13130
K01924,BSU_29790
K02379,BSU_36710
K01619,BSU_39420
K02824,BSU_15480
K00945,BSU_22890
K02945,BSU_22880
K03168,BSU_16120
K01226,BSU_07810
K01613,BSU_02290
K00216,BSU_32000
K01609,BSU_22660
K02879,BSU_01440
K02919,BSU_01400
K02518,BSU_01390
K01486,BSU_14520
K00286,BSU_18480
K02358,BSU_01130
K00927,BSU_33930
K02890,BSU_01210
K02033,BSU_11390
K02034,BSU_11400
K02575,BSU_03330
K01479,BSU_39380
K01468,BSU_39370
K00865,BSU_40040
K01953,BSU_39920
K06351,BSU_04080
K01935,BSU_30210
K00652,BSU_30220
K01906,BSU_30240
K00432,BSU_21900
K01687,BSU_21870
K02078,BSU_15920
K03110,BSU_15950
K03088,BSU_01730
K01990,BSU_09070
K00033,BSU_25730
K01447,BSU_25710
K00969,BSU_25640
K02968,BSU_25550
K02687,BSU_25450
K02970,BSU_25410
K01878,BSU_25270
K01879,BSU_25260
K01151,BSU_25130
K02076,BSU_25100
K01262,BSU_24460
K01448,BSU_24190
K01126,BSU_24180
K00634,BSU_24090
K00263,BSU_24080
K00929,BSU_24070
K00382,BSU_24060
K00033,BSU_23860
K00036,BSU_23850
K00286,BSU_23800
K00867,BSU_23760
K00027,BSU_23550
K02483,BSU_26430
K01870,BSU_15430
K03101,BSU_15450
K02621,BSU_18100
K02622,BSU_18090
K01092,BSU_14670
K01953,BSU_30540
K01784,BSU_38860
K00681,BSU_18410
K01232,BSU_08180
K00789,BSU_30550
K01610,BSU_30560
K02479,BSU_38910
K00128,BSU_38830
K02100,BSU_33960
K02101,BSU_28770
K02103,BSU_33970
K01060,BSU_03180
K01233,BSU_26890
K01921,BSU_04560
K02397,BSU_35400
K02355,BSU_01120
K00130,BSU_31060
K01845,BSU_08710
K02520,BSU_28870
K01703,BSU_28260
K01704,BSU_28250
K00790,BSU_36760
K01776,BSU_28390
K02871,BSU_01490
K02887,BSU_28850
K02916,BSU_28860
K03088,BSU_27120
K03088,BSU_38700
K03088,BSU_26840
K03100,BSU_14410
K03169,BSU_04260
K01430,BSU_36660
K01429,BSU_36650
K01428,BSU_36640
K01209,BSU_28510
K01198,BSU_17580
K00294,BSU_03210
K02003,BSU_03730
K02004,BSU_03740
K02483,BSU_03750
K00928,BSU_03790
K00135,BSU_03910
K00158,BSU_04340
K00997,BSU_04620
K00847,BSU_05860
K01809,BSU_05870
K01409,BSU_05940
K03116,BSU_05980
K03118,BSU_05990
K02479,BSU_08300
K01953,BSU_10790
K02291,BSU_10810
K00123,BSU_27220
K01776,BSU_26810
K00104,BSU_28680
K01810,BSU_31350
K01813,BSU_31180
K02483,BSU_34720
K02003,BSU_34700
K00090,BSU_34680
K00691,BSU_34570
K01182,BSU_34560
K02529,BSU_34170
K02479,BSU_34060
K00797,BSU_37500
K01480,BSU_37490
K01990,BSU_37390
K02372,BSU_36370
K00681,BSU_36100
K01990,BSU_38660
K01962,BSU_29200
K00627,BSU_08080
K00075,BSU_15230
K03091,BSU_15320
K03091,BSU_15330
K02387,BSU_16180
K02388,BSU_16190
K02408,BSU_16200
K02409,BSU_16210
K02410,BSU_16220
K02411,BSU_16230
K02412,BSU_16240
K02413,BSU_16250
K02414,BSU_16270
K02389,BSU_16280
K02390,BSU_16290
K06324,BSU_06300
K06439,BSU_26990
K02415,BSU_16300
K02416,BSU_16310
K02417,BSU_16320
K02418,BSU_16340
K02419,BSU_16350
K02420,BSU_16360
K02421,BSU_16370
K02600,BSU_16600
K02519,BSU_16630
K02834,BSU_16650
K00164,BSU_19370
K00658,BSU_19360
K01495,BSU_22780
K04518,BSU_27900
K00382,BSU_08090
K01200,BSU_29930
K00128,BSU_19310
K02838,BSU_16520
K00882,BSU_14390
K00134,BSU_29020
K00266,BSU_18440
K02500,BSU_34870
K02501,BSU_34890
K01892,BSU_27560
K02502,BSU_34930
K02503,BSU_10030
K00549,BSU_13180
K02529,BSU_30260
K01443,BSU_35010
K00850,BSU_29190
K02335,BSU_29090
K00931,BSU_18470
K00873,BSU_29180
K02884,BSU_16040
K02911,BSU_15080
K00831,BSU_10020
K03100,BSU_10490
K01903,BSU_16090
K01902,BSU_16100
K01447,BSU_12460
K00820,BSU_01900
K02483,BSU_02000
K00826,BSU_02390
K01425,BSU_02430
K01424,BSU_02690
K00034,BSU_02830
K01182,BSU_02840
K03116,BSU_02630
K00847,BSU_06170
K01486,BSU_06560
K01972,BSU_06620
K02435,BSU_06670
K02433,BSU_06680
K02434,BSU_06690
K02027,BSU_06970
K02025,BSU_06980
K02026,BSU_06990
K01190,BSU_07080
K01265,BSU_07690
K01512,BSU_07640
K02480,BSU_09320
K02479,BSU_09330
K03088,BSU_09520
K00824,BSU_09670
K00648,BSU_10170
K00626,BSU_10350
K02954,BSU_08880
K00958,BSU_10920
K00648,BSU_11330
K00858,BSU_11610
K03154,BSU_11680
K03149,BSU_11690
K03148,BSU_11700
K00208,BSU_11720
K01760,BSU_11880
K02538,BSU_12000
K01809,BSU_12020
K00123,BSU_12160
K02069,BSU_12240
K01812,BSU_12300
K01686,BSU_12340
K00041,BSU_12380
K01685,BSU_12390
K01433,BSU_13110
K01487,BSU_13170
K02483,BSU_13250
K03093,BSU_13450
K01449,BSU_13820
K01271,BSU_13860
K03088,BSU_14730
K01425,BSU_14830
K00077,BSU_15110
K00958,BSU_15590
K00860,BSU_15600
K00942,BSU_15680
K03060,BSU_15690
K01783,BSU_15790
K02860,BSU_16020
K00806,BSU_16530
K00099,BSU_16550
K01520,BSU_17660
K00963,BSU_18180
K01640,BSU_18230
K03116,BSU_17710
K00058,BSU_18560
K01174,BSU_21610
K01447,BSU_21410
K00525,BSU_20060
K00526,BSU_20040
K01520,BSU_20020
K03210,BSU_27700
K00566,BSU_27500
K01448,BSU_27580
K00859,BSU_29060
K03151,BSU_29580
K01611,BSU_29010
K02549,BSU_30780
K02049,BSU_30610
K02050,BSU_30620
K00027,BSU_29220
K01963,BSU_29210
K01255,BSU_32050
K01466,BSU_32410
K00839,BSU_32520
K02437,BSU_32800
K01778,BSU_32170
K03075,BSU_33630
K02020,BSU_33380
K02018,BSU_33390
K00381,BSU_33430
K00380,BSU_33440
K03093,BSU_33230
K02913,BSU_24900
K01790,BSU_37810
K00016,BSU_03050
K02967,BSU_16490
K02982,BSU_01220
K02992,BSU_01110
K02996,BSU_01500
K02946,BSU_01150
K02950,BSU_01100
K02956,BSU_16680
K02965,BSU_01200
K01358,BSU_34540
K02357,BSU_16500
K06315,BSU_13920
K03455,BSU_11640
K03307,BSU_10450
K03455,BSU_09850
K02761,BSU_38580
K02761,BSU_05830
K02761,BSU_38390
K02237,BSU_25590
K02238,BSU_25570
K02240,BSU_35470
K02242,BSU_35450
K07734,BSU_32140
K03636,BSU_14310
K03637,BSU_05960
K03638,BSU_29460
K02759,BSU_05820
K02759,BSU_38570
K02760,BSU_05810
K02760,BSU_38590
K08174,BSU_10520
K07476,BSU_32780
K02253,BSU_31700
K02110,BSU_36860
K02251,BSU_31710
K03308,BSU_09470
K03308,BSU_19340
K02819,BSU_07800
K05846,BSU_33820
K05847,BSU_33830
K02111,BSU_36830
K02113,BSU_36840
K02771,BSU_27040
K06410,BSU_16730
K03282,BSU_36360
K00390,BSU_15570
K00390,BSU_10930
K01934,BSU_24890
K03570,BSU_28020
K03569,BSU_28030
K03686,BSU_25460
K03581,BSU_27480
K02765,BSU_02350
K00616,BSU_37110
K02346,BSU_23870
K00841,BSU_14000
K01569,BSU_33240
K02777,BSU_22230
K03317,BSU_32180
K03319,BSU_07570
K00384,BSU_34790
K00362,BSU_03320
K00362,BSU_03300
K01735,BSU_22700
K03575,BSU_08630
K03602,BSU_24290
K03601,BSU_24300
K00363,BSU_03290
K00364,BSU_32130
K02083,BSU_32530
K02243,BSU_24730
K03293,BSU_30530
K06442,BSU_24260
K01734,BSU_22480
K01218,BSU_05880
K03293,BSU_02060
K03335,BSU_39720
K03336,BSU_39730
K03337,BSU_39750
K03338,BSU_39740
K03293,BSU_34010
K03293,BSU_03110
K03753,BSU_14290
K02109,BSU_36850
K03320,BSU_36510
K03321,BSU_34660
K02108,BSU_36870
K03698,BSU_09930
K02244,BSU_24720
K02245,BSU_24710
K02246,BSU_24700
K02247,BSU_24690
K02248,BSU_24680
K02249,BSU_24670
K02236,BSU_28070
K02250,BSU_10420
K02252,BSU_03500
K02254,BSU_11310
K02241,BSU_35460
K02239,BSU_25600
K03322,BSU_04360
K01752,BSU_15850
K01752,BSU_15860
K01753,BSU_23770
K01754,BSU_21770
K01733,BSU_32250
K02114,BSU_36800
K02112,BSU_36810
K02115,BSU_36820
K05845,BSU_33710
K03303,BSU_03060
K03303,BSU_34190
K03305,BSU_03670
K03307,BSU_06660
K00010,BSU_39700
K03536,BSU_41050
K00975,BSU_30960
K02340,BSU_25560
K03647,BSU_20070
K03406,BSU_31250
K03406,BSU_31230
K03406,BSU_03440
K03217,BSU_23890
K03217,BSU_41040
K03299,BSU_40070
K03535,BSU_02480
K03534,BSU_31190
K06606,BSU_39680
K03298,BSU_37630
K03299,BSU_19520
K03300,BSU_39060
K03424,BSU_00390
K01736,BSU_22710
K03306,BSU_12840
K03488,BSU_39080
K03480,BSU_13880
K03483,BSU_04160
K03491,BSU_38600
K03489,BSU_40130
K01737,BSU_13730
K02564,BSU_35020
K02564,BSU_02360
K06180,BSU_15460
K03500,BSU_15740
K03411,BSU_16460
K00575,BSU_22720
K06285,BSU_22770
K03481,BSU_08190
K01567,BSU_07980
K00858,BSU_29540
K01104,BSU_36240
K01929,BSU_04570
K03310,BSU_18120
K03310,BSU_07750
K03501,BSU_41000
K03216,BSU_08930
K03315,BSU_09680
K03300,BSU_26860
K06605,BSU_39690
K03311,BSU_29600
K03324,BSU_25420
K03325,BSU_25790
K03327,BSU_19440
K03328,BSU_30050
K06902,BSU_39100
K03408,BSU_16440
K03410,BSU_16450
K03763,BSU_16580
K03292,BSU_17570
K03292,BSU_12310
K03310,BSU_27810
K03639,BSU_36700
K03311,BSU_26690
K06375,BSU_27930
K01647,BSU_09440
K01647,BSU_29140
K01647,BSU_24140
K03406,BSU_31260
K03406,BSU_31240
K03667,BSU_16160
K03453,BSU_19350
K03284,BSU_08000
K03402,BSU_24250
K03590,BSU_15280
K01843,BSU_19690
K03387,BSU_40100
K03531,BSU_15290
K01653,BSU_28300
K03529,BSU_15940
K03722,BSU_22400
K03502,BSU_21500
K03609,BSU_27990
K01649,BSU_28280
K06178,BSU_23160
K03979,BSU_27920
K06187,BSU_00210
K03610,BSU_28000
K03406,BSU_13950
K03648,BSU_37970
K03703,BSU_28490
K03750,BSU_14280
K04066,BSU_15710
K03565,BSU_08520
K03294,BSU_07340
K03438,BSU_15140
K01739,BSU_11870
K06200,BSU_28710
K03629,BSU_00040
K03517,BSU_27850
K00763,BSU_31750
K03437,BSU_28650
K03666,BSU_17340
K03650,BSU_41020
K01662,BSU_24270
K03436,BSU_14380
K03700,BSU_22310
K03752,BSU_14260
K03977,BSU_22840
K03412,BSU_16420
K04077,BSU_06030
K02346,BSU_23710
K03486,BSU_07820
K03621,BSU_15890
K03550,BSU_27740
K03294,BSU_12860
K01652,BSU_36010
K01652,BSU_28310
K03593,BSU_01540
K03655,BSU_15870
K03521,BSU_28530
K03522,BSU_28520
K03596,BSU_25510
K03470,BSU_16060
K03471,BSU_28620
K03654,BSU_19220
K03701,BSU_35160
K01738,BSU_00730
K01738,BSU_29970
K04488,BSU_32680
K06207,BSU_14770
K06336,BSU_24620
K06434,BSU_18030
K06435,BSU_36430
K06288,BSU_33050
K06289,BSU_33060
K06290,BSU_33070
K06291,BSU_35800
K06292,BSU_35810
K06293,BSU_35820
K06294,BSU_01550
K03495,BSU_41010
K03799,BSU_13490
K06295,BSU_03700
K06296,BSU_03720
K06373,BSU_23180
K03671,BSU_28500
K03466,BSU_16800
K03635,BSU_14300
K02259,BSU_14870
K00563,BSU_39010
K06199,BSU_09600
K06377,BSU_08760
K03687,BSU_25480
K03631,BSU_24240
K03449,BSU_40480
K04047,BSU_32990
K06196,BSU_17930
K03705,BSU_25490
K04079,BSU_39820
K03630,BSU_28040
K02909,BSU_30700
K06131,BSU_36590
K03740,BSU_38530
K03739,BSU_38510
K03707,BSU_11650
K06418,BSU_29570
K03816,BSU_22070
K03716,BSU_13930
K04763,BSU_23510
K03571,BSU_28010
K04043,BSU_25470
K06421,BSU_13470
K06422,BSU_08660
K06423,BSU_00450
K06424,BSU_32640
K06425,BSU_08110
K06426,BSU_28660
K06427,BSU_33340
K06428,BSU_08550
K06429,BSU_22000
K06430,BSU_22290
K06431,BSU_18020
K06432,BSU_17990
K06433,BSU_17980
K01749,BSU_28150
K06312,BSU_17770
K04749,BSU_04710
K03781,BSU_39050
K06305,BSU_37920
K04078,BSU_06020
K03664,BSU_33600
K04074,BSU_15420
K03496,BSU_40970
K03786,BSU_24470
K03785,BSU_23080
K03704,BSU_09100
K03704,BSU_05120
K03704,BSU_21930
K03551,BSU_27730
K06217,BSU_25340
K01207,BSU_01660
K03523,BSU_10370
K03665,BSU_17430
K03697,BSU_13700
K03545,BSU_28230
K04757,BSU_04720
K03798,BSU_00690
K06309,BSU_07760
K06310,BSU_17750
K06311,BSU_17760
K04091,BSU_08860
K03790,BSU_11890
K03789,BSU_05930
K03625,BSU_24320
K03563,BSU_35370
K03924,BSU_06330
K03523,BSU_32030
K03623,BSU_26730
K06419,BSU_09750
K06420,BSU_19950
K02337,BSU_29230
K02337,BSU_20340
K03928,BSU_33620
K00558,BSU_20250
K03544,BSU_28220
K03547,BSU_10640
K03628,BSU_37080
K03702,BSU_35170
K03925,BSU_15130
K03657,BSU_06610
K03525,BSU_00700
K03564,BSU_08720
K03644,BSU_32330
K03595,BSU_25290
K03978,BSU_28190
K03685,BSU_15930
K06213,BSU_13300
K03588,BSU_14850
K03555,BSU_17040
K03696,BSU_00860
K03624,BSU_27320
K03553,BSU_16940
K03706,BSU_16170
K03546,BSU_10650
K03713,BSU_17450
K03572,BSU_17050
K03708,BSU_00830
K03723,BSU_00550
K04083,BSU_00710
K00425,BSU_38760
K00425,BSU_30710
K06173,BSU_01480
K04487,BSU_27880
K03829,BSU_28330
K04773,BSU_29530
K02556,BSU_29730
K02557,BSU_29720
K03800,BSU_10250
K03741,BSU_25780
K02392,BSU_36390
K06376,BSU_13640
K00241,BSU_28450
K05979,BSU_10940
K04567,BSU_00820
K06147,BSU_37230
K03784,BSU_19630
K03783,BSU_23490
K03893,BSU_05340
K04041,BSU_40190
K03797,BSU_19590
K00426,BSU_38750
K00426,BSU_30720
K03886,BSU_22560
K03887,BSU_22550
K03888,BSU_22540
K02086,BSU_22350
K01056,BSU_00530
K03885,BSU_32100
K03885,BSU_32200
K01926,BSU_05970
K03781,BSU_38630
K03885,BSU_12290
K05823,BSU_14190
K04094,BSU_16130
K04565,BSU_19400
K04564,BSU_25020
K00239,BSU_28440
K00240,BSU_28430
K04517,BSU_22610
K03781,BSU_08820
K06208,BSU_22690
K06209,BSU_27910
K03439,BSU_29900
K03177,BSU_16660
K04061,BSU_16080
K06297,BSU_03710
K06299,BSU_10720
K06300,BSU_10710
K06301,BSU_10700
K06302,BSU_10690
K06303,BSU_10680
K01994,BSU_28410
K06307,BSU_07790
K06308,BSU_07780
K01665,BSU_00740
K04076,BSU_28210
K07106,BSU_01700
K02490,BSU_37130
K07699,BSU_24220
K02529,BSU_29740
K03893,BSU_36030
K04487,BSU_29590
K04562,BSU_16410
K03499,BSU_14510
K03584,BSU_25280
K04780,BSU_31960
K01990,BSU_30010
K01992,BSU_30000
K04096,BSU_16110
K06023,BSU_35000
K00686,BSU_31270
K02068,BSU_12250
K04485,BSU_00870
K09811,BSU_35250
K06411,BSU_16740
K05520,BSU_27020
K00087,BSU_32470
K00087,BSU_32490
K00087,BSU_32510
K03892,BSU_25810
K03346,BSU_28990
K05340,BSU_03920
K01118,BSU_19230
K04487,BSU_27510
K09013,BSU_32710
K06518,BSU_38320
K03530,BSU_22790
K04766,BSU_29690
K05518,BSU_04740
K05519,BSU_11300
K04767,BSU_29700
K04768,BSU_29710
K05916,BSU_13040
K04486,BSU_29620
K03976,BSU_12060
K03497,BSU_40960
K03497,BSU_40990
K04769,BSU_00560
K06012,BSU_25540
K06019,BSU_34970
K04047,BSU_30650
K02099,BSU_08250
K05810,BSU_15370
K05566,BSU_31610
K03527,BSU_25160
K05795,BSU_02900
K06024,BSU_23210
K05896,BSU_23220
K06344,BSU_11740
K05338,BSU_28910
K05311,BSU_33950
K01992,BSU_38650
K03367,BSU_38500
K03794,BSU_15620
K05339,BSU_28900
K05337,BSU_23040
K05366,BSU_22320
K03647,BSU_17370
K03588,BSU_15210
K07257,BSU_37860
K06384,BSU_23530
K05593,BSU_26790
K02499,BSU_00580
K00899,BSU_13560
K03095,BSU_04790
K06436,BSU_00430
K05846,BSU_33700
K05786,BSU_19480
K03733,BSU_16140
K06343,BSU_11750
K06342,BSU_11760
K06341,BSU_11770
K06340,BSU_11780
K06339,BSU_12090
K06338,BSU_30910
K06390,BSU_24430
K06408,BSU_23390
K06385,BSU_25530
K06409,BSU_27670
K06158,BSU_05950
K06298,BSU_28380
K06131,BSU_37240
K05946,BSU_35750
K06318,BSU_27750
K06317,BSU_00230
K06286,BSU_29610
K06401,BSU_27980
K07095,BSU_28350
K06332,BSU_06890
K06330,BSU_36060
K06329,BSU_40530
K06328,BSU_17030
K06327,BSU_22200
K06326,BSU_17700
K06325,BSU_36050
K06320,BSU_19790
K06323,BSU_19750
K06322,BSU_19760
K06321,BSU_19770
K06319,BSU_19780
K06347,BSU_31460
K06348,BSU_31470
K06349,BSU_01560
K06437,BSU_14250
K05346,BSU_39430
K05847,BSU_33730
K06369,BSU_18910
K06368,BSU_02820
K06367,BSU_05010
K06366,BSU_06830
K06365,BSU_40300
K06364,BSU_37460
K06363,BSU_25830
K06362,BSU_36380
K06361,BSU_03770
K06360,BSU_36690
K06359,BSU_12430
K06358,BSU_18920
K06357,BSU_05020
K06335,BSU_17970
K06334,BSU_06910
K06333,BSU_06900
K15327,BSU_17100
K06153,BSU_31150
K15328,BSU_17110
K15329,BSU_17120
K02551,BSU_30820
K06438,BSU_25350
K02777,BSU_40120
K05846,BSU_33720
K05845,BSU_33810
K05846,BSU_33800
K06356,BSU_40310
K06355,BSU_37470
K06354,BSU_25840
K06353,BSU_03780
K06352,BSU_12440
K05577,BSU_01830
K06314,BSU_37620
K06370,BSU_27840
K06371,BSU_25690
K05739,BSU_22850
K06372,BSU_24600
K06610,BSU_39710
K06374,BSU_23170
K06346,BSU_41030
K06399,BSU_24230
K06397,BSU_24360
K06396,BSU_24370
K06395,BSU_24380
K06394,BSU_24390
K06393,BSU_24400
K06392,BSU_24410
K06391,BSU_24420
K05822,BSU_14180
K06388,BSU_12830
K06389,BSU_12820
K07120,BSU_10570
K06284,BSU_00370
K06304,BSU_10670
K05982,BSU_36170
K03407,BSU_16430
K05568,BSU_31630
K05571,BSU_31660
K08097,BSU_10950
K05565,BSU_31600
K00954,BSU_15020
K03492,BSU_05850
K06400,BSU_25770
K06403,BSU_23440
K06404,BSU_23430
K06405,BSU_23420
K06417,BSU_28110
K06386,BSU_36550
K06381,BSU_36750
K06387,BSU_36970
K06406,BSU_23410
K06402,BSU_27970
K06287,BSU_28050
K06283,BSU_36420
K06609,BSU_06230
K05567,BSU_31620
K05570,BSU_31650
K05569,BSU_31640
K06382,BSU_00640
K08680,BSU_30810
K07173,BSU_30670
K06313,BSU_22920
K06306,BSU_00160
K06595,BSU_10380
K06608,BSU_39770
K01462,BSU_14560
K06378,BSU_23470
K06379,BSU_23460
K06380,BSU_28060
K06398,BSU_22800
K03413,BSU_16330
K03413,BSU_17940
K03415,BSU_14010
K06383,BSU_15310
K06440,BSU_26950
K06726,BSU_35930
K06962,BSU_00970
K06967,BSU_25180
K00817,BSU_22620
K07017,BSU_32010
K07017,BSU_01600
K07114,BSU_00650
K07114,BSU_36740
K02071,BSU_32750
K07090,BSU_32380
K07074,BSU_03190
K07107,BSU_28420
K02072,BSU_32740
K07015,BSU_25680
K09388,BSU_37590
K00872,BSU_32240
K07107,BSU_18040
K07139,BSU_30480
K02647,BSU_28670
K06714,BSU_40350
K06412,BSU_00490
K02205,BSU_40330
K06959,BSU_04780
K07217,BSU_12490
K06413,BSU_17420
K06414,BSU_15810
K06415,BSU_09400
K06416,BSU_16980
K01258,BSU_38920
K06889,BSU_23640
K07090,BSU_29280
K03431,BSU_01770
K07090,BSU_12400
K07213,BSU_33510
K07175,BSU_14810
K06969,BSU_38360
K07124,BSU_23780
K03328,BSU_00570
K03574,BSU_34780
K08384,BSU_15170
K07240,BSU_36120
K07240,BSU_36130
K06885,BSU_37600
K06885,BSU_05780
K07113,BSU_29170
K07243,BSU_38280
K06942,BSU_40920
