Entry,locud_tag,product,synonym,gene
Q187M0,CD630_19080,Bacterial microcompartment shell protein EutS (Ethanolamine utilization protein EutS),CD1908,eutS
Q18B40,CD630_11790,3-oxoacyl-[acyl-carrier-protein] synthase 3 (EC 2.3.1.180) (3-oxoacyl-[acyl-carrier-protein] synthase III) (Beta-ketoacyl-ACP synthase III) (KAS III),,fabH
Q17ZX2,CD630_32270,"2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-acetyltransferase (EC 2.3.1.89) (Tetrahydrodipicolinate N-acetyltransferase) (THP acetyltransferase) (Tetrahydropicolinate acetylase)",,dapH
Q182E8,CD630_24610,Chaperone protein DnaK (HSP70) (Heat shock 70 kDa protein) (Heat shock protein 70),,dnaK
Q189S4,CD630_07290,Glycine cleavage system H protein,,gcvH
Q18B68,CD630_12070,1-deoxy-D-xylulose-5-phosphate synthase (EC 2.2.1.7) (1-deoxyxylulose-5-phosphate synthase) (DXP synthase) (DXPS),,dxs
Q18CF4,CD630_00700,Elongation factor G (EF-G),,fusA
Q18B55,CD630_11910,"Fructose-1,6-bisphosphatase class 3 (FBPase class 3) (EC 3.1.3.11) (D-fructose-1,6-bisphosphate 1-phosphohydrolase class 3)",,fbp
Q18BW7,CD630_14490,GTP cyclohydrolase 1 (EC 3.5.4.16) (GTP cyclohydrolase I) (GTP-CH-I),,folE
Q183I0,CD630_27450,Adenine phosphoribosyltransferase (APRT) (EC 2.4.2.7),,apt
Q181F7,CD630_35550,Type III pantothenate kinase (EC 2.7.1.33) (PanK-III) (Pantothenic acid kinase),,coaX
Q180X0,CD630_34730,ATP synthase subunit c (ATP synthase F(0) sector subunit c) (F-type ATPase subunit c) (F-ATPase subunit c) (Lipid-binding protein),,atpE
Q180T5,CD630_34370,Adenosylcobinamide-GDP ribazoletransferase (EC 2.7.8.26) (Cobalamin synthase) (Cobalamin-5'-phosphate synthase),,cobS
Q18CT5,CD630_01940,Chaperonin GroEL (EC 5.6.1.7) (60 kDa chaperonin) (Chaperonin-60) (Cpn60),groL,groEL
Q18C13,CD630_14930,Putative 3-methyladenine DNA glycosylase (EC 3.2.2.-),,
Q18A79,CD630_08840,Glycogen synthase (EC 2.4.1.21) (Starch [bacterial glycogen] synthase),,glgA
Q183G0,CD630_27260,Serine hydroxymethyltransferase (SHMT) (Serine methylase) (EC 2.1.2.1),,glyA
Q182C3,CD630_24370,GTPase Era,,era
Q18CT8,CD630_01980,GMP synthase [glutamine-hydrolyzing] (EC 6.3.5.2) (GMP synthetase) (Glutamine amidotransferase),,guaA
Q187P6,CD630_19370,Acetyl-coenzyme A carboxylase carboxyl transferase subunit beta (ACCase subunit beta) (Acetyl-CoA carboxylase carboxyltransferase subunit beta) (EC 2.1.3.15),,accD
Q18AP0,CD630_10400,ATP-dependent helicase/deoxyribonuclease subunit B (EC 3.1.-.-) (EC 3.6.4.12) (ATP-dependent helicase/nuclease AddB),,addB
Q18CX3,CD630_02340,Translational regulator CsrA,,csrA
Q181T7,CD630_31710,"2,3-bisphosphoglycerate-independent phosphoglycerate mutase (BPG-independent PGAM) (Phosphoglyceromutase) (iPGM) (EC 5.4.2.12)",,gpmI
Q185S9,CD630_21390,Elongation factor Ts (EF-Ts),,tsf
Q18BA9,CD630_12460,Elongation factor P (EF-P),,efp
Q18CX4,CD630_02330,Flagellar assembly factor FliW,,fliW
Q18C83,CD630_15650,Ketol-acid reductoisomerase (NADP(+)) (KARI) (EC 1.1.1.86) (Acetohydroxy-acid isomeroreductase) (AHIR) (Alpha-keto-beta-hydroxylacyl reductoisomerase) (Ketol-acid reductoisomerase type 1) (Ketol-acid reductoisomerase type I),,ilvC
Q181S7,CD630_36760,tRNA modification GTPase MnmE (EC 3.6.-.-),trmE,mnmE
Q18CH9,CD630_00910,Adenylate kinase (AK) (EC 2.7.4.3) (ATP-AMP transphosphorylase) (ATP:AMP phosphotransferase) (Adenylate monophosphate kinase),,adk
Q18AJ2,CD630_09900,3-isopropylmalate dehydratase large subunit (EC 4.2.1.33) (Alpha-IPM isomerase) (IPMI) (Isopropylmalate isomerase),,leuC
Q181T5,CD630_31700,Enolase (EC 4.2.1.11) (2-phospho-D-glycerate hydro-lyase) (2-phosphoglycerate dehydratase),,eno
Q18B66,CD630_12030,Exodeoxyribonuclease 7 large subunit (EC 3.1.11.6) (Exodeoxyribonuclease VII large subunit) (Exonuclease VII large subunit),,xseA
Q18B11,CD630_11510,Cell division topological specificity factor,,minE
Q187T5,CD630_19750,tRNA dimethylallyltransferase (EC 2.5.1.75) (Dimethylallyl diphosphate:tRNA dimethylallyltransferase) (DMAPP:tRNA dimethylallyltransferase) (DMATase) (Isopentenyl-diphosphate:tRNA isopentenyltransferase) (IPP transferase) (IPPT) (IPTase),,miaA
Q18C09,CD630_14890,Methionine import ATP-binding protein MetN (EC 7.4.2.11),,metN
Q18CD1,CD630_00470,2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase (EC 2.7.7.60) (4-diphosphocytidyl-2C-methyl-D-erythritol synthase) (MEP cytidylyltransferase) (MCT),,ispD
Q18C67,CD630_15480,ATP phosphoribosyltransferase (ATP-PRT) (ATP-PRTase) (EC 2.4.2.17),,hisG
Q18CP3,CD630_01550,4-hydroxyphenylacetate decarboxylase activating enzyme (Hpd-AE) (EC 1.97.1.-),,hpdA
Q187U6,CD630_19860,tRNA-2-methylthio-N(6)-dimethylallyladenosine synthase (EC 2.8.4.3) ((Dimethylallyl)adenosine tRNA methylthiotransferase MiaB) (tRNA-i(6)A37 methylthiotransferase),,miaB
Q189R8,CD630_07200,Bifunctional protein FolD [Includes: Methylenetetrahydrofolate dehydrogenase (EC 1.5.1.5); Methenyltetrahydrofolate cyclohydrolase (EC 3.5.4.9)],,folD
Q182Z4,CD630_26590,Phosphatidylglycerol--prolipoprotein diacylglyceryl transferase (EC 2.5.1.145),,lgt
Q18AJ1,CD630_09910,3-isopropylmalate dehydratase small subunit (EC 4.2.1.33) (Alpha-IPM isomerase) (IPMI) (Isopropylmalate isomerase),,leuD
Q187P1,CD630_19310,LexA repressor (EC 3.4.21.88),,lexA
Q182Z8,CD630_26640,"UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--2,6-diaminopimelate ligase (EC 6.3.2.13) (Meso-A2pm-adding enzyme) (Meso-diaminopimelate-adding enzyme) (UDP-MurNAc-L-Ala-D-Glu:meso-diaminopimelate ligase) (UDP-MurNAc-tripeptide synthetase) (UDP-N-acetylmuramyl-tripeptide synthetase)",,murE
Q18A91,CD630_08990,DNA polymerase IV (Pol IV) (EC 2.7.7.7),,dinB
Q185C5,CD630_22520,"Glutamate 2,3-aminomutase (EC 5.4.3.9)",,eam
Q182F1,CD630_24620,Protein GrpE (HSP-70 cofactor),,grpE
Q182Y6,CD630_26510,UDP-N-acetylglucosamine--N-acetylmuramyl-(pentapeptide) pyrophosphoryl-undecaprenol N-acetylglucosamine transferase (EC 2.4.1.227) (Undecaprenyl-PP-MurNAc-pentapeptide-UDPGlcNAc GlcNAc transferase),,murG
Q187T6,CD630_19770,DNA mismatch repair protein MutS,,mutS
Q185R8,CD630_21300,1-deoxy-D-xylulose 5-phosphate reductoisomerase (DXP reductoisomerase) (EC 1.1.1.267) (1-deoxyxylulose-5-phosphate reductoisomerase) (2-C-methyl-D-erythritol 4-phosphate synthase),,dxr
Q18CP5,CD630_01530,4-hydroxyphenylacetate decarboxylase glycyl radical subunit (HPA decarboxylase glycyl radical subunit) (EC 4.1.1.83) (4-hydroxyphenylacetate decarboxylase catalytic beta subunit) (4-hydroxyphenylacetate decarboxylase large subunit) (p-hydroxyphenylacetate decarboxylase large subunit),,hpdB
Q181T8,CD630_31730,Phosphoglycerate kinase (EC 2.7.2.3),,pgk
Q185B2,CD630_22410,Putative N-acetylmannosamine-6-phosphate 2-epimerase (EC 5.1.3.9) (ManNAc-6-P epimerase),,nanE
Q180F3,CD630_33090,DNA ligase (EC 6.5.1.2) (Polydeoxyribonucleotide synthase [NAD(+)]),,ligA
Q182E7,CD630_24600,Chaperone protein DnaJ,,dnaJ
Q180C9,CD630_32850,Glucose-6-phosphate isomerase (GPI) (EC 5.3.1.9) (Phosphoglucose isomerase) (PGI) (Phosphohexose isomerase) (PHI),,pgi
Q18C22,CD630_15020,Deoxyribose-phosphate aldolase (DERA) (EC 4.1.2.4) (2-deoxy-D-ribose 5-phosphate aldolase) (Phosphodeoxyriboaldolase) (Deoxyriboaldolase),,deoC
Q187N7,CD630_19250,Acetate kinase EutQ (EC 2.7.2.1) (Ethanolamine utilization protein EutQ),CD1925,eutQ
Q186E8,CD630_15930,Potassium-transporting ATPase KdpC subunit (ATP phosphohydrolase [potassium-transporting] C chain) (Potassium-binding and translocating subunit C) (Potassium-translocating ATPase C chain),,kdpC
Q181K1,CD630_35980,S-ribosylhomocysteine lyase (EC 4.4.1.21) (AI-2 synthesis protein) (Autoinducer-2 production protein LuxS),,luxS
Q18B13,CD630_11490,Probable septum site-determining protein MinC,,minC
Q181B7,CD630_35180,UDP-N-acetylmuramate--L-alanine ligase (EC 6.3.2.8) (UDP-N-acetylmuramoyl-L-alanine synthetase),,murC
Q18CJ0,CD630_01000,Energy-coupling factor transporter ATP-binding protein EcfA1 (ECF transporter A component EcfA1) (EC 7.-.-.-),cbiO1,ecfA1
Q18CL0,CD630_01190,Phosphoglucosamine mutase (EC 5.4.2.10),,glmM
Q18CL9,CD630_01280,3-hydroxyacyl-[acyl-carrier-protein] dehydratase FabZ (EC 4.2.1.59) ((3R)-hydroxymyristoyl-[acyl-carrier-protein] dehydratase) ((3R)-hydroxymyristoyl-ACP dehydrase) (Beta-hydroxyacyl-ACP dehydratase),,fabZ
Q187N0,CD630_19180,Bacterial microcompartment shell protein EutM (Bacterial microcompartment protein homohexamer) (BMC-H) (Ethanolamine utilization protein EutM),CD1918 eutK,eutM
Q182S2,CD630_25840,Methionyl-tRNA formyltransferase (EC 2.1.2.9),,fmt
Q18CD3,CD630_00480,"2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase (MECDP-synthase) (MECPP-synthase) (MECPS) (EC 4.6.1.12)",,ispF
Q186A6,CD630_22170,3-dehydroquinate dehydratase (3-dehydroquinase) (EC 4.2.1.10) (Type I DHQase) (Type I dehydroquinase) (DHQ1),,aroD
Q189A6,CD630_05580,Glutaminase (EC 3.5.1.2),,glsA
Q187C6,CD630_18180,4-hydroxy-3-methylbut-2-enyl diphosphate reductase (HMBPP reductase) (EC 1.17.7.4),,ispH
Q187C4,CD630_18160,Cytidylate kinase (CK) (EC 2.7.4.25) (Cytidine monophosphate kinase) (CMP kinase),,cmk
Q182S8,CD630_25880,Guanylate kinase (EC 2.7.4.8) (GMP kinase),,gmk
Q18BH4,CD630_13090,Translation initiation factor IF-2,,infB
Q181S8,CD630_36750,tRNA uridine 5-carboxymethylaminomethyl modification enzyme MnmG (Glucose-inhibited division protein A),gidA,mnmG
Q180P9,CD630_34020,UDP-N-acetylenolpyruvoylglucosamine reductase (EC 1.3.1.98) (UDP-N-acetylmuramate dehydrogenase),,murB
Q18D35,CD630_02970,Biotin synthase (EC 2.8.1.6),,bioB
Q180E5,CD630_33000,Probable GTP-binding protein EngB,,engB
Q181B4,CD630_35150,Bifunctional protein GlmU [Includes: UDP-N-acetylglucosamine pyrophosphorylase (EC 2.7.7.23) (N-acetylglucosamine-1-phosphate uridyltransferase); Glucosamine-1-phosphate N-acetyltransferase (EC 2.3.1.157)],,glmU
Q184M8,CD630_30410,Proline iminopeptidase (PIP) (EC 3.4.11.5) (Prolyl aminopeptidase) (PAP),pepI,pip
Q18B07,CD630_11430,dTTP/UTP pyrophosphatase (dTTPase/UTPase) (EC 3.6.1.9) (Nucleoside triphosphate pyrophosphatase) (Nucleotide pyrophosphatase) (Nucleotide PPase),,
Q18AL0,CD630_10110,Glucosamine-6-phosphate deaminase (EC 3.5.99.6) (GlcN6P deaminase) (GNPDA) (Glucosamine-6-phosphate isomerase),,nagB
Q184N3,CD630_30460,N-acetylmuramic acid 6-phosphate etherase (MurNAc-6-P etherase) (EC 4.2.1.126) (N-acetylmuramic acid 6-phosphate hydrolase) (N-acetylmuramic acid 6-phosphate lyase),,murQ
Q183T0,CD630_28490,Bifunctional phosphonoacetaldehyde hydrolase/aminoethylphosphonate transaminase [Includes: Phosphonoacetaldehyde hydrolase (Phosphonatase) (EC 3.11.1.1) (Phosphonoacetaldehyde phosphonohydrolase); 2-aminoethylphosphonate--pyruvate transaminase (EC 2.6.1.37) (2-aminoethylphosphonate aminotransferase) (AEP transaminase) (AEPT)],,phnXW
Q18B61,CD630_12010,Transcription antitermination protein NusB (Antitermination factor NusB),,nusB
Q18C71,CD630_15520,1-(5-phosphoribosyl)-5-[(5-phosphoribosylamino)methylideneamino] imidazole-4-carboxamide isomerase (EC 5.3.1.16) (Phosphoribosylformimino-5-aminoimidazole carboxamide ribotide isomerase),,hisA
Q180E4,CD630_33010,Lon protease (EC 3.4.21.53) (ATP-dependent protease La),,lon
Q18BE2,CD630_12810,tRNA-specific 2-thiouridylase MnmA (EC 2.8.1.13),trmU,mnmA
Q189Q3,CD630_07090,Endonuclease MutS2 (EC 3.1.-.-),,mutS2
Q187T2,CD630_19740,RNA-binding protein Hfq,,hfq
Q18CL7,CD630_01300,S-adenosylmethionine synthase (AdoMet synthase) (EC 2.5.1.6) (MAT) (Methionine adenosyltransferase),,metK
Q182T8,CD630_25970,Lipoprotein signal peptidase (EC 3.4.23.36) (Prolipoprotein signal peptidase) (Signal peptidase II) (SPase II),,lspA
Q182X3,CD630_26400,Transcriptional repressor NrdR,,nrdR
Q18CS8,CD630_01840,Aspartate carbamoyltransferase (EC 2.1.3.2) (Aspartate transcarbamylase) (ATCase),,pyrB
Q181Z6,CD630_24110,"Putative pyruvate, phosphate dikinase regulatory protein (PPDK regulatory protein) (EC 2.7.11.32) (EC 2.7.4.27)",,
Q17ZY4,CD630_32370,Proline racemase (EC 5.1.1.4),,
Q188Z4,CD630_05520,Protease PrsW (EC 3.4.-.-),sleB,prsW
Q18C47,CD630_15260,Dihydroorotase (DHOase) (EC 3.5.2.3),,pyrC
Q17ZW5,CD630_32190,33 kDa chaperonin (Heat shock protein 33 homolog) (HSP33),,hslO
Q18AM3,CD630_10240,Spermidine/putrescine import ATP-binding protein PotA (EC 7.6.2.11),,potA
