locus_tag,old_locus_tag,product,acc,gi,"                     substrate for methyltransfer, creating the product",note,                     (DIM6/NTAB) family [Energy production and conversion];
CD630_20510,CD2051,membrane protein,YP_001088565,126699668,NA,NA,NA
CD630_13400,CD1340,galactose-1-phosphate uridylyltransferase,YP_001087836,126698939,NA,NA,NA
CD630_17240,CD1724,hypothetical protein,YP_001088227,126699330,NA,NA,NA
CD630_17260,CD1726,hypothetical protein,YP_001088229,126699332,NA,NA,NA
CD630_07570,CD0757,diguanylate kinase signaling protein,YP_001087234,126698337,NA,NA,NA
CD630_19290,CD1929,membrane protein,YP_001088435,126699538,NA,NA,NA
CD630_19280,CD1928,membrane protein,YP_001088434,126699537,NA,NA,NA
CD630_36520,CD3652,peptidase,YP_001090176,126701279,NA,NA,NA
CD630_27990,CD2799,cell wall binding protein,YP_001089312,126700415,NA,NA,NA
CD630_26600,CD2660,M16 family peptidase,YP_001089171,400927466,NA,NA,NA
CD630_28000,CD2800,membrane protein,YP_001089313,126700416,NA,NA,NA
CD630_22700,CD2270,1-phosphofructokinase,YP_001088782,126699885,NA,NA,NA
CD630_22690,CD2269,PTS system fructose-specific transporter subunit,YP_001088781,126699884,NA,NA,NA
CD630_22660,CD2266,oxidoreductase,YP_001088780,126699883,NA,NA,NA
CD630_22650,CD2265,membrane protein,YP_001088779,126699882,NA,NA,NA
CD630_34990,CD3499,stage V sporulation protein T,YP_001090020,126701123,NA,NA,NA
CD630_02130,CD0213,spore coat protein,YP_001086681,126697784,NA,NA,NA
CD630_24370,CD2437,GTPase Era,YP_001088950,126700053,NA,NA,NA
CD630_24390,CD2439,diacylglycerol kinase,YP_001088952,126700055,NA,NA,NA
CD630_24380,CD2438,cytidine deaminase,YP_001088951,126700054,NA,NA,NA
CD630_24411,CD2441A,PhoH-like protein,YP_001088954,126700057,NA,NA,NA
CD630_24400,CD2440,rRNA maturation factor YbeY,YP_001088953,126700056,NA,NA,NA
CD630_24430,CD2443,hypothetical protein,YP_001088956,126700059,NA,NA,NA
CD630_24420,CD2442,stage IV sporulation protein,YP_001088955,126700058,NA,NA,NA
CD630_13230,CD1323,protein export-enhancing factor,YP_001087819,126698922,NA,NA,NA
CD630_13220,CD1322,aspartate kinase I,YP_001087818,126698921,NA,NA,NA
CD630_13210,CD1321,sporulation protein,YP_001087817,126698920,NA,NA,NA
CD630_07490,CD0749,UvrD/REP type DNA helicase,YP_001087226,126698329,NA,NA,NA
CD630_18980,CD1898,cell wall hydrolase,YP_001088405,126699508,NA,NA,NA
CD630_18970,CD1897,hypothetical protein,YP_001088404,126699507,NA,NA,NA
CD630_02960,CD0296,hypothetical protein,YP_001086765,126697868,NA,NA,NA
CD630_02510,CD0251,ATP synthase subunit beta FliI,YP_001086719,126697822,NA,NA,NA
CD630_24650,CD2465,amino acid/polyamine transporter,YP_001088979,126700082,NA,NA,NA
CD630_24690,CD2469,stage II sporulation protein P,YP_001088983,126700086,NA,NA,NA
CD630_24700,CD2470,germination protease,YP_001088984,126700087,NA,NA,NA
CD630_13800,CD1380,major facilitator superfamily transporter,YP_001087880,400927337,NA,NA,NA
CD630_28680,CD2868,oxidoreductase,YP_001089381,400927485,NA,NA,NA
CD630_32490,CD3249,"small, acid-soluble spore protein",YP_001089765,400927521,NA,NA,NA
CD630_32690,CD3269,oligoendopeptidase F,YP_001089785,126700888,NA,NA,NA
CD630_32700,CD3270,MgtC/SapB family magnesium transport ATPase,YP_001089786,126700889,NA,NA,NA
CD630_19300,CD1930,hypothetical protein,YP_001088436,126699539,NA,NA,NA
CD630_13190,CD1319,polysaccharide deacetylase,YP_001087815,126698918,NA,NA,NA
CD630_17460,CD1746,sodium/glutamate symporter,YP_001088250,126699353,NA,NA,NA
CD630_07730,CD0773,stage V sporulation protein AC,YP_001087250,126698353,NA,NA,NA
CD630_07740,CD0774,stage V sporulation protein AD,YP_001087251,126698354,NA,NA,NA
CD630_07750,CD0775,stage V sporulation protein AE,YP_001087252,126698355,NA,NA,NA
CD630_19050,CD1905,site-specific recombinase,YP_001088412,126699515,NA,NA,NA
CD630_19040,CD1904,ABC transporter permease,YP_001088411,126699514,NA,NA,NA
CD630_05960,CD0596,hypothetical protein,YP_001087071,126698174,NA,NA,NA
CD630_05970,CD0597,spore coat peptide assembly protein CotJB,YP_001087072,126698175,NA,NA,NA
CD630_05980,CD0598,spore-coat protein CotJC,YP_001087073,126698176,NA,NA,NA
CD630_11820,CD1182,3-oxoacyl-ACP reductase,YP_001087675,126698778,NA,NA,NA
CD630_04340,CD0434,MATE family drug/sodium antiporter,YP_001086902,126698005,NA,NA,NA
CD630_15950,CD1595,serine acetyltransferase,YP_001088096,400927348,NA,NA,NA
CD630_15550,CD1555,amino acid permease,YP_001088056,400927346,NA,NA,NA
CD630_35210,CD3521,peptidase T,YP_001090042,126701145,NA,NA,NA
CD630_35220,CD3522,hypothetical protein,YP_001090043,126701146,NA,NA,NA
CD630_28160,CD2816,hypothetical protein,YP_001089329,126700432,NA,NA,NA
CD630_06290,CD0629,Crp family transcriptional regulator,YP_001087104,126698207,NA,NA,NA
CD630_21501,CD2150A,hypothetical protein,YP_006589404,400927410,NA,NA,NA
CD630_00480,CD0048,"2-C-methyl-D-erythritol 2,4-cyclo diphosphate",YP_001086511,126697614,NA,NA,NA
CD630_00470,CD0047,2-C-methyl-D-erythritol 4-phosphate,YP_001086510,126697613,NA,NA,NA
CD630_00160,CD0016,DNA polymerase III subunits gamma and tau,YP_001086479,126697582,NA,NA,NA
CD630_00170,CD0017,DNA binding protein,YP_001086480,126697583,NA,NA,NA
CD630_30070,CD3007,hypothetical protein,YP_001089525,400927501,NA,NA,NA
CD630_23740,CD2374,hypothetical protein,YP_001088886,126699989,NA,NA,NA
CD630_15810,CD1581,hypothetical protein,YP_001088081,126699184,NA,NA,NA
CD630_07610,CD0761,ATP-dependent RNA helicase,YP_001087238,126698341,NA,NA,NA
CD630_07600,CD0760,Ca2+/Na+ antiporter,YP_001087237,126698340,NA,NA,NA
CD630_11680,CD1168,membrane protein,YP_001087660,126698763,NA,NA,NA
CD630_11670,CD1167,integrase/recombinase,YP_001087659,126698762,NA,NA,NA
CD630_07840,CD0784,N-acetylmuramoyl-L-alanine amidase,YP_001087261,126698364,NA,NA,NA
CD630_26640,CD2664,"UDP-N-acetylmuramoylalanyl-D-glutamate--2,",YP_001089175,126700278,NA,NA,NA
CD630_23150,CD2315,hypothetical protein,YP_001088830,126699933,NA,NA,NA
CD630_03110,CD0311,hypothetical protein,YP_001086780,126697883,NA,NA,NA
CD630_01190,CD0119,phosphoglucosamine mutase,YP_001086588,400927244,NA,NA,NA
CD630_23160,CD2316,two-component response regulator,YP_001088831,126699934,NA,NA,NA
CD630_25370,CD2537,membrane-associated,YP_001089051,126700154,NA,NA,NA
CD630_27610,CD2761,N-acetylmuramoyl-L-alanine amidase,YP_001089274,126700377,NA,NA,NA
CD630_23760,CD2376,membrane protein,YP_001088888,126699991,NA,NA,NA
CD630_23750,CD2375,hypothetical protein,YP_001088887,126699990,NA,NA,NA
CD630_23770,CD2377,NUDIX family hydrolase,YP_001088889,126699992,NA,NA,NA
CD630_33500,CD3350,family 2 glycosyl transferase,YP_001089867,126700970,NA,NA,NA
CD630_21360,CD2136,undecaprenyl pyrophosphate synthetase,YP_001088649,126699752,NA,NA,NA
CD630_15750,CD1575,hypothetical protein,YP_001088075,126699178,NA,NA,NA
CD630_15680,CD1568,hypothetical protein,YP_001088068,126699171,NA,NA,NA
CD630_15670,CD1567,manganese catalase,YP_001088067,126699170,NA,NA,NA
CD630_16760,CD1676,pyrrolidone-carboxylate peptidase,YP_001088178,126699281,NA,NA,NA
CD630_16770,CD1677,membrane protein,YP_001088179,126699282,NA,NA,NA
CD630_05800,CD0580,glyceraldehyde-3-phosphate dehydrogenase,YP_001087055,126698158,NA,NA,NA
CD630_34680,CD3468,ATP synthase subunit beta,YP_001089988,126701091,NA,NA,NA
CD630_35420,CD3542,spore maturation protein A,YP_001090063,126701166,NA,NA,NA
CD630_35410,CD3541,spore maturation protein B,YP_001090062,126701165,NA,NA,NA
CD630_03320,CD0332,exosporium glycoprotein,YP_001086801,126697904,NA,NA,NA
CD630_22451,CD2245A,hypothetical protein,YP_001088760,400927426,NA,NA,NA
CD630_23460,CD2346,membrane protein,YP_001088861,400927433,NA,NA,NA
CD630_33490,CD3349,exosporium glycoprotein BclA3,YP_001089866,126700969,NA,NA,NA
CD630_21440,CD2144,membrane protein,YP_001088658,126699761,NA,NA,NA
CD630_15430,CD1543,FMN-dependent NADH-azoreductase,YP_001088044,126699147,NA,NA,NA
CD630_07820,CD0782,sporulation protein YunB,YP_001087259,126698362,NA,NA,NA
CD630_09820,CD0982,UbiA-family prenyltransferase,YP_001087463,126698566,NA,NA,NA
CD630_21020,CD2102,Na(+)/H(+) antiporter,YP_001088616,400927396,NA,NA,NA
CD630_05640,CD0564,ATP-dependent protease,YP_001087040,126698143,NA,NA,NA
CD630_34660,CD3466,holo-ACP synthase,YP_001089986,126701089,NA,NA,NA
CD630_34650,CD3465,hypothetical protein,YP_001089985,126701088,NA,NA,NA
CD630_34620,CD3462,antitoxin endoAI,YP_001089982,126701085,NA,NA,NA
CD630_34610,CD3461,mRNA interferase,YP_001089981,126701084,NA,NA,NA
CD630_34640,CD3464,hypothetical protein,YP_001089984,126701087,NA,NA,NA
CD630_34630,CD3463,alanine racemase,YP_001089983,126701086,NA,NA,NA
CD630_34570,CD3457,hypothetical protein,YP_001089977,126701080,NA,NA,NA
CD630_35200,CD3520,cation efflux protein,YP_001090041,400927557,NA,NA,NA
CD630_35510,CD3551,arginine decarboxylase,YP_001090072,126701175,NA,NA,NA
CD630_35511,CD3551A,membrane protein,YP_001090073,126701176,NA,NA,NA
CD630_27200,CD2720,transporter,YP_001089232,126700335,NA,NA,NA
CD630_19510,CD1951,acyl-CoA N-acyltransferase,YP_001088457,126699560,NA,NA,NA
CD630_03470,CD0347,hypothetical protein,YP_001086816,126697919,NA,NA,NA
CD630_31780,CD3178,D-hydantoinase,YP_001089695,126700798,NA,NA,NA
CD630_13540,CD1354,hypothetical protein,YP_001087850,126698953,NA,NA,NA
CD630_25990,CD2599,transcriptional regulator,YP_001089116,400927462,NA,NA,NA
CD630_32980,CD3298,ATP/GTP-binding protein,YP_001089814,126700917,NA,NA,NA
CD630_12290,CD1229,peptidoglycan glycosyltransferase,YP_001087722,126698825,NA,NA,NA
CD630_28080,CD2808,hypothetical protein,YP_001089321,126700424,NA,NA,NA
CD630_28090,CD2809,hypothetical protein,YP_001089322,126700425,NA,NA,NA
CD630_17880,CD1788,hypothetical protein,YP_001088294,126699397,NA,NA,NA
CD630_17890,CD1789,hypothetical protein,YP_001088295,126699398,NA,NA,NA
CD630_07830,CD0783,S55 peptidase family stage IV sporulation,YP_001087260,126698363,NA,NA,NA
CD630_15110,CD1511,hypothetical protein,YP_001088012,126699115,NA,NA,NA
CD630_35630,CD3563,spore cortex-lytic hydrolase,YP_001090086,126701189,NA,NA,NA
CD630_32480,CD3248,polysaccharide deacetylase,YP_001089764,126700867,NA,NA,NA
CD630_36130,CD3613,hypothetical protein,YP_001090136,126701239,NA,NA,NA
CD630_29680,CD2968,dipicolinate synthase subunit A,YP_001089486,126700589,NA,NA,NA
CD630_29670,CD2967,dipicolinate synthase subunit B,YP_001089485,126700588,NA,NA,NA
CD630_11241,CD1124A,hypothetical protein,YP_001087614,126698717,NA,NA,NA
CD630_18800,CD1880,hypothetical protein,YP_001088389,126699492,NA,NA,NA
CD630_20840,CD2084,peptidase,YP_001088598,126699701,NA,NA,NA
CD630_28390,CD2839,two-component sensor histidine kinase,YP_001089352,126700455,NA,NA,NA
CD630_03090,CD0309,HAD superfamily hydrolase,YP_001086778,126697881,NA,NA,NA
CD630_15170,CD1517,ferrous iron transport protein FeoB,YP_001088018,126699121,NA,NA,NA
CD630_15180,CD1518,ferrous iron transport protein FeoA,YP_001088019,126699122,NA,NA,NA
CD630_12340,CD1234,hypothetical protein,YP_001087728,126698831,NA,NA,NA
CD630_32200,CD3220,methyltransferase,YP_001089736,126700839,NA,NA,NA
CD630_28410,CD2841,amidohydrolase,YP_001089354,126700457,NA,NA,NA
CD630_14080,CD1408,D-alanine--D-alanine ligase,YP_001087908,126699011,NA,NA,NA
CD630_14160,CD1416,membrane protein,YP_001087916,126699019,NA,NA,NA
CD630_28560,CD2856,membrane protein,YP_001089369,126700472,NA,NA,NA
CD630_31810,CD3181,chlorohydrolase/aminohydrolase,YP_001089698,126700801,NA,NA,NA
CD630_16310,CD1631,superoxide dismutase,YP_001088132,126699235,NA,NA,NA
CD630_11290,CD1129,dephospho-CoA kinase,YP_001087620,126698723,NA,NA,NA
CD630_11280,CD1128,DNA polymerase I,YP_001087619,126698722,NA,NA,NA
CD630_11310,CD1131,solute-binding lipoprotein,YP_001087622,126698725,NA,NA,NA
CD630_11300,CD1130,lytic transglycosylase-like protein,YP_001087621,126698724,NA,NA,NA
CD630_11330,CD1133,hypothetical protein,YP_001087624,126698727,NA,NA,NA
CD630_11320,CD1132,heavy-metal transport/detoxification protein,YP_001087623,126698726,NA,NA,NA
CD630_14020,CD1402,glycerophosphoryl diester phosphodiesterase,YP_001087901,126699004,NA,NA,NA
CD630_10310,CD1031,cell wall anchored protein,YP_001087512,126698615,NA,NA,NA
CD630_10280,CD1028,signaling protein,YP_001087509,126698612,NA,NA,NA
CD630_03140,CD0314,membrane protein,YP_001086783,126697886,NA,NA,NA
CD630_05560,CD0556,sugar isomerase / endonuclease,YP_001087032,400927281,NA,NA,NA
CD630_20000,CD2000,intracellular serine protease,YP_001088508,126699611,NA,NA,NA
CD630_17400,CD1740,glycine/sarcosine/betaine reductase complex,YP_001088244,126699347,NA,NA,NA
CD630_35690,CD3569,sporulation-specific protease,YP_001090092,126701195,NA,NA,NA
CD630_35670,CD3567,spore coat protein,YP_001090090,126701193,NA,NA,NA
CD630_35640,CD3564,pro-sigma(E) endopeptidase,YP_001090087,126701190,NA,NA,NA
CD630_24090,CD2409,hypothetical protein,YP_001088921,126700024,NA,NA,NA
CD630_36200,CD3620,hypothetical protein,YP_001090143,126701246,NA,NA,NA
CD630_26340,CD2634,hypothetical protein,YP_001089145,126700248,NA,NA,NA
CD630_26350,CD2635,hypothetical protein,YP_001089146,126700249,NA,NA,NA
CD630_36350,CD3635,hypothetical protein,YP_001090158,126701261,NA,NA,NA
CD630_36360,CD3636,membrane protein,YP_001090159,126701262,NA,NA,NA
CD630_36380,CD3638,hypothetical protein,YP_001090162,126701265,NA,NA,NA
CD630_36370,CD3637,"NADPH-dependent FMN reductase",YP_001090161,126701264,NA,Multimeric flavodoxin WrbA [Energy production and,NA
CD630_31820,CD3182,D-aminoacylase,YP_001089699,126700802,NA,NA,NA
CD630_31830,CD3183,peptidase,YP_001089700,126700803,NA,NA,NA
CD630_31800,CD3180,purine permease,YP_001089697,126700800,NA,NA,NA
CD630_31840,CD3184,diaminopropionate ammonia-lyase,YP_001089701,126700804,NA,NA,NA
CD630_14030,CD1403,synthetase,YP_001087902,126699005,NA,NA,NA
CD630_13990,CD1399,muramoyltetrapeptide carboxypeptidase,YP_001087898,126699001,NA,NA,NA
CD630_13980,CD1398,peptidase,YP_001087897,126699000,NA,NA,NA
CD630_16160,CD1616,diguanylate kinase signaling protein,YP_001088117,126699220,NA,NA,NA
CD630_13960,CD1396,amino acid amidase,YP_001087895,126698998,NA,NA,NA
CD630_13970,CD1397,hypothetical protein,YP_001087896,126698999,NA,NA,NA
CD630_13950,CD1395,membrane protein,YP_001087894,126698997,NA,NA,NA
CD630_06840,CD0684,ATP-dependent peptidase,YP_001087160,126698263,NA,NA,NA
CD630_32350,CD3235,single-strand DNA-binding protein,YP_001089752,126700855,NA,NA,NA
CD630_26290,CD2629,stage IV sporulation protein A,YP_001089140,400927465,NA,NA,NA
CD630_01310,CD0131,membrane protein,YP_001086600,126697703,NA,NA,NA
CD630_01290,CD0129,sporulation protein,YP_001086598,126697701,NA,NA,NA
CD630_26400,CD2640,NrdR family transcriptional regulator,YP_001089151,126700254,NA,NA,NA
CD630_26390,CD2639,hypothetical protein,YP_001089150,126700253,NA,NA,NA
CD630_26380,CD2638,two-component response regulator,YP_001089149,126700252,NA,NA,NA
CD630_26370,CD2637,two-component sensor histidine kinase,YP_001089148,126700251,NA,NA,NA
CD630_26360,CD2636,membrane protein,YP_001089147,126700250,NA,NA,NA
CD630_21070,CD2107,xanthine/uracil/thiamine/ascorbate permease,YP_001088621,126699724,NA,NA,NA
CD630_21120,CD2112,hypothetical protein,YP_001088626,126699729,NA,NA,NA
CD630_01060,CD0106,germination-specific N-acetylmuramoyl-L-alanine,YP_001086574,126697677,NA,NA,NA
CD630_12590,CD1259,branched chain amino acid transport system,YP_001087753,126698856,NA,NA,NA
CD630_14280,CD1428,HxlR family transcriptional regulator,YP_001087928,126699031,NA,NA,NA
CD630_14330,CD1433,bifunctional peroxiredoxin/chitinase,YP_001087934,126699037,NA,NA,NA
CD630_14300,CD1430,delta-lactam-biosynthetic de-N-acteylase,YP_001087931,126699034,NA,NA,NA
CD630_16130,CD1613,hypothetical protein,YP_001088114,126699217,NA,NA,NA
CD630_18450,CD1845,membrane protein,YP_001088351,126699454,NA,NA,NA
CD630_18460,CD1846,conjugative transposon protein,YP_001088352,126699455,NA,NA,NA
CD630_26880,CD2688,"small, acid-soluble spore protein",YP_001089199,126700302,NA,NA,NA
CD630_06950,CD0695,metalloendopeptidase,YP_001087171,126698274,NA,NA,NA
CD630_10850,CD1085,membrane protein,YP_001087569,126698672,NA,NA,NA
CD630_35800,CD3580,hypothetical protein,YP_001090104,126701207,NA,NA,NA
CD630_19400,CD1940,membrane protein,YP_001088446,126699549,NA,NA,NA
CD630_28580,CD2858,membrane protein,YP_001089371,126700474,NA,NA,NA
CD630_23950,CD2395,hypothetical protein,YP_001088907,126700010,NA,NA,NA
CD630_28640,CD2864,hydrolase,YP_001089377,126700480,NA,NA,NA
CD630_28650,CD2865,bacterioferritin,YP_001089378,126700481,NA,NA,NA
CD630_21210,CD2121,hypothetical protein,YP_001088635,126699738,NA,NA,NA
CD630_31790,CD3179,dihydroorotate dehydrogenase catalytic subunit,YP_001089696,126700799,NA,NA,NA
CD630_31770,CD3177,xanthine dehydrogenase,YP_001089694,126700797,NA,NA,NA
CD630_32300,CD3230,exosporium glycoprotein,YP_001089747,126700850,NA,NA,NA
CD630_10631,CD1063A,hypothetical protein,YP_001087545,126698648,NA,NA,NA
CD630_10632,CD1063B,hypothetical protein,YP_001087546,126698649,NA,NA,NA
CD630_10630,CD1063,hypothetical protein,YP_001087544,126698647,NA,NA,NA
CD630_01250,CD0125,cell wall endopeptidase,YP_001086594,126697697,NA,NA,NA
CD630_12910,CD1291,D-alanyl-D-alanine carboxypeptidase,YP_001087785,126698888,NA,NA,NA
CD630_12900,CD1290,small acid-soluble spore protein SASP,YP_001087784,126698887,NA,NA,NA
CD630_12850,CD1285,Holliday junction resolvase-like protein,YP_001087779,126698882,NA,NA,NA
CD630_36100,CD3610,hypothetical protein,YP_001090135,126701238,NA,NA,NA
CD630_02140,CD0214,hypothetical protein,YP_001086682,126697785,NA,NA,NA
CD630_11940,CD1194,stage III sporulation protein AC,YP_001087687,400927325,NA,NA,NA
CD630_10860,CD1086,peptidase,YP_001087570,400927323,NA,NA,NA
CD630_27810,CD2781,transmembrane virulence factor,YP_001089294,126700397,NA,NA,NA
CD630_30320,CD3032,pyridoxal phosphate-dependent transferase,YP_001089547,126700650,NA,NA,NA
CD630_24000,CD2400,spore coat peptide assembly protein CotJB,YP_001088912,126700015,NA,NA,NA
CD630_23990,CD2399,hypothetical protein,YP_001088911,126700014,NA,NA,NA
CD630_24010,CD2401,spore coat peptide assembly protein CotJC,YP_001088913,126700016,NA,NA,NA
CD630_28450,CD2845,rubrerythrin,YP_001089358,126700461,NA,NA,NA
CD630_26610,CD2661,M16 family peptidase,YP_001089172,126700275,NA,NA,NA
CD630_01240,CD0124,stage II sporulation protein D,YP_001086593,126697696,NA,NA,NA
CD630_01200,CD0120,glucosamine--fructose-6-phosphate,YP_001086589,126697692,NA,NA,NA
CD630_01260,CD0126,stage III sporulation protein D,YP_001086595,126697698,NA,NA,NA
CD630_32510,CD3251,dehydrogenase,YP_001089767,126700870,NA,NA,NA
CD630_32580,CD3258,Iron hydrogenase,YP_001089774,126700877,NA,NA,NA
CD630_32570,CD3257,polysaccharide deacetylase,YP_001089773,126700876,NA,NA,NA
CD630_21410,CD2141,serine-type D-Ala-D-Ala carboxypeptidase,YP_001088655,126699758,NA,NA,NA
