tree order,major taxonomic family/ species name for non-Firmicutes,Firmicutes taxonomic order/ non-Firmicutes phylum,Accession,Sanger accession,environment,sporulation signature score %,presence spo0A,spore-former characterisation,genome size,ethanol resistance,Erysipelotrichaceae experiments,,,,
43,Erysipelotrichaceae,Erysipelotrichales,GCF_000469305.1,,gut,19.6969697,0,0,1977208,no,yes,,,,
58,Gemellaceae,Bacillales,GCF_000469465.1,,non-host associated,19.6969697,0,0,1629776,,,,,,
376,Aerococcaceae,Lactobacillales,GCF_000162475.2,,oral,19.6969697,0,0,1768268,,,,,,
382,Aerococcaceae,Lactobacillales,GCF_000301035.1,,other host associated,19.6969697,0,0,1920581,,,,,,
445,Streptococcaceae,Lactobacillales,GCF_000269925.1,,non-host associated,19.6969697,0,0,1977996,,,,,,
446,Streptococcaceae,Lactobacillales,GCF_000380085.1,,non-host associated,19.6969697,0,0,2396217,,,,,,
448,Streptococcaceae,Lactobacillales,GCF_001182825.2,,non-host associated,19.6969697,0,0,1574434,,,,,,
451,Streptococcaceae,Lactobacillales,GCF_000017005.1,,oral,19.6969697,0,0,2228044,,,,,,
453,Streptococcaceae,Lactobacillales,GCF_000380065.1,,other host associated,19.6969697,0,0,1893264,,,,,,
456,Streptococcaceae,Lactobacillales,GCF_000463505.1 ,,gut,19.6969697,0,0,2265551,,,,,,
458,Streptococcaceae,Lactobacillales,20298_2#48,20298_2#48,oral,19.6969697,0,0,1950655,,,,,,
465,Streptococcaceae,Lactobacillales,20298_3#18,20298_3#18,oral,19.6969697,0,0,2050916,,,,,,
467,Streptococcaceae,Lactobacillales,12718_7#70,12718_7#70,oral,19.6969697,0,0,2041041,,,,,,
471,Streptococcaceae,Lactobacillales,GCF_000380045.1,,non-host associated,19.6969697,0,0,1527453,,,,,,
484,Streptococcaceae,Lactobacillales,GCF_000187955.1,,non-host associated,19.6969697,0,0,2059646,,,,,,
486,Streptococcaceae,Lactobacillales,GCF_000380005.1,,non-host associated,19.6969697,0,0,1908110,,,,,,
487,Streptococcaceae,Lactobacillales,GCF_000188015.2,,non-host associated,19.6969697,0,0,2271646,,,,,,
491,Streptococcaceae,Lactobacillales,GCF_000493775.1,,gut,19.6969697,0,0,2106061,,,,,,
501,Streptococcaceae,Lactobacillales,GCF_000187265.1,,other host associated,19.6969697,0,0,1747305,,,,,,
509,Lactobacillaceae,Lactobacillales,GCF_001436225.1,,non-host associated,19.6969697,0,0,2485065,,,,,,
510,Lactobacillaceae,Lactobacillales,GCF_001312865.1,,non-host associated,19.6969697,0,0,2096859,,,,,,
517,Lactobacillaceae,Lactobacillales,GCF_000026505.1 ,,gut,19.6969697,0,0,3053114,,,,,,
518,Lactobacillaceae,Lactobacillales,ERR2221226,15841_8#79,non-host associated,19.6969697,0,0,3020543,,,,,,
519,Lactobacillaceae,Lactobacillales,GCF_000160175.1,,gut,19.6969697,0,0,3161719,,,,,,
520,Lactobacillaceae,Lactobacillales,GCF_000235865.1,,gut,19.6969697,0,0,2921475,,,,,,
542,Lactobacillaceae,Lactobacillales,GCF_000260455.1,,non-host associated,19.6969697,0,0,2438067,,,,,,
545,Lactobacillaceae,Lactobacillales,GCF_001435445.1,,non-host associated,19.6969697,0,0,2792366,,,,,,
550,Lactobacillaceae,Lactobacillales,GCF_001438805.1,,non-host associated,19.6969697,0,0,2743738,,,,,,
559,Lactobacillaceae,Lactobacillales,12718_7#57,12718_7#57,other host associated,19.6969697,0,0,1967307,,,,,,
568,Lactobacillaceae,Lactobacillales,GCF_000967195.1,,non-host associated,19.6969697,0,0,2113684,,,,,,
570,Lactobacillaceae,Lactobacillales,GCF_000297025.1,,non-host associated,19.6969697,0,0,1937171,,,,,,
576,Lactobacillaceae,Lactobacillales,GCF_000165775.1,,non-host associated,19.6969697,0,0,2159625,,,,,,
588,Lactobacillaceae,Lactobacillales,GCF_001434935.1,,non-host associated,19.6969697,0,0,2731257,,,,,,
593,Lactobacillaceae,Lactobacillales,GCF_001436275.1,,non-host associated,19.6969697,0,0,2152946,,,,,,
618,Lactobacillaceae,Lactobacillales,GCF_000239955.1,,non-host associated,19.6969697,0,0,2282596,,,,,,
619,Lactobacillaceae,Lactobacillales,GCF_001436895.1,,non-host associated,19.6969697,0,0,2255294,,,,,,
622,Lactobacillaceae,Lactobacillales,GCF_000241055.1,,non-host associated,19.6969697,0,0,1872841,,,,,,
636,Lactobacillaceae,Lactobacillales,GCF_000260395.1,,non-host associated,19.6969697,0,0,2701289,,,,,,
655,Lactobacillaceae,Lactobacillales,GCF_000210515.1 ,,non-host associated,19.6969697,0,0,2130457,,,,,,
659,Lactobacillaceae,Lactobacillales,GCF_000271445.1,,non-host associated,19.6969697,0,0,3475272,,,,,,
661,Lactobacillaceae,Lactobacillales,GCF_000143745.1,,oral,19.6969697,0,0,3252091,,,,,,
664,Lactobacillaceae,Lactobacillales,GCF_000498955.2,,non-host associated,19.6969697,0,0,3333838,,,,,,
667,Lactobacillaceae,Lactobacillales,GCF_001438725.1,,non-host associated,19.6969697,0,0,2149415,,,,,,
669,Lactobacillaceae,Lactobacillales,GCF_000496265.1,,non-host associated,19.6969697,0,0,1814699,,,,,,
674,Lactobacillaceae,Lactobacillales,20298_2#15,20298_2#15,gut,19.6969697,0,0,2041634,,,,,,
675,Lactobacillaceae,Lactobacillales,GCF_000146325.1,,non-host associated,19.6969697,0,0,1962125,,,,,,
676,Lactobacillaceae,Lactobacillales,GCF_000163095.1,,gut,19.6969697,0,0,2044079,,,,,,
677,Lactobacillaceae,Lactobacillales,20298_2#14,20298_2#14,gut,19.6969697,0,0,2037351,,,,,,
679,Lactobacillaceae,Lactobacillales,GCF_001434835.1,,non-host associated,19.6969697,0,0,2966973,,,,,,
680,Lactobacillaceae,Lactobacillales,GCF_001437125.1,,non-host associated,19.6969697,0,0,2402053,,,,,,
682,Lactobacillaceae,Lactobacillales,GCF_001436675.1,,non-host associated,19.6969697,0,0,2260047,,,,,,
683,Lactobacillaceae,Lactobacillales,GCF_000014465.1,,gut,19.6969697,0,0,2323953,,,,,,
684,Lactobacillaceae,Lactobacillales,GCF_000469365.1,,gut,19.6969697,0,0,2508943,,,,,,
691,Lactobacillaceae,Lactobacillales,GCF_001434895.1,,non-host associated,19.6969697,0,0,2797818,,,,,,
692,Lactobacillaceae,Lactobacillales,GCF_001281175.1,,non-host associated,19.6969697,0,0,1451917,,,,,,
696,Lactobacillaceae,Lactobacillales,GCF_001436645.1,,non-host associated,19.6969697,0,0,1371106,,,,,,
698,Lactobacillaceae,Lactobacillales,GCF_000785105.1,,non-host associated,19.6969697,0,0,2222410,,,,,,
701,Lactobacillaceae,Lactobacillales,GCF_000211375.1,,non-host associated,19.6969697,0,0,2542107,,,,,,
705,Lactobacillaceae,Lactobacillales,GCF_000159175.1,,gut,19.6969697,0,0,3129102,,,,,,
706,Lactobacillaceae,Lactobacillales,GCF_000159315.1,,gut,19.6969697,0,0,2663382,,,,,,
801,Helcococcaceae,Clostridiales,GCF_000308275.2,,non-host associated,19.6969697,0,0,1739149,,,,,,
806,Helcococcaceae,Clostridiales,GCF_000307225.1,,other host associated,19.6969697,0,0,2031324,,,,,,
,Bacteroides cellulosilyticus,Bacteroidetes,GCF_001318345.1,,gut,19.6969697,0,0,7173389,,,,,,
,Bacteroides xylanisolvens,Bacteroidetes,GCF_006546965.1,,gut,19.6969697,0,0,6629127,,,,,,
,Bacteroides faecis,Bacteroidetes,GCF_000226135.1,,gut,19.6969697,0,0,6190968,,,,,,
,Klebsiella pneumoniae,Proteobacteria,GCF_006364295.1,,gut,19.6969697,0,0,5643543,,,,,,
,Citrobacter freundii,Proteobacteria,GCF_000648515.1,,gut,19.6969697,0,0,5438612,,,,,,
,Bacteroides vulgatus,Bacteroidetes,GCF_000012825.1,,gut,19.6969697,0,0,5227729,,,,,,
,Parabacteroides distasonis,Bacteroidetes,13414_6#56,,gut,19.6969697,0,0,5099398,,,,,,
,novel Parabacteroides species,Bacteroidetes,ERS852380,13414_6#6,gut,19.6969697,0,0,5029189,,,,,,
,Hafnia alvei,Proteobacteria,GCF_000597785.2,,gut,19.6969697,0,0,4771691,,,,,,
,Bacteroides plebius,Bacteroidetes,GCF_000187895.1,,gut,19.6969697,0,0,4477207,,,,,,
,Bacteroides fluxus,Bacteroidetes,GCF_000195635.1,,gut,19.6969697,0,0,4384898,,,,,,
,novel Bacteroides species,Bacteroidetes,ERS852458,13470_2#62,gut,19.6969697,0,0,3614176,,,,,,
,Collinsella ihuae,Actinobacteria,GCF_900046475.1,,gut,19.6969697,0,0,2871921,,,,,,
,Bifidobacterium pseudocatenulatum,Actinobacteria,GCF_001025215.1,,gut,19.6969697,0,0,2342674,,,,,,
,Bifidobacterium adolescentis,Actinobacteria,GCF_000010425.1,,gut,19.6969697,0,0,2115766,,,,,,
,Bifidobacterium pseudolongum,Actinobacteria,GCF_000800475.2,,gut,19.6969697,0,0,2058107,,,,,,
19,Erysipelotrichaceae,Erysipelotrichales,GCF_000340375.1,,gut,21.21212121,0,0,1967867,no,yes,,,,
42,Erysipelotrichaceae,Erysipelotrichales,GCF_000156655.1,,gut,21.21212121,0,0,2456259,no,yes,,,,
59,Gemellaceae,Bacillales,GCF_000204335.2,,non-host associated,21.21212121,0,0,1785376,,,,,,
61,Staphylococcaceae,Bacillales,GCF_000438455.1,,non-host associated,21.21212121,0,0,1534974,,,,,,
90,Staphylococcaceae,Bacillales,GCF_000875895.1,,non-host associated,21.21212121,0,0,3224794,,,,,,
96,Staphylococcaceae,Bacillales,ERR2221122,12718_7#13,other host associated,21.21212121,0,0,2870715,,,,,,
399,Carnobacteriaceae,Lactobacillales,GCF_000245815.1,,non-host associated,21.21212121,0,0,1876804,,,,,,
447,Streptococcaceae,Lactobacillales,GCF_000377005.1,,non-host associated,21.21212121,0,0,1960037,,,,,,
450,Streptococcaceae,Lactobacillales,GCF_000014205.1,,oral,21.21212121,0,0,2422557,,,,,,
