gene,scaffold,gene_id,gene_description,category,header,subheader,module,auxiliary_score,amg_flags,virus.tax.id,virus.name,virus.lineage,refseq.id,KEGG.GENOME,KEGG.DISEASE,DISEASE,host.tax.id,host.name,host.lineage,domain,phylum,class,order,family.etc,pmid,evidence,sample.type,source.organism
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_001884.1_161,NC_001884.1,K01520,dUTP pyrophosphatase [EC:3.6.1.23] [RN:R02100],MISC,Information systems,Nucleotide,"Pyrimidine deoxyribonuleotide biosynthesis, CDP/CTP => dCDP/dCTP,dTDP/dTTP",1,MT,66797,Bacillus virus SPbeta,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Siphoviridae; Spbetavirus,NC_001884,NA,NA,NA,1423,Bacillus subtilis,Bacteria; Firmicutes; Bacilli; Bacillales; Bacillaceae; Bacillus; Bacillus subtilis group,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae; Bacillus; Bacillus subtilis group,NA,"NCBI Virus, RefSeq, UniProt",NA,NA
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_001884.1_168,NC_001884.1,K06420,sspC;small acid-soluble spore protein C,MISC,Sporulation proteins,Small acid-soluble spore proteins,Sporulation,1,TFM,66797,Bacillus virus SPbeta,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Siphoviridae; Spbetavirus,NC_001884,NA,NA,NA,1423,Bacillus subtilis,Bacteria; Firmicutes; Bacilli; Bacillales; Bacillaceae; Bacillus; Bacillus subtilis group,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae; Bacillus; Bacillus subtilis group,NA,"NCBI Virus, RefSeq, UniProt",NA,NA
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_001901.1_26,NC_001901.1,K03497,parB;stage 0 sporulation protein J,MISC,Sporulation/ other,NA,Sporulation,1,M,40631,Escherichia virus N15,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Siphoviridae; Ravinvirus,NC_001901,NA,NA,NA,562,Escherichia coli,Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Escherichia,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae; Escherichia,NA,UniProt,NA,NA
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_001901.1_58,NC_001901.1,K00558,DNA (cytosine-5-)-methyltransferase [EC:2.1.1.37] [RN:R04858],Organic Nitrogen,Amino Acid,NA,Methionine degradation,1,MF,40631,Escherichia virus N15,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Siphoviridae; Ravinvirus,NC_001901,NA,NA,NA,562,Escherichia coli,Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Escherichia,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae; Escherichia,NA,UniProt,NA,NA
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_002371.2_22,NC_002371.2,GT2,"GT2 cellulose synthase (EC 2.4.1.12); chitin synthase (EC 2.4.1.16); dolichyl-phosphate beta-D-mannosyltransferase (EC 2.4.1.83); dolichyl-phosphate beta-glucosyltransferase (EC 2.4.1.117); N-acetylglucosaminyltransferase (EC 2.4.1.-); N-acetylgalactosaminyltransferase (EC 2.4.1.-); hyaluronan synthase (EC 2.4.1.212); chitin oligosaccharide synthase (EC 2.4.1.-); beta-1,3-glucan synthase (EC 2.4.1.34); beta-1,4-mannan synthase (EC 2.4.1.-); beta-mannosylphosphodecaprenol-mannooligosaccharide alpha-1,6-mannosyltransferase (EC 2.4.1.199); UDP-Galf: rhamnopyranosyl-N-acetylglucosaminyl-PP-decaprenol beta-1,4/1,5-galactofuranosyltransferase (EC 2.4.1.287); UDP-Galf: galactofuranosyl-galactofuranosyl-rhamnosyl-N-acetylglucosaminyl-PP-decaprenol beta-1,5/1,6-galactofuranosyltransferase (EC 2.4.1.288); dTDP-L-Rha: N-acetylglucosaminyl-PP-decaprenol alpha-1,3-L-rhamnosyltransferase (EC 2.4.1.289)",carbon utilization,CAZY,NA,GlycosylTransferases,1,M,10754,Salmonella virus P22,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Podoviridae; Lederbergvirus,NC_002371,NA,NA,NA,90371,Salmonella enterica subsp. enterica serovar Typhimurium,Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Salmonella; Salmonella enterica,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae; Salmonella; Salmonella enterica,NA,"NCBI Virus, RefSeq, UniProt",NA,NA
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_002519.1_37,NC_002519.1,NA,NA,NA,NA,NA,NA,1,MK,136084,Roseobacter virus SIO1,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Podoviridae,NC_002519,NA,NA,NA,2433,Roseobacter,Bacteria; Proteobacteria; Alphaproteobacteria; Rhodobacterales; Rhodobacteraceae,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,NA,NCBI Virus,NA,NA
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_002649.1_20,NC_002649.1,K01448,cwlD;germination-specific N-acetylmuramoyl-L-alanine amidase,MISC,Sporulation proteins,Sporulation proteins/ other,Sporulation,1,FM,12345,Bacillus virus GA1,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Podoviridae; Picovirinae; Salasvirus,NC_002649,NA,NA,NA,1409,Bacillus sp. (in: Bacteria),Bacteria; Firmicutes; Bacilli; Bacillales; Bacillaceae; Bacillus,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae; Bacillus,10773070,"Literature, NCBI Virus, RefSeq",NA,NA
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_002649.1_20,NC_002649.1,K01448,cwlC;sporulation-specific N-acetylmuramoyl-L-alanine amidase,MISC,Sporulation proteins,Sporulation proteins/ other,Sporulation,1,FM,12345,Bacillus virus GA1,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Podoviridae; Picovirinae; Salasvirus,NC_002649,NA,NA,NA,1409,Bacillus sp. (in: Bacteria),Bacteria; Firmicutes; Bacilli; Bacillales; Bacillaceae; Bacillus,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae; Bacillus,10773070,"Literature, NCBI Virus, RefSeq",NA,NA
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_002666.1_25,NC_002666.1,K01520,dUTP pyrophosphatase [EC:3.6.1.23] [RN:R02100],MISC,Information systems,Nucleotide,"Pyrimidine deoxyribonuleotide biosynthesis, CDP/CTP => dCDP/dCTP,dTDP/dTTP",1,M,151535,Lactococcus phage bIL285,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Siphoviridae; unclassified Siphoviridae,NC_002666,NA,NA,NA,272623,Lactococcus lactis subsp. lactis Il1403,Bacteria; Firmicutes; Bacilli; Lactobacillales; Streptococcaceae; Lactococcus; Lactococcus lactis; Lactococcus lactis subsp. lactis,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae; Lactococcus; Lactococcus lactis; Lactococcus lactis subsp. lactis,NA,"NCBI Virus, RefSeq",NA,NA
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_002667.1_26,NC_002667.1,K01520,dUTP pyrophosphatase [EC:3.6.1.23] [RN:R02100],MISC,Information systems,Nucleotide,"Pyrimidine deoxyribonuleotide biosynthesis, CDP/CTP => dCDP/dCTP,dTDP/dTTP",1,M,151536,Lactococcus phage bIL286,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Siphoviridae; unclassified Siphoviridae,NC_002667,NA,NA,NA,272623,Lactococcus lactis subsp. lactis Il1403,Bacteria; Firmicutes; Bacilli; Lactobacillales; Streptococcaceae; Lactococcus; Lactococcus lactis; Lactococcus lactis subsp. lactis,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae; Lactococcus; Lactococcus lactis; Lactococcus lactis subsp. lactis,NA,"NCBI Virus, RefSeq",NA,NA
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_002668.1_25,NC_002668.1,K01520,dUTP pyrophosphatase [EC:3.6.1.23] [RN:R02100],MISC,Information systems,Nucleotide,"Pyrimidine deoxyribonuleotide biosynthesis, CDP/CTP => dCDP/dCTP,dTDP/dTTP",1,M,151537,Lactococcus phage bIL309,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Siphoviridae; unclassified Siphoviridae,NC_002668,NA,NA,NA,272623,Lactococcus lactis subsp. lactis Il1403,Bacteria; Firmicutes; Bacilli; Lactobacillales; Streptococcaceae; Lactococcus; Lactococcus lactis; Lactococcus lactis subsp. lactis,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae; Lactococcus; Lactococcus lactis; Lactococcus lactis subsp. lactis,NA,"NCBI Virus, RefSeq",NA,NA
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_002703.1_21,NC_002703.1,K01520,dUTP pyrophosphatase [EC:3.6.1.23] [RN:R02100],MISC,Information systems,Nucleotide,"Pyrimidine deoxyribonuleotide biosynthesis, CDP/CTP => dCDP/dCTP,dTDP/dTTP",1,M,35241,Lactococcus phage Tuc2009,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Siphoviridae; unclassified Siphoviridae,NC_002703,NA,NA,NA,1358,Lactococcus lactis,Bacteria; Firmicutes; Bacilli; Lactobacillales; Streptococcaceae; Lactococcus,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae; Lactococcus,NA,"NCBI Virus, RefSeq, UniProt",NA,NA
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_003050.2_14,NC_003050.2,K00558,DNA (cytosine-5-)-methyltransferase [EC:2.1.1.37] [RN:R04858],Organic Nitrogen,Amino Acid,NA,Methionine degradation,1,M,120574,Streptococcus phage MM1,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Siphoviridae; unclassified Siphoviridae,NC_003050,NA,NA,NA,1301,Streptococcus,Bacteria; Firmicutes; Bacilli; Lactobacillales; Streptococcaceae,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,NA,NCBI Virus,NA,NA
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_003309.1_60,NC_003309.1,K03497,parB;stage 0 sporulation protein J,MISC,Sporulation/ other,NA,Sporulation,1,M,180504,Burkholderia virus phiE125,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Siphoviridae; Stanholtvirus,NC_003309,NA,NA,NA,57975,Burkholderia thailandensis,Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Burkholderiaceae; Burkholderia; pseudomallei group,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae; Burkholderia; pseudomallei group,NA,"NCBI Virus, RefSeq",NA,NA
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_003390.2_19,NC_003390.2,NA,NA,NA,NA,NA,NA,1,MK,151528,Synechococcus virus P60,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Autographiviridae; Tiilvirus,NC_003390,NA,NA,NA,59931,Synechococcus sp. WH 7805,Bacteria; Cyanobacteria/Melainabacteria group; Cyanobacteria; Synechococcales; Synechococcaceae; Synechococcus,Bacteria,Cyanobacteria/Melainabacteria group,Cyanobacteria,Synechococcales,Synechococcaceae; Synechococcus,NA,"NCBI Virus, RefSeq",NA,NA
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_003444.1_25,NC_003444.1,GT2,"GT2 cellulose synthase (EC 2.4.1.12); chitin synthase (EC 2.4.1.16); dolichyl-phosphate beta-D-mannosyltransferase (EC 2.4.1.83); dolichyl-phosphate beta-glucosyltransferase (EC 2.4.1.117); N-acetylglucosaminyltransferase (EC 2.4.1.-); N-acetylgalactosaminyltransferase (EC 2.4.1.-); hyaluronan synthase (EC 2.4.1.212); chitin oligosaccharide synthase (EC 2.4.1.-); beta-1,3-glucan synthase (EC 2.4.1.34); beta-1,4-mannan synthase (EC 2.4.1.-); beta-mannosylphosphodecaprenol-mannooligosaccharide alpha-1,6-mannosyltransferase (EC 2.4.1.199); UDP-Galf: rhamnopyranosyl-N-acetylglucosaminyl-PP-decaprenol beta-1,4/1,5-galactofuranosyltransferase (EC 2.4.1.287); UDP-Galf: galactofuranosyl-galactofuranosyl-rhamnosyl-N-acetylglucosaminyl-PP-decaprenol beta-1,5/1,6-galactofuranosyltransferase (EC 2.4.1.288); dTDP-L-Rha: N-acetylglucosaminyl-PP-decaprenol alpha-1,3-L-rhamnosyltransferase (EC 2.4.1.289)",carbon utilization,CAZY,NA,GlycosylTransferases,1,M,55884,Enterobacteria phage SfV,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Myoviridae; unclassified Myoviridae,NC_003444,NA,NA,NA,623,Shigella flexneri,Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Shigella,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae; Shigella,NA,"NCBI Virus, RefSeq, UniProt",NA,NA
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_003524.1_21,NC_003524.1,K01448,cwlD;germination-specific N-acetylmuramoyl-L-alanine amidase,MISC,Sporulation proteins,Sporulation proteins/ other,Sporulation,1,M,190478,Clostridium phage phi3626,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Siphoviridae; unclassified Siphoviridae,NC_003524,NA,NA,NA,1502,Clostridium perfringens,Bacteria; Firmicutes; Clostridia; Clostridiales; Clostridiaceae; Clostridium,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae; Clostridium,NA,"NCBI Virus, RefSeq",NA,NA
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_003524.1_21,NC_003524.1,K01448,cwlC;sporulation-specific N-acetylmuramoyl-L-alanine amidase,MISC,Sporulation proteins,Sporulation proteins/ other,Sporulation,1,M,190478,Clostridium phage phi3626,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Siphoviridae; unclassified Siphoviridae,NC_003524,NA,NA,NA,1502,Clostridium perfringens,Bacteria; Firmicutes; Clostridia; Clostridiales; Clostridiaceae; Clostridium,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae; Clostridium,NA,"NCBI Virus, RefSeq",NA,NA
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_003907.2_40,NC_003907.2,K03497,parB;stage 0 sporulation protein J,MISC,Sporulation/ other,NA,Sporulation,1,M,194802,Vibrio virus VpV262,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Podoviridae,NC_003907,NA,NA,NA,670,Vibrio parahaemolyticus,Bacteria; Proteobacteria; Gammaproteobacteria; Vibrionales; Vibrionaceae; Vibrio; Vibrio harveyi group,Bacteria,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae; Vibrio; Vibrio harveyi group,NA,"NCBI Virus, RefSeq",NA,NA
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_004084.1_49,NC_004084.1,K03496,parA;sporulation initiation inhibitor protein Soj,MISC,Sporulation/ other,NA,Sporulation,1,TM,114777,Natrialba phage PhiCh1,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Myoviridae; Myohalovirus; unclassified Myohalovirus,NC_004084,NA,NA,NA,13769,Natrialba magadii,Archaea; Euryarchaeota; Stenosarchaea group; Halobacteria; Natrialbales; Natrialbaceae; Natrialba,Archaea,Euryarchaeota,Stenosarchaea group,Halobacteria,Natrialbales; Natrialbaceae; Natrialba,NA,RefSeq,NA,NA
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_004084.1_80,NC_004084.1,K00558,DNA (cytosine-5-)-methyltransferase [EC:2.1.1.37] [RN:R04858],Organic Nitrogen,Amino Acid,NA,Methionine degradation,1,MT,114777,Natrialba phage PhiCh1,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Myoviridae; Myohalovirus; unclassified Myohalovirus,NC_004084,NA,NA,NA,13769,Natrialba magadii,Archaea; Euryarchaeota; Stenosarchaea group; Halobacteria; Natrialbales; Natrialbaceae; Natrialba,Archaea,Euryarchaeota,Stenosarchaea group,Halobacteria,Natrialbales; Natrialbaceae; Natrialba,NA,RefSeq,NA,NA
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_004166.2_30,NC_004166.2,K01448,cwlD;germination-specific N-acetylmuramoyl-L-alanine amidase,MISC,Sporulation proteins,Sporulation proteins/ other,Sporulation,1,M,10724,Bacillus phage SPP1,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Siphoviridae; unclassified Siphoviridae,NC_004166,NA,NA,NA,1423,Bacillus subtilis,Bacteria; Firmicutes; Bacilli; Bacillales; Bacillaceae; Bacillus; Bacillus subtilis group,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae; Bacillus; Bacillus subtilis group,NA,UniProt,NA,NA
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_004166.2_30,NC_004166.2,K01448,cwlC;sporulation-specific N-acetylmuramoyl-L-alanine amidase,MISC,Sporulation proteins,Sporulation proteins/ other,Sporulation,1,M,10724,Bacillus phage SPP1,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Siphoviridae; unclassified Siphoviridae,NC_004166,NA,NA,NA,1423,Bacillus subtilis,Bacteria; Firmicutes; Bacilli; Bacillales; Bacillaceae; Bacillus; Bacillus subtilis group,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae; Bacillus; Bacillus subtilis group,NA,UniProt,NA,NA
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_004167.1_32,NC_004167.1,K06369,rapK;response regulator aspartate phosphatase K,MISC,Genetic competence,NA,Genetics,1,M,10717,Bacillus phage phi105,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Siphoviridae; unclassified Siphoviridae,"NC_004167, NC_048631",NA,NA,NA,1423,Bacillus subtilis,Bacteria; Firmicutes; Bacilli; Bacillales; Bacillaceae; Bacillus; Bacillus subtilis group,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae; Bacillus; Bacillus subtilis group,24009114,"Literature, NCBI Virus, RefSeq, UniProt",NA,NA
