gene	scaffold	gene_id	gene_description	category	header	subheader	module	auxiliary_score	amg_flags	VIRSorter category	Circular	Prophage	Gene count	Strand switches	potential AMG count	Transposase present	Possible Non-Viral Contig	Viral replication genes	Viral genes with unknown function	Viral hypothetical genes	Viral genes with host benefits	Viral structure genes	Viral genes with viral benefits	virus.tax.id	virus.name	virus.lineage	refseq.id.y	KEGG.GENOME	KEGG.DISEASE	DISEASE	host.tax.id	host.name	host.lineage	domain	phylum	class	order	family	genus.etc	pmid	evidence	sample.type	source.organism
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_004084.1_49	NC_004084	K03496	parA;sporulation initiation inhibitor protein Soj	MISC	Sporulation/ other	NA	Sporulation	1	TM	0	FALSE	0	97	14	2	TRUE	0.010309278	5	9	77	3	0	3	114777	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_004166.2_30	NC_004166	K01448	cwlD;germination-specific N-acetylmuramoyl-L-alanine amidase	MISC	Sporulation proteins	Sporulation proteins/ other	Sporulation	1	M	0	FALSE	0	80	0	1	FALSE	0.0125	9	24	41	2	3	1	10724	Bacillus phage SPP1	Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Siphoviridae; unclassified Siphoviridae	NC_004166	NA	NA	NA	1423	Bacillus subtilis	Bacteria; Firmicutes; Bacilli; Bacillales; Bacillaceae; Bacillus; Bacillus subtilis group	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus; Bacillus subtilis group	NA	UniProt	NA	NA
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_004166.2_30	NC_004166	K01448	cwlC;sporulation-specific N-acetylmuramoyl-L-alanine amidase	MISC	Sporulation proteins	Sporulation proteins/ other	Sporulation	1	M	0	FALSE	0	80	0	1	FALSE	0.0125	9	24	41	2	3	1	10724	Bacillus phage SPP1	Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Siphoviridae; unclassified Siphoviridae	NC_004166	NA	NA	NA	1423	Bacillus subtilis	Bacteria; Firmicutes; Bacilli; Bacillales; Bacillaceae; Bacillus; Bacillus subtilis group	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus; Bacillus subtilis group	NA	UniProt	NA	NA
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_004685.1_84	NC_004685	K03497	parB;stage 0 sporulation protein J	MISC	Sporulation/ other	NA	Sporulation	1	M	0	FALSE	0	118	5	1	FALSE	0.016949153	4	99	11	2	1	1	205875	Mycobacterium virus Corndog	Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Siphoviridae; Corndogvirus	NC_004685	NA	NA	NA	1772	Mycolicibacterium smegmatis	Bacteria; Actinobacteria; Actinomycetia; Corynebacteriales; Mycobacteriaceae; Mycolicibacterium	Bacteria	Actinobacteria	Actinomycetia	Corynebacteriales	Mycobacteriaceae	Mycolicibacterium	NA	RefSeq	NA	NA
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_004688.1_183	NC_004688	K03466	spoIIIE;spore DNA translocase	MISC	Sporulation/ other	NA	Sporulation	1	M	0	FALSE	0	214	15	3	FALSE	0.028037383	6	170	26	8	0	4	205879	Mycobacterium virus Omega	Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Siphoviridae; Omegavirus	NC_004688	NA	NA	NA	1772	Mycolicibacterium smegmatis	Bacteria; Actinobacteria; Actinomycetia; Corynebacteriales; Mycobacteriaceae; Mycolicibacterium	Bacteria	Actinobacteria	Actinomycetia	Corynebacteriales	Mycobacteriaceae	Mycolicibacterium	NA	"RefSeq, UniProt"	NA	NA
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_004820.1_83	NC_004820	K03466	spoIIIE;spore DNA translocase	MISC	Sporulation/ other	NA	Sporulation	1	FM	0	FALSE	0	89	7	3	FALSE	0.011235955	6	14	64	2	0	3	225725	Bacillus phage phBC6A51	Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Siphoviridae; unclassified Siphoviridae	NC_004820	NA	NA	NA	1396	Bacillus cereus	Bacteria; Firmicutes; Bacilli; Bacillales; Bacillaceae; Bacillus; Bacillus cereus group	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus; Bacillus cereus group	NA	"NCBI Virus, RefSeq"	NA	NA
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_004820.1_84	NC_004820	K03466	spoIIIE;spore DNA translocase	MISC	Sporulation/ other	NA	Sporulation	1	FM	0	FALSE	0	89	7	3	FALSE	0.011235955	6	14	64	2	0	3	225725	Bacillus phage phBC6A51	Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Siphoviridae; unclassified Siphoviridae	NC_004820	NA	NA	NA	1396	Bacillus cereus	Bacteria; Firmicutes; Bacilli; Bacillales; Bacillaceae; Bacillus; Bacillus cereus group	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus; Bacillus cereus group	NA	"NCBI Virus, RefSeq"	NA	NA
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_005069.1_25	NC_005069	K03497	parB;stage 0 sporulation protein J	MISC	Sporulation/ other	NA	Sporulation	1	M	0	FALSE	0	60	6	2	FALSE	0.05	4	32	17	4	1	2	172667	Yersinia phage PY54	Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Siphoviridae; unclassified Siphoviridae	NC_005069	NA	NA	NA	630	Yersinia enterocolitica	Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Yersiniaceae; Yersinia	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Yersiniaceae	Yersinia	NA	"NCBI Virus, RefSeq"	NA	NA
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_005069.1_26	NC_005069	K03496	parA;sporulation initiation inhibitor protein Soj	MISC	Sporulation/ other	NA	Sporulation	1	M	0	FALSE	0	60	6	2	FALSE	0.05	4	32	17	4	1	2	172667	Yersinia phage PY54	Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Siphoviridae; unclassified Siphoviridae	NC_005069	NA	NA	NA	630	Yersinia enterocolitica	Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Yersiniaceae; Yersinia	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Yersiniaceae	Yersinia	NA	"NCBI Virus, RefSeq"	NA	NA
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_005856.1_55	NC_005856	K03497	parB;stage 0 sporulation protein J	MISC	Sporulation/ other	NA	Sporulation	1	TM	0	FALSE	0	100	21	1	TRUE	0.04	12	56	19	4	3	6	10678	Escherichia virus P1	Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Myoviridae; Punavirus	NC_005856	NA	NA	NA	562	Escherichia coli	Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Escherichia	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	NA	"NCBI Virus, RefSeq"	NA	NA
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_005857.1_21	NC_005857	K03497	parB;stage 0 sporulation protein J	MISC	Sporulation/ other	NA	Sporulation	1	M	0	FALSE	0	56	8	2	FALSE	0.089285714	6	27	12	9	1	1	255431	Klebsiella phage phiKO2	Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Siphoviridae; unclassified Siphoviridae	NC_005857	NA	NA	NA	571	Klebsiella oxytoca	Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Klebsiella	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella	NA	"NCBI Virus, RefSeq"	NA	NA
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_005857.1_22	NC_005857	K03496	parA;sporulation initiation inhibitor protein Soj	MISC	Sporulation/ other	NA	Sporulation	1	M	0	FALSE	0	56	8	2	FALSE	0.089285714	6	27	12	9	1	1	255431	Klebsiella phage phiKO2	Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Siphoviridae; unclassified Siphoviridae	NC_005857	NA	NA	NA	571	Klebsiella oxytoca	Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Klebsiella	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella	NA	"NCBI Virus, RefSeq"	NA	NA
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_005880.2_63	NC_005880	K03469	ypeP;hypothetical protein	MISC	Sporulation proteins	Spore coat proteins	Sporulation	1	M	0	FALSE	0	235	10	3	FALSE	0.038297872	8	186	23	12	5	1	221915	Staphylococcus virus K	Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Herelleviridae; Twortvirinae; Kayvirus	NC_005880	NA	NA	NA	1280	Staphylococcus aureus	Bacteria; Firmicutes; Bacilli; Bacillales; Staphylococcaceae; Staphylococcus	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	NA	"NCBI Virus, RefSeq, UniProt"	NA	NA
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_006557.1_55	NC_006557	K01448	cwlD;germination-specific N-acetylmuramoyl-L-alanine amidase	MISC	Sporulation proteins	Sporulation proteins/ other	Sporulation	1	FM	0	FALSE	0	55	3	1	FALSE	0.018181818	5	27	20	1	2	0	294382	Bacillus phage BCJA1c	Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Siphoviridae; unclassified Siphoviridae	NC_006557	NA	NA	NA	79879	[Bacillus] clarkii	Bacteria; Firmicutes; Bacilli; Bacillales; Sporolactobacillaceae	Bacteria	Firmicutes	Bacilli	Bacillales	Sporolactobacillaceae	NA	NA	"NCBI Virus, RefSeq"	NA	NA
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_006557.1_55	NC_006557	K01448	cwlC;sporulation-specific N-acetylmuramoyl-L-alanine amidase	MISC	Sporulation proteins	Sporulation proteins/ other	Sporulation	1	FM	0	FALSE	0	55	3	1	FALSE	0.018181818	5	27	20	1	2	0	294382	Bacillus phage BCJA1c	Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Siphoviridae; unclassified Siphoviridae	NC_006557	NA	NA	NA	79879	[Bacillus] clarkii	Bacteria; Firmicutes; Bacilli; Bacillales; Sporolactobacillaceae	Bacteria	Firmicutes	Bacilli	Bacillales	Sporolactobacillaceae	NA	NA	"NCBI Virus, RefSeq"	NA	NA
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_007021.1_162	NC_007021	K03469	ypeP;hypothetical protein	MISC	Sporulation proteins	Spore coat proteins	Sporulation	1	TM	0	FALSE	0	181	6	5	TRUE	0.055248619	7	95	60	13	5	1	55510	Staphylococcus virus Twort	Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Herelleviridae; Twortvirinae; Twortvirus	NC_007021	NA	NA	NA	1280	Staphylococcus aureus	Bacteria; Firmicutes; Bacilli; Bacillales; Staphylococcaceae; Staphylococcus	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	NA	"NCBI Virus, RefSeq"	NA	NA
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_007050.1_38	NC_007050	K03497	parB;stage 0 sporulation protein J	MISC	Sporulation/ other	NA	Sporulation	1	M	0	FALSE	0	67	8	1	FALSE	0	8	49	7	1	2	0	59506	Staphylococcus virus 85	Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Siphoviridae; Phietavirus	NC_007050	NA	NA	NA	1280	Staphylococcus aureus	Bacteria; Firmicutes; Bacilli; Bacillales; Staphylococcaceae; Staphylococcus	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	NA	"NCBI Virus, RefSeq"	NA	NA
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_007056.1_33	NC_007056	K03497	parB;stage 0 sporulation protein J	MISC	Sporulation/ other	NA	Sporulation	1	M	0	FALSE	0	67	6	1	FALSE	0.059701493	8	33	18	6	2	0	320841	Staphylococcus virus EW	Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Siphoviridae; Phietavirus	NC_007056	NA	NA	NA	1280	Staphylococcus aureus	Bacteria; Firmicutes; Bacilli; Bacillales; Staphylococcaceae; Staphylococcus	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	NA	"NCBI Virus, RefSeq"	NA	NA
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_007066.1_187	NC_007066	K03469	ypeP;hypothetical protein	MISC	Sporulation proteins	Spore coat proteins	Sporulation	1	M	0	FALSE	0	207	6	3	FALSE	0.043478261	9	156	24	12	5	1	292029	Staphylococcus virus G1	Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Herelleviridae; Twortvirinae; Kayvirus	NC_007066	NA	NA	NA	1280	Staphylococcus aureus	Bacteria; Firmicutes; Bacilli; Bacillales; Staphylococcaceae; Staphylococcus	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	NA	"NCBI Virus, RefSeq"	NA	NA
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_007458.1_21	NC_007458	K03466	spoIIIE;spore DNA translocase	MISC	Sporulation/ other	NA	Sporulation	1	M	0	FALSE	0	55	6	2	FALSE	0.054545455	6	37	7	4	1	0	347962	Bacillus phage Gamma	Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Siphoviridae; Wbetavirus; unclassified Wbetavirus	NC_007458	NA	NA	NA	1396	Bacillus cereus	Bacteria; Firmicutes; Bacilli; Bacillales; Bacillaceae; Bacillus; Bacillus cereus group	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus; Bacillus cereus group	NA	"NCBI Virus, RefSeq"	NA	NA
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_007458.1_35	NC_007458	K03091	sigG;RNA polymerase sigma-G factor	MISC	Sporulation proteins	Sporulation proteins/ other	Sporulation	1	M	0	FALSE	0	55	6	2	FALSE	0.054545455	6	37	7	4	1	0	347962	Bacillus phage Gamma	Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Siphoviridae; Wbetavirus; unclassified Wbetavirus	NC_007458	NA	NA	NA	1396	Bacillus cereus	Bacteria; Firmicutes; Bacilli; Bacillales; Bacillaceae; Bacillus; Bacillus cereus group	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus; Bacillus cereus group	NA	"NCBI Virus, RefSeq"	NA	NA
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_007458.1_35	NC_007458	K03091	sigF;RNA polymerase sigma-F factor	MISC	Sporulation proteins	Sporulation proteins/ other	Sporulation	1	M	0	FALSE	0	55	6	2	FALSE	0.054545455	6	37	7	4	1	0	347962	Bacillus phage Gamma	Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Siphoviridae; Wbetavirus; unclassified Wbetavirus	NC_007458	NA	NA	NA	1396	Bacillus cereus	Bacteria; Firmicutes; Bacilli; Bacillales; Bacillaceae; Bacillus; Bacillus cereus group	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus; Bacillus cereus group	NA	"NCBI Virus, RefSeq"	NA	NA
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_007581.1_193	NC_007581	K03497	parB;stage 0 sporulation protein J	MISC	Sporulation/ other	NA	Sporulation	1	TM	0	FALSE	0	207	14	6	TRUE	0.033816425	23	41	135	7	0	1	12336	Clostridium phage c-st	Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Siphoviridae; unclassified Siphoviridae	NC_007581	NA	NA	NA	929505	Clostridium botulinum C str. Stockholm	Bacteria; Firmicutes; Clostridia; Clostridiales; Clostridiaceae; Clostridium; Clostridium botulinum	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium; Clostridium botulinum	16287978	Literature	NA	NA
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_007581.1_201	NC_007581	K03466	spoIIIE;spore DNA translocase	MISC	Sporulation/ other	NA	Sporulation	1	TFM	0	FALSE	0	207	14	6	TRUE	0.033816425	23	41	135	7	0	1	12336	Clostridium phage c-st	Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Siphoviridae; unclassified Siphoviridae	NC_007581	NA	NA	NA	929505	Clostridium botulinum C str. Stockholm	Bacteria; Firmicutes; Clostridia; Clostridiales; Clostridiaceae; Clostridium; Clostridium botulinum	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium; Clostridium botulinum	16287978	Literature	NA	NA
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_007734.1_21	NC_007734	K03466	spoIIIE;spore DNA translocase	MISC	Sporulation/ other	NA	Sporulation	1	M	0	FALSE	0	56	8	2	FALSE	0.053571429	6	36	7	5	2	0	359961	Bacillus virus Wbeta	Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Siphoviridae; Wbetavirus	NC_007734	NA	NA	NA	526977	Bacillus cereus ATCC 4342	Bacteria; Firmicutes; Bacilli; Bacillales; Bacillaceae; Bacillus; Bacillus cereus group; Bacillus cereus	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus; Bacillus cereus group; Bacillus cereus	NA	RefSeq	NA	NA
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_007734.1_38	NC_007734	K03091	sigG;RNA polymerase sigma-G factor	MISC	Sporulation proteins	Sporulation proteins/ other	Sporulation	1	M	0	FALSE	0	56	8	2	FALSE	0.053571429	6	36	7	5	2	0	359961	Bacillus virus Wbeta	Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Siphoviridae; Wbetavirus	NC_007734	NA	NA	NA	526977	Bacillus cereus ATCC 4342	Bacteria; Firmicutes; Bacilli; Bacillales; Bacillaceae; Bacillus; Bacillus cereus group; Bacillus cereus	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus; Bacillus cereus group; Bacillus cereus	NA	RefSeq	NA	NA
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_007734.1_38	NC_007734	K03091	sigF;RNA polymerase sigma-F factor	MISC	Sporulation proteins	Sporulation proteins/ other	Sporulation	1	M	0	FALSE	0	56	8	2	FALSE	0.053571429	6	36	7	5	2	0	359961	Bacillus virus Wbeta	Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Siphoviridae; Wbetavirus	NC_007734	NA	NA	NA	526977	Bacillus cereus ATCC 4342	Bacteria; Firmicutes; Bacilli; Bacillales; Bacillaceae; Bacillus; Bacillus cereus group; Bacillus cereus	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus; Bacillus cereus group; Bacillus cereus	NA	RefSeq	NA	NA
