gene	scaffold	gene_id	gene_description	category	header	subheader	module	auxiliary_score	amg_flags
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_002371.2_22	NC_002371.2	GT2	GT2 cellulose synthase (EC 2.4.1.12); chitin synthase (EC 2.4.1.16); dolichyl-phosphate beta-D-mannosyltransferase (EC 2.4.1.83); dolichyl-phosphate beta-glucosyltransferase (EC 2.4.1.117); N-acetylglucosaminyltransferase (EC 2.4.1.-); N-acetylgalactosaminyltransferase (EC 2.4.1.-); hyaluronan synthase (EC 2.4.1.212); chitin oligosaccharide synthase (EC 2.4.1.-); beta-1,3-glucan synthase (EC 2.4.1.34); beta-1,4-mannan synthase (EC 2.4.1.-); beta-mannosylphosphodecaprenol-mannooligosaccharide alpha-1,6-mannosyltransferase (EC 2.4.1.199); UDP-Galf: rhamnopyranosyl-N-acetylglucosaminyl-PP-decaprenol beta-1,4/1,5-galactofuranosyltransferase (EC 2.4.1.287); UDP-Galf: galactofuranosyl-galactofuranosyl-rhamnosyl-N-acetylglucosaminyl-PP-decaprenol beta-1,5/1,6-galactofuranosyltransferase (EC 2.4.1.288); dTDP-L-Rha: N-acetylglucosaminyl-PP-decaprenol alpha-1,3-L-rhamnosyltransferase (EC 2.4.1.289)	carbon utilization	CAZY		GlycosylTransferases	1	M
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_002519.1_37	NC_002519.1							1	MK
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_002649.1_20	NC_002649.1	K01448	cwlD;germination-specific N-acetylmuramoyl-L-alanine amidase	MISC	Sporulation proteins	Sporulation proteins/ other	Sporulation	1	FM
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_002649.1_20	NC_002649.1	K01448	cwlC;sporulation-specific N-acetylmuramoyl-L-alanine amidase	MISC	Sporulation proteins	Sporulation proteins/ other	Sporulation	1	FM
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_002666.1_25	NC_002666.1	K01520	dUTP pyrophosphatase [EC:3.6.1.23] [RN:R02100]	MISC	Information systems	Nucleotide	Pyrimidine deoxyribonuleotide biosynthesis, CDP/CTP => dCDP/dCTP,dTDP/dTTP	1	M
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_002667.1_26	NC_002667.1	K01520	dUTP pyrophosphatase [EC:3.6.1.23] [RN:R02100]	MISC	Information systems	Nucleotide	Pyrimidine deoxyribonuleotide biosynthesis, CDP/CTP => dCDP/dCTP,dTDP/dTTP	1	M
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_002668.1_25	NC_002668.1	K01520	dUTP pyrophosphatase [EC:3.6.1.23] [RN:R02100]	MISC	Information systems	Nucleotide	Pyrimidine deoxyribonuleotide biosynthesis, CDP/CTP => dCDP/dCTP,dTDP/dTTP	1	M
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_002703.1_21	NC_002703.1	K01520	dUTP pyrophosphatase [EC:3.6.1.23] [RN:R02100]	MISC	Information systems	Nucleotide	Pyrimidine deoxyribonuleotide biosynthesis, CDP/CTP => dCDP/dCTP,dTDP/dTTP	1	M
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_003050.2_14	NC_003050.2	K00558	DNA (cytosine-5-)-methyltransferase [EC:2.1.1.37] [RN:R04858]	Organic Nitrogen	Amino Acid		Methionine degradation	1	M
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_003309.1_60	NC_003309.1	K03497	parB;stage 0 sporulation protein J	MISC	Sporulation/ other		Sporulation	1	M
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_003390.2_19	NC_003390.2							1	MK
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_003444.1_25	NC_003444.1	GT2	GT2 cellulose synthase (EC 2.4.1.12); chitin synthase (EC 2.4.1.16); dolichyl-phosphate beta-D-mannosyltransferase (EC 2.4.1.83); dolichyl-phosphate beta-glucosyltransferase (EC 2.4.1.117); N-acetylglucosaminyltransferase (EC 2.4.1.-); N-acetylgalactosaminyltransferase (EC 2.4.1.-); hyaluronan synthase (EC 2.4.1.212); chitin oligosaccharide synthase (EC 2.4.1.-); beta-1,3-glucan synthase (EC 2.4.1.34); beta-1,4-mannan synthase (EC 2.4.1.-); beta-mannosylphosphodecaprenol-mannooligosaccharide alpha-1,6-mannosyltransferase (EC 2.4.1.199); UDP-Galf: rhamnopyranosyl-N-acetylglucosaminyl-PP-decaprenol beta-1,4/1,5-galactofuranosyltransferase (EC 2.4.1.287); UDP-Galf: galactofuranosyl-galactofuranosyl-rhamnosyl-N-acetylglucosaminyl-PP-decaprenol beta-1,5/1,6-galactofuranosyltransferase (EC 2.4.1.288); dTDP-L-Rha: N-acetylglucosaminyl-PP-decaprenol alpha-1,3-L-rhamnosyltransferase (EC 2.4.1.289)	carbon utilization	CAZY		GlycosylTransferases	1	M
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_003524.1_21	NC_003524.1	K01448	cwlD;germination-specific N-acetylmuramoyl-L-alanine amidase	MISC	Sporulation proteins	Sporulation proteins/ other	Sporulation	1	M
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_003524.1_21	NC_003524.1	K01448	cwlC;sporulation-specific N-acetylmuramoyl-L-alanine amidase	MISC	Sporulation proteins	Sporulation proteins/ other	Sporulation	1	M
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_003907.2_40	NC_003907.2	K03497	parB;stage 0 sporulation protein J	MISC	Sporulation/ other		Sporulation	1	M
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_004084.1_49	NC_004084.1	K03496	parA;sporulation initiation inhibitor protein Soj	MISC	Sporulation/ other		Sporulation	1	TM
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_004084.1_80	NC_004084.1	K00558	DNA (cytosine-5-)-methyltransferase [EC:2.1.1.37] [RN:R04858]	Organic Nitrogen	Amino Acid		Methionine degradation	1	MT
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_004166.2_30	NC_004166.2	K01448	cwlD;germination-specific N-acetylmuramoyl-L-alanine amidase	MISC	Sporulation proteins	Sporulation proteins/ other	Sporulation	1	M
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_004166.2_30	NC_004166.2	K01448	cwlC;sporulation-specific N-acetylmuramoyl-L-alanine amidase	MISC	Sporulation proteins	Sporulation proteins/ other	Sporulation	1	M
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_004167.1_32	NC_004167.1	K06369	rapK;response regulator aspartate phosphatase K	MISC	Genetic competence		Genetics	1	M
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_004348.1_2	NC_004348.1	GT2	GT2 cellulose synthase (EC 2.4.1.12); chitin synthase (EC 2.4.1.16); dolichyl-phosphate beta-D-mannosyltransferase (EC 2.4.1.83); dolichyl-phosphate beta-glucosyltransferase (EC 2.4.1.117); N-acetylglucosaminyltransferase (EC 2.4.1.-); N-acetylgalactosaminyltransferase (EC 2.4.1.-); hyaluronan synthase (EC 2.4.1.212); chitin oligosaccharide synthase (EC 2.4.1.-); beta-1,3-glucan synthase (EC 2.4.1.34); beta-1,4-mannan synthase (EC 2.4.1.-); beta-mannosylphosphodecaprenol-mannooligosaccharide alpha-1,6-mannosyltransferase (EC 2.4.1.199); UDP-Galf: rhamnopyranosyl-N-acetylglucosaminyl-PP-decaprenol beta-1,4/1,5-galactofuranosyltransferase (EC 2.4.1.287); UDP-Galf: galactofuranosyl-galactofuranosyl-rhamnosyl-N-acetylglucosaminyl-PP-decaprenol beta-1,5/1,6-galactofuranosyltransferase (EC 2.4.1.288); dTDP-L-Rha: N-acetylglucosaminyl-PP-decaprenol alpha-1,3-L-rhamnosyltransferase (EC 2.4.1.289)	carbon utilization	CAZY		GlycosylTransferases	1	MF
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_004589.1_46	NC_004589.1							1	MKF
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_004683.1_62	NC_004683.1	K00558	DNA (cytosine-5-)-methyltransferase [EC:2.1.1.37] [RN:R04858]	Organic Nitrogen	Amino Acid		Methionine degradation	1	M
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_004684.1_3	NC_004684.1							1	MKF
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_004684.1_4	NC_004684.1							1	MKF
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_004684.1_6	NC_004684.1							1	MKF
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_004685.1_84	NC_004685.1	K03497	parB;stage 0 sporulation protein J	MISC	Sporulation/ other		Sporulation	1	M
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_004686.2_80	NC_004686.2	K00558	DNA (cytosine-5-)-methyltransferase [EC:2.1.1.37] [RN:R04858]	Organic Nitrogen	Amino Acid		Methionine degradation	1	M
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_004688.1_98	NC_004688.1	CE10	CE10 arylesterase (EC 3.1.1.-); carboxyl esterase (EC 3.1.1.3); acetylcholinesterase (EC 3.1.1.7); cholinesterase (EC 3.1.1.8); sterol esterase (EC 3.1.1.13); brefeldin A esterase (EC 3.1.1.-).	carbon utilization	CAZY		Carbohydrate Esterases	1	MK
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_004688.1_116	NC_004688.1	K00558	DNA (cytosine-5-)-methyltransferase [EC:2.1.1.37] [RN:R04858]	Organic Nitrogen	Amino Acid		Methionine degradation	1	M
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_004688.1_183	NC_004688.1	K03466	spoIIIE;spore DNA translocase	MISC	Sporulation/ other		Sporulation	1	M
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_004735.1_13	NC_004735.1							1	MKT
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_004735.1_22	NC_004735.1							1	MKT
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_004740.1_3	NC_004740.1	GT2	GT2 cellulose synthase (EC 2.4.1.12); chitin synthase (EC 2.4.1.16); dolichyl-phosphate beta-D-mannosyltransferase (EC 2.4.1.83); dolichyl-phosphate beta-glucosyltransferase (EC 2.4.1.117); N-acetylglucosaminyltransferase (EC 2.4.1.-); N-acetylgalactosaminyltransferase (EC 2.4.1.-); hyaluronan synthase (EC 2.4.1.212); chitin oligosaccharide synthase (EC 2.4.1.-); beta-1,3-glucan synthase (EC 2.4.1.34); beta-1,4-mannan synthase (EC 2.4.1.-); beta-mannosylphosphodecaprenol-mannooligosaccharide alpha-1,6-mannosyltransferase (EC 2.4.1.199); UDP-Galf: rhamnopyranosyl-N-acetylglucosaminyl-PP-decaprenol beta-1,4/1,5-galactofuranosyltransferase (EC 2.4.1.287); UDP-Galf: galactofuranosyl-galactofuranosyl-rhamnosyl-N-acetylglucosaminyl-PP-decaprenol beta-1,5/1,6-galactofuranosyltransferase (EC 2.4.1.288); dTDP-L-Rha: N-acetylglucosaminyl-PP-decaprenol alpha-1,3-L-rhamnosyltransferase (EC 2.4.1.289)	carbon utilization	CAZY		GlycosylTransferases	1	MF
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_004746.1_14	NC_004746.1	K00558	DNA (cytosine-5-)-methyltransferase [EC:2.1.1.37] [RN:R04858]	Organic Nitrogen	Amino Acid		Methionine degradation	1	M
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_004775.2_38	NC_004775.2	K00558	DNA (cytosine-5-)-methyltransferase [EC:2.1.1.37] [RN:R04858]	Organic Nitrogen	Amino Acid		Methionine degradation	1	MF
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_004820.1_47	NC_004820.1	K06284	abrB;transition state regulatory protein AbrB	MISC	Transition state regulators		Regulation of gene expression	1	M
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_004820.1_83	NC_004820.1	K03466	spoIIIE;spore DNA translocase	MISC	Sporulation/ other		Sporulation	1	FM
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_004820.1_84	NC_004820.1	K03466	spoIIIE;spore DNA translocase	MISC	Sporulation/ other		Sporulation	1	FM
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_005056.1_41	NC_005056.1	K00558	DNA (cytosine-5-)-methyltransferase [EC:2.1.1.37] [RN:R04858]	Organic Nitrogen	Amino Acid		Methionine degradation	1	MF
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_005069.1_25	NC_005069.1	K03497	parB;stage 0 sporulation protein J	MISC	Sporulation/ other		Sporulation	1	M
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_005069.1_26	NC_005069.1	K03496	parA;sporulation initiation inhibitor protein Soj	MISC	Sporulation/ other		Sporulation	1	M
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_005083.2_120	NC_005083.2							1	MK
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_005083.2_122	NC_005083.2							1	MK
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_005083.2_123	NC_005083.2							1	MK
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_005083.2_254	NC_005083.2							1	MK
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_005083.2_260	NC_005083.2							1	MK
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_005083.2_289	NC_005083.2							1	MK
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_005135.1_8	NC_005135.1							1	MK
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_005135.1_72	NC_005135.1							1	MK
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_005260.1_40	NC_005260.1	K21636	ribonucleoside-triphosphate reductase [EC:1.17.4.2 1.1.98.6] [RN:R02022 R11636]	MISC	Information systems	Nucleotide	Pyrimidine deoxyribonuleotide biosynthesis, CDP/CTP => dCDP/dCTP,dTDP/dTTP	1	MKE
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_005260.1_45	NC_005260.1							1	MKE
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_005260.1_71	NC_005260.1							1	MK
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_005260.1_123	NC_005260.1							1	MK
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_005262.3_22	NC_005262.3	K00558	DNA (cytosine-5-)-methyltransferase [EC:2.1.1.37] [RN:R04858]	Organic Nitrogen	Amino Acid		Methionine degradation	1	MT
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_005282.1_119	NC_005282.1							1	MKF
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_005822.1_19	NC_005822.1	K01520	dUTP pyrophosphatase [EC:3.6.1.23] [RN:R02100]	MISC	Information systems	Nucleotide	Pyrimidine deoxyribonuleotide biosynthesis, CDP/CTP => dCDP/dCTP,dTDP/dTTP	1	M
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_005841.1_2	NC_005841.1	GT2	GT2 cellulose synthase (EC 2.4.1.12); chitin synthase (EC 2.4.1.16); dolichyl-phosphate beta-D-mannosyltransferase (EC 2.4.1.83); dolichyl-phosphate beta-glucosyltransferase (EC 2.4.1.117); N-acetylglucosaminyltransferase (EC 2.4.1.-); N-acetylgalactosaminyltransferase (EC 2.4.1.-); hyaluronan synthase (EC 2.4.1.212); chitin oligosaccharide synthase (EC 2.4.1.-); beta-1,3-glucan synthase (EC 2.4.1.34); beta-1,4-mannan synthase (EC 2.4.1.-); beta-mannosylphosphodecaprenol-mannooligosaccharide alpha-1,6-mannosyltransferase (EC 2.4.1.199); UDP-Galf: rhamnopyranosyl-N-acetylglucosaminyl-PP-decaprenol beta-1,4/1,5-galactofuranosyltransferase (EC 2.4.1.287); UDP-Galf: galactofuranosyl-galactofuranosyl-rhamnosyl-N-acetylglucosaminyl-PP-decaprenol beta-1,5/1,6-galactofuranosyltransferase (EC 2.4.1.288); dTDP-L-Rha: N-acetylglucosaminyl-PP-decaprenol alpha-1,3-L-rhamnosyltransferase (EC 2.4.1.289)	carbon utilization	CAZY		GlycosylTransferases	1	MF
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_005856.1_55	NC_005856.1	K03497	parB;stage 0 sporulation protein J	MISC	Sporulation/ other		Sporulation	1	TM
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_005857.1_21	NC_005857.1	K03497	parB;stage 0 sporulation protein J	MISC	Sporulation/ other		Sporulation	1	M
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_005857.1_22	NC_005857.1	K03496	parA;sporulation initiation inhibitor protein Soj	MISC	Sporulation/ other		Sporulation	1	M
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_005859.1_98	NC_005859.1							1	MK
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_005880.2_61	NC_005880.2							1	MK
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_005880.2_63	NC_005880.2	K03469	ypeP;hypothetical protein	MISC	Sporulation proteins	Spore coat proteins	Sporulation	1	M
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_005880.2_204	NC_005880.2							1	MK
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_005887.1_33	NC_005887.1	K02338	dnaN; DNA polymerase III subunit beta [EC:2.7.7.7]	MISC	Information systems		DNA polymerase III complex, bacteria	1	M
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_005887.1_33	NC_005887.1	K02338	dnaN;DNA polymerase III subunit beta	MISC	DNA replication		Genetics	1	M
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_006552.1_12	NC_006552.1	K00558	DNA (cytosine-5-)-methyltransferase [EC:2.1.1.37] [RN:R04858]	Organic Nitrogen	Amino Acid		Methionine degradation	1	M
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_006557.1_55	NC_006557.1	K01448	cwlD;germination-specific N-acetylmuramoyl-L-alanine amidase	MISC	Sporulation proteins	Sporulation proteins/ other	Sporulation	1	FM
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_006557.1_55	NC_006557.1	K01448	cwlC;sporulation-specific N-acetylmuramoyl-L-alanine amidase	MISC	Sporulation proteins	Sporulation proteins/ other	Sporulation	1	FM
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_006820.1_55	NC_006820.1							1	MK
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_006820.1_79	NC_006820.1							1	MK
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_006820.1_128	NC_006820.1							1	MK
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_006820.1_164	NC_006820.1							1	MK
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_006820.1_167	NC_006820.1	K02706	psbD; photosystem II reaction center D2 protein [EC:1.10.3.9]	Energy	Photosynthesis		Photosystem II	1	MKE
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_006820.1_176	NC_006820.1							1	MK
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_006820.1_181	NC_006820.1							1	MK
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_006820.1_199	NC_006820.1							1	MKE
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_006820.1_201	NC_006820.1							1	MK
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_006820.1_209	NC_006820.1							1	MK
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_006820.1_211	NC_006820.1							1	MK
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_006820.1_212	NC_006820.1							1	MK
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_006820.1_215	NC_006820.1							1	MKF
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_006882.2_21	NC_006882.2							1	MKE
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_006882.2_28	NC_006882.2							1	MK
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_006882.2_55	NC_006882.2							1	MKF
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_006883.2_27	NC_006883.2							1	MK
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_006883.2_47	NC_006883.2							1	MK
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_006883.2_54	NC_006883.2							1	MK
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_006883.2_55	NC_006883.2							1	MK
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_006883.2_64	NC_006883.2							1	MKE
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_006883.2_106	NC_006883.2							1	MK
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_006883.2_110	NC_006883.2							1	MK
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_006883.2_138	NC_006883.2							1	MK
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_006883.2_150	NC_006883.2							1	MK
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_006883.2_157	NC_006883.2							1	MK
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_006883.2_161	NC_006883.2							1	MK
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_006883.2_162	NC_006883.2							1	MK
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_006883.2_170	NC_006883.2							1	MK
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_006883.2_172	NC_006883.2							1	MK
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_006883.2_173	NC_006883.2							1	MK
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_006883.2_176	NC_006883.2							1	MK
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_006883.2_180	NC_006883.2							1	MK
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_006883.2_187	NC_006883.2							1	MK
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_006883.2_193	NC_006883.2	K00602	phosphoribosylaminoimidazolecarboxamide formyltransferase / IMP cyclohydrolase [EC:2.1.2.3 3.5.4.10] [RN:R04560 R01127]	MISC	Information systems	Nucleotide	Inosine monophosphate biosynthesis, PRPP + glutamine => IMP	1	MK
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_006883.2_197	NC_006883.2							1	MK
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_006883.2_221	NC_006883.2							1	MK
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_006883.2_243	NC_006883.2							1	MK
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_006883.2_244	NC_006883.2							1	MK
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_006883.2_247	NC_006883.2	K02040	pstS; phosphate transport system substrate-binding protein	Transporters			Phosphate transport system	1	MKE
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_006883.2_257	NC_006883.2							1	MKB
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_006883.2_258	NC_006883.2							1	MKB
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_006883.2_259	NC_006883.2							1	MKB
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_006883.2_262	NC_006883.2							1	MK
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_006883.2_263	NC_006883.2							1	MK
