refseq.id	VIRSorter category	Circular	Prophage	Gene count	Strand switches	potential AMG count	Transposase present	Possible Non-Viral Contig	Viral replication genes	Viral genes with unknown function	Viral hypothetical genes	Viral genes with host benefits	Viral structure genes	Viral genes with viral benefits
NC_001884.1	0	FALSE	0	178	23	10	TRUE	0.04494382	11	49	109	8	0	1
NC_001895.1	0	FALSE	0	43	9	0	FALSE	0.069767442	7	10	9	9	3	5
NC_001900.1	0	FALSE	0	77	3	0	FALSE	0.012987013	9	48	14	1	2	3
NC_001901.1	0	FALSE	0	59	6	2	FALSE	0.06779661	10	22	13	12	0	2
NC_001902.1	0	FALSE	0	39	4	0	FALSE	0	1	26	11	1	0	0
NC_001909.1	0	FALSE	0	61	4	0	FALSE	0.032786885	6	42	6	4	3	0
NC_001978.3	0	FALSE	0	47	2	0	FALSE	0.021276596	6	30	7	2	1	1
NC_002072.2	0	FALSE	0	43	0	0	FALSE	0.046511628	4	31	5	2	1	0
NC_002166.1	0	FALSE	0	66	4	0	TRUE	0.015151515	9	35	13	4	2	3
NC_002167.1	0	FALSE	0	59	4	0	FALSE	0.033898305	8	29	11	6	2	3
NC_002185.1	0	FALSE	0	45	0	0	FALSE	0.066666667	4	30	5	3	1	2
NC_002214.1	0	FALSE	0	52	0	0	FALSE	0.057692308	3	36	6	5	2	0
NC_002321.1	0	FALSE	0	64	8	0	FALSE	0.046875	9	35	13	4	2	1
NC_002371.2	0	FALSE	0	66	10	1	FALSE	0.090909091	12	31	11	6	0	6
NC_002484.2	0	FALSE	0	95	4	0	FALSE	0.021052632	6	71	13	2	2	1
NC_002486.1	0	FALSE	0	68	6	0	TRUE	0.058823529	5	43	13	5	1	1
NC_002515.1	0	FALSE	0	11	1	0	FALSE	0.090909091	2	0	8	1	0	0
NC_002519.1	0	FALSE	0	56	3	1	FALSE	0.017857143	8	20	26	1	0	1
NC_002628.3	0	FALSE	0	46	5	0	FALSE	0	1	27	17	1	0	0
NC_002649.1	0	FALSE	0	32	2	1	FALSE	0.03125	9	0	19	2	1	1
NC_002656.1	0	FALSE	0	84	3	0	FALSE	0.011904762	7	66	6	1	3	1
NC_002661.2	0	FALSE	0	68	7	0	FALSE	0.044117647	5	47	11	3	1	1
NC_002666.1	0	FALSE	0	59	3	1	FALSE	0	6	37	13	1	1	1
NC_002667.1	0	FALSE	0	57	3	1	FALSE	0.01754386	4	38	13	1	1	0
NC_002668.1	0	FALSE	0	57	5	1	FALSE	0	6	29	19	1	1	1
NC_002669.1	0	FALSE	0	26	2	0	FALSE	0	3	10	13	0	0	0
NC_002670.1	0	FALSE	0	22	4	0	FALSE	0	3	3	16	0	0	0
NC_002671.1	0	FALSE	0	26	3	0	FALSE	0.038461538	1	13	10	2	0	0
NC_002703.1	0	FALSE	0	52	3	1	FALSE	0	6	28	10	2	2	4
NC_002730.1	0	FALSE	0	55	6	0	FALSE	0.054545455	10	30	8	3	0	4
NC_002747.1	0	FALSE	0	55	1	0	FALSE	0	6	33	12	2	2	0
NC_002796.1	0	FALSE	0	50	6	0	FALSE	0	4	34	10	0	1	1
NC_003050.2	0	FALSE	0	52	1	1	FALSE	0.038461538	3	39	5	2	2	1
NC_003085.1	0	FALSE	0	79	5	0	FALSE	0.012658228	2	10	65	1	0	1
NC_003157.5	0	FALSE	0	67	6	0	FALSE	0.044776119	4	37	19	4	1	2
NC_003216.1	0	FALSE	0	66	8	0	FALSE	0.015151515	5	43	14	1	2	1
NC_003278.1	0	FALSE	0	43	6	0	FALSE	0.023255814	6	13	12	7	2	3
NC_003288.1	0	FALSE	0	65	7	0	FALSE	0.015384615	5	46	8	3	2	1
NC_003291.2	0	FALSE	0	61	2	0	FALSE	0.049180328	5	37	15	3	1	0
NC_003298.1	0	FALSE	0	43	0	0	FALSE	0.023255814	17	12	3	1	3	7
NC_003309.1	0	FALSE	0	72	14	1	FALSE	0.027777778	7	39	16	6	2	2
NC_003313.1	0	FALSE	0	44	5	0	FALSE	0.045454545	4	28	5	6	1	0
NC_003315.1	0	FALSE	0	41	3	0	FALSE	0.097560976	4	20	6	8	1	2
NC_003324.1	0	FALSE	0	64	5	0	FALSE	0.015625	2	25	35	1	1	0
NC_003345.2	0	FALSE	0	113	10	0	FALSE	0.026548673	6	96	8	3	0	0
NC_003356.1	0	FALSE	0	63	5	0	FALSE	0.079365079	9	23	16	9	2	4
NC_003387.1	0	FALSE	0	86	2	0	FALSE	0.034883721	4	66	11	3	1	1
NC_003390.2	0	FALSE	0	55	0	1	FALSE	0	12	20	20	1	1	1
NC_003444.1	0	FALSE	0	52	4	1	FALSE	0.038461538	8	21	11	6	2	4
NC_003524.1	0	FALSE	0	52	2	1	FALSE	0.038461538	7	19	22	3	1	0
NC_003907.2	0	FALSE	0	72	3	1	FALSE	0	6	16	49	0	0	1
NC_004066.1	0	FALSE	0	62	3	0	FALSE	0	7	36	16	1	1	1
NC_004084.1	0	FALSE	0	97	14	2	TRUE	0.010309278	5	9	77	3	0	3
NC_004112.1	0	FALSE	0	64	4	0	FALSE	0.03125	4	39	16	3	1	1
NC_004165.1	0	FALSE	0	24	2	0	FALSE	0.041666667	9	1	9	2	1	2
NC_004166.2	0	FALSE	0	80	0	1	FALSE	0.0125	9	24	41	2	3	1
NC_004167.1	0	FALSE	0	57	6	1	FALSE	0.035087719	4	23	25	3	1	1
NC_004302.1	0	FALSE	0	49	1	0	FALSE	0	5	31	11	0	0	2
NC_004303.1	0	FALSE	0	57	3	0	FALSE	0.052631579	4	39	7	5	2	0
NC_004305.1	0	FALSE	0	66	4	0	FALSE	0	3	28	31	0	3	1
NC_004313.1	0	FALSE	0	57	4	0	FALSE	0.035087719	8	25	10	7	2	5
NC_004333.2	0	FALSE	0	64	5	0	FALSE	0.015625	4	49	4	2	1	4
NC_004348.1	0	FALSE	0	66	5	1	FALSE	0.075757576	12	29	13	6	0	6
NC_004456.1	0	FALSE	0	62	7	0	FALSE	0.016129032	5	30	15	8	2	2
NC_004466.2	0	FALSE	0	70	3	0	FALSE	0.028571429	6	56	5	3	0	0
NC_004584.1	0	FALSE	0	58	5	0	FALSE	0.034482759	6	26	22	2	1	1
NC_004585.1	0	FALSE	0	56	7	0	FALSE	0.053571429	4	25	21	3	1	2
NC_004586.1	0	FALSE	0	54	1	0	FALSE	0.018518519	5	25	21	1	0	2
NC_004587.1	0	FALSE	0	65	5	0	FALSE	0.046153846	4	38	16	4	1	2
NC_004588.1	0	FALSE	0	62	3	0	FALSE	0.048387097	5	30	21	4	2	0
NC_004589.1	0	FALSE	0	50	3	1	FALSE	0.02	6	24	16	2	1	1
NC_004615.1	0	FALSE	0	65	3	0	FALSE	0.015384615	6	48	5	2	2	2
NC_004616.1	0	FALSE	0	64	5	0	FALSE	0.015625	5	47	9	1	1	1
NC_004617.1	0	FALSE	0	64	11	0	FALSE	0.078125	6	45	5	6	1	1
NC_004629.1	0	FALSE	0	366	39	0	FALSE	0.016393443	10	320	24	6	0	6
NC_004664.2	0	FALSE	0	52	2	0	FALSE	0.019230769	5	32	12	2	1	0
NC_004665.1	0	FALSE	0	40	0	0	FALSE	0.025	16	12	3	1	3	5
NC_004678.1	0	FALSE	0	20	1	0	FALSE	0.1	5	11	1	2	1	0
NC_004679.1	0	FALSE	0	20	1	0	FALSE	0.1	5	12	0	2	1	0
NC_004680.1	0	FALSE	0	110	9	0	FALSE	0.018181818	6	81	19	2	0	2
NC_004681.1	0	FALSE	0	134	10	0	TRUE	0.029850746	5	104	16	5	1	3
NC_004682.2	0	FALSE	0	83	3	0	FALSE	0.024096386	9	58	11	2	2	1
NC_004683.1	0	FALSE	0	80	4	1	FALSE	0	6	58	12	1	1	2
NC_004684.1	0	FALSE	0	89	9	3	FALSE	0.04494382	2	78	4	4	0	1
NC_004685.1	0	FALSE	0	118	5	1	FALSE	0.016949153	4	99	11	2	1	1
NC_004686.2	0	FALSE	0	110	6	1	FALSE	0.018181818	2	80	21	2	0	5
NC_004687.1	0	FALSE	0	229	4	0	FALSE	0.021834061	9	192	20	6	1	1
NC_004688.1	0	FALSE	0	214	15	3	FALSE	0.028037383	6	170	26	8	0	4
NC_004689.1	0	FALSE	0	100	0	0	FALSE	0.01	3	48	45	3	0	1
NC_004735.1	0	FALSE	0	150	28	2	TRUE	0.013333333	9	8	128	4	0	1
NC_004740.1	0	FALSE	0	63	7	1	FALSE	0.095238095	7	42	6	6	1	1
NC_004745.1	0	FALSE	0	39	6	0	FALSE	0.076923077	7	9	6	9	3	5
NC_004746.1	0	FALSE	0	50	1	1	FALSE	0	3	36	9	0	1	1
NC_004775.2	0	FALSE	0	45	8	1	FALSE	0	5	27	9	0	1	3
NC_004777.1	0	FALSE	0	44	0	0	FALSE	0.022727273	17	14	3	1	3	6
NC_004813.1	0	FALSE	0	83	6	0	TRUE	0.048192771	9	45	18	6	1	4
NC_004814.1	0	FALSE	0	26	1	0	FALSE	0	5	2	18	0	1	0
NC_004820.1	0	FALSE	0	89	7	3	FALSE	0.011235955	6	14	64	2	0	3
NC_004821.1	0	FALSE	0	52	6	0	FALSE	0.019230769	6	10	32	3	1	0
NC_004827.1	0	FALSE	0	60	3	0	FALSE	0.016666667	6	35	9	3	2	5
NC_004831.2	0	FALSE	0	50	0	0	FALSE	0.02	12	25	8	1	1	3
NC_004902.1	0	FALSE	0	66	5	0	FALSE	0	7	39	19	0	1	0
NC_004913.3	0	FALSE	0	89	4	0	FALSE	0.08988764	4	55	16	8	1	5
NC_004914.3	0	FALSE	0	93	6	0	TRUE	0.086021505	5	57	17	8	1	5
NC_004927.2	0	FALSE	0	112	10	0	FALSE	0.026785714	6	96	7	3	0	0
NC_004928.1	0	FALSE	0	266	10	0	FALSE	0.04887218	31	149	25	33	12	16
NC_004996.1	0	FALSE	0	57	7	0	FALSE	0.01754386	6	36	14	1	0	0
NC_005045.1	0	FALSE	0	52	0	0	FALSE	0	14	30	6	0	0	2
NC_005056.1	0	FALSE	0	43	5	1	FALSE	0.069767442	7	10	8	9	3	6
NC_005066.1	0	FALSE	0	267	10	0	FALSE	0.026217228	30	156	28	27	11	15
NC_005069.1	0	FALSE	0	60	6	2	FALSE	0.05	4	32	17	4	1	2
NC_005083.2	0	FALSE	0	382	29	6	FALSE	0.052356021	29	251	48	36	10	8
NC_005091.2	0	FALSE	0	71	3	0	FALSE	0	2	36	30	3	0	0
NC_005135.1	0	FALSE	0	256	8	2	FALSE	0.0546875	30	143	27	34	10	12
NC_005178.1	0	FALSE	0	56	3	0	FALSE	0.035714286	3	39	6	3	0	5
NC_005259.1	0	FALSE	0	98	11	0	FALSE	0	2	88	7	0	0	1
NC_005260.1	0	FALSE	0	338	10	4	FALSE	0.038461538	32	227	31	28	10	10
NC_005262.3	0	FALSE	0	73	7	1	TRUE	0.01369863	6	52	11	1	1	2
NC_005263.2	0	FALSE	0	68	5	0	FALSE	0.029411765	4	51	6	3	1	3
NC_005282.1	0	FALSE	0	121	4	1	FALSE	0.041322314	10	88	12	8	1	2
NC_005284.1	0	FALSE	0	77	14	0	FALSE	0.025974026	6	40	22	5	2	2
NC_005294.1	0	FALSE	0	75	7	0	FALSE	0.013333333	4	34	28	5	2	2
NC_005340.1	0	FALSE	0	41	3	0	FALSE	0.048780488	7	10	9	8	3	4
NC_005342.2	0	FALSE	0	64	5	0	FALSE	0.015625	4	49	4	2	1	4
NC_005344.1	0	FALSE	0	60	4	0	TRUE	0.066666667	9	29	13	4	1	4
NC_005345.2	0	FALSE	0	80	6	0	FALSE	0.0125	4	28	46	2	0	0
NC_005354.1	0	FALSE	0	55	5	0	FALSE	0.018181818	7	21	24	2	1	0
NC_005355.1	0	FALSE	0	53	1	0	FALSE	0	4	31	16	2	0	0
NC_005356.1	0	FALSE	0	68	6	0	FALSE	0.014705882	6	54	5	1	1	1
NC_005357.1	0	FALSE	0	50	3	0	FALSE	0.02	4	24	18	1	0	3
NC_005822.1	0	FALSE	0	48	1	1	FALSE	0	4	32	11	0	0	1
NC_005833.1	0	FALSE	0	71	5	0	FALSE	0.056338028	7	49	6	6	1	2
NC_005841.1	0	FALSE	0	61	9	1	FALSE	0.081967213	11	29	9	6	0	6
NC_005856.1	0	FALSE	0	100	21	1	TRUE	0.04	12	56	19	4	3	6
NC_005857.1	0	FALSE	0	56	8	2	FALSE	0.089285714	6	27	12	9	1	1
NC_005859.1	0	FALSE	0	179	11	1	FALSE	0.094972067	14	103	31	23	1	7
NC_005879.1	0	FALSE	0	46	1	0	FALSE	0.02173913	3	38	3	1	1	0
NC_005880.2	0	FALSE	0	235	10	3	FALSE	0.038297872	8	186	23	12	5	1
NC_005882.1	0	FALSE	0	50	6	0	FALSE	0.08	2	25	11	9	1	2
NC_005884.1	0	FALSE	0	52	2	0	FALSE	0.019230769	2	45	4	1	0	0
NC_005885.1	0	FALSE	0	73	10	0	FALSE	0.02739726	1	15	55	2	0	0
NC_005886.2	0	FALSE	0	68	3	0	FALSE	0.014705882	3	26	34	2	1	2
NC_005887.1	0	FALSE	0	50	2	1	FALSE	0	6	21	22	0	0	1
NC_005891.1	0	FALSE	0	48	1	0	FALSE	0.020833333	3	38	5	1	1	0
NC_005893.1	0	FALSE	0	55	2	0	TRUE	0	5	36	13	0	1	0
NC_006356.2	0	FALSE	0	67	0	0	FALSE	0.014925373	1	16	45	3	1	1
NC_006548.1	0	FALSE	0	51	5	0	FALSE	0.058823529	1	34	11	4	0	1
NC_006552.1	0	FALSE	0	74	7	1	FALSE	0.013513514	6	44	20	1	1	2
NC_006557.1	0	FALSE	0	55	3	1	FALSE	0.018181818	5	27	20	1	2	0
NC_006565.1	0	FALSE	0	167	4	0	TRUE	0.041916168	6	44	101	10	4	2
NC_006820.1	0	FALSE	0	223	6	13	FALSE	0.067264574	22	110	61	24	4	2
NC_006882.2	0	FALSE	0	55	0	3	FALSE	0.072727273	12	24	13	4	1	1
NC_006883.2	0	FALSE	0	329	10	43	FALSE	0.106382979	22	157	97	46	4	3
NC_006884.2	0	FALSE	0	220	4	16	FALSE	0.063636364	20	150	20	23	5	2
NC_006936.1	0	FALSE	0	46	0	0	FALSE	0.02173913	4	18	22	1	1	0
NC_006938.1	0	FALSE	0	88	0	0	FALSE	0.011363636	4	30	50	1	2	1
NC_006940.2	0	FALSE	0	62	5	0	FALSE	0.016129032	2	43	14	1	1	1
NC_006949.1	0	FALSE	0	73	8	0	FALSE	0.01369863	6	45	14	3	2	3
NC_006953.1	0	FALSE	0	57	10	1	FALSE	0.01754386	0	34	20	2	1	0
NC_007019.1	0	FALSE	0	41	1	0	FALSE	0.048780488	4	26	4	4	2	1
NC_007021.1	0	FALSE	0	181	6	5	TRUE	0.055248619	7	95	60	13	5	1
NC_007022.1	0	FALSE	0	254	10	2	FALSE	0.05511811	30	142	26	34	10	12
NC_007023.1	0	FALSE	0	287	14	4	FALSE	0.038327526	30	170	35	28	9	15
NC_007024.1	0	FALSE	0	79	4	1	FALSE	0.012658228	5	21	51	2	0	0
NC_007046.1	0	FALSE	0	21	1	0	FALSE	0.095238095	5	11	2	2	1	0
NC_007047.1	0	FALSE	0	66	8	0	FALSE	0.03030303	7	45	9	3	2	0
NC_007048.1	0	FALSE	0	66	10	0	FALSE	0.015151515	6	51	4	2	2	1
NC_007049.1	0	FALSE	0	67	8	0	FALSE	0.014925373	9	49	4	2	2	1
NC_007050.1	0	FALSE	0	67	8	1	FALSE	0	8	49	7	1	2	0
NC_007051.1	0	FALSE	0	55	4	1	FALSE	0	4	31	18	0	1	1
NC_007052.1	0	FALSE	0	66	2	1	FALSE	0.060606061	5	49	6	4	1	1
NC_007053.1	0	FALSE	0	62	8	0	FALSE	0.032258065	4	46	8	2	1	1
NC_007054.1	0	FALSE	0	61	6	0	FALSE	0.016393443	5	46	7	1	1	1
NC_007055.1	0	FALSE	0	67	4	1	FALSE	0.029850746	8	36	16	4	2	1
NC_007056.1	0	FALSE	0	67	6	1	FALSE	0.059701493	8	33	18	6	2	0
NC_007057.1	0	FALSE	0	70	2	0	FALSE	0.014285714	5	52	9	2	1	1
NC_007058.1	0	FALSE	0	69	8	0	FALSE	0.014492754	9	45	10	3	2	0
NC_007059.1	0	FALSE	0	66	8	0	FALSE	0.015151515	7	50	4	3	2	0
NC_007060.1	0	FALSE	0	62	4	0	FALSE	0.016129032	5	46	6	3	2	0
NC_007061.1	0	FALSE	0	64	8	0	FALSE	0.015625	8	44	7	2	2	1
NC_007062.1	0	FALSE	0	58	2	0	FALSE	0.034482759	7	40	5	3	2	1
NC_007063.1	0	FALSE	0	65	6	0	FALSE	0.046153846	7	46	5	5	2	0
NC_007064.1	0	FALSE	0	63	4	0	FALSE	0.047619048	7	44	4	5	2	1
NC_007065.1	0	FALSE	0	65	6	0	FALSE	0	6	46	9	2	2	0
NC_007066.1	0	FALSE	0	207	6	3	FALSE	0.043478261	9	156	24	12	5	1
NC_007145.2	0	FALSE	0	50	8	0	FALSE	0.02	6	23	9	7	2	3
NC_007149.1	0	FALSE	0	53	0	0	FALSE	0.018867925	16	14	15	1	2	5
NC_007291.1	0	FALSE	0	90	6	0	FALSE	0.022222222	4	47	31	4	1	3
NC_007456.1	0	FALSE	0	48	0	0	FALSE	0.020833333	17	14	6	1	3	7
NC_007458.1	0	FALSE	0	55	6	2	FALSE	0.054545455	6	37	7	4	1	0
NC_007497.1	0	FALSE	0	71	12	0	FALSE	0.014084507	5	33	27	3	2	1
NC_007501.1	0	FALSE	0	51	2	1	FALSE	0.019607843	3	33	12	1	1	1
NC_007581.1	0	FALSE	0	207	14	6	TRUE	0.033816425	23	41	135	7	0	1
NC_007603.1	0	FALSE	0	72	5	0	FALSE	0.027777778	5	42	17	4	1	3
NC_007610.1	0	FALSE	0	175	1	2	FALSE	0.04	10	131	18	10	5	1
NC_007623.1	0	FALSE	0	203	34	0	TRUE	0.019704433	8	117	71	4	0	3
NC_007636.1	0	FALSE	0	49	0	0	FALSE	0.06122449	17	15	4	3	3	7
NC_007637.1	0	FALSE	0	61	0	0	FALSE	0.016393443	12	32	13	1	1	2
NC_007709.1	0	FALSE	0	59	4	0	FALSE	0	8	33	15	0	1	2
NC_007710.1	0	FALSE	0	73	3	1	FALSE	0.01369863	4	26	39	2	1	1
NC_007734.1	0	FALSE	0	56	8	2	FALSE	0.053571429	6	36	7	5	2	0
NC_007804.2	0	FALSE	0	51	8	0	FALSE	0	6	35	8	0	1	1
NC_007805.1	0	FALSE	0	62	4	0	FALSE	0.016129032	5	29	23	2	0	3
NC_007806.1	0	FALSE	0	51	2	0	FALSE	0.019607843	2	41	5	2	1	0
NC_007807.1	0	FALSE	0	51	2	0	FALSE	0.019607843	2	44	4	1	0	0
NC_007808.1	0	FALSE	0	69	2	1	FALSE	0.043478261	10	47	9	3	0	0
NC_007809.1	0	FALSE	0	83	0	0	FALSE	0.024096386	4	66	11	2	0	0
NC_007810.1	0	FALSE	0	94	10	0	FALSE	0	4	78	7	2	1	2
NC_007814.1	0	FALSE	0	53	8	2	FALSE	0.056603774	6	33	8	4	2	0
NC_007902.1	0	FALSE	0	64	13	1	TRUE	0.0625	14	5	37	4	1	3
NC_007917.1	0	FALSE	0	94	12	3	FALSE	0.010638298	6	55	24	5	1	3
NC_007924.1	0	FALSE	0	58	1	0	FALSE	0	5	34	14	2	3	0
NC_007967.1	0	FALSE	0	56	3	0	FALSE	0.017857143	3	13	37	2	1	0
NC_008152.1	0	FALSE	0	50	0	0	FALSE	0.02	12	27	7	1	1	2
NC_008193.1	0	FALSE	0	41	5	0	FALSE	0.073170732	3	13	17	7	0	1
NC_008194.1	0	FALSE	0	135	10	0	TRUE	0.02962963	6	103	17	5	1	3
NC_008195.1	0	FALSE	0	96	9	0	FALSE	0	3	88	4	0	0	1
NC_008196.1	0	FALSE	0	95	8	0	TRUE	0.021052632	7	74	10	2	0	2
NC_008197.1	0	FALSE	0	98	11	0	FALSE	0	2	88	7	0	0	1
NC_008198.1	0	FALSE	0	79	2	1	FALSE	0	4	65	7	1	0	2
NC_008199.1	0	FALSE	0	97	12	0	FALSE	0	1	83	12	0	0	1
NC_008200.1	0	FALSE	0	82	2	1	FALSE	0	4	68	7	1	0	2
NC_008201.1	0	FALSE	0	49	8	0	FALSE	0.020408163	6	22	10	7	1	3
NC_008202.2	0	FALSE	0	59	2	0	FALSE	0	4	48	6	0	0	1
NC_008203.1	0	FALSE	0	93	3	0	FALSE	0	9	65	16	0	2	1
NC_008204.1	0	FALSE	0	89	9	3	FALSE	0.04494382	2	77	5	4	0	1
NC_008205.1	0	FALSE	0	99	7	1	FALSE	0.02020202	6	72	16	2	0	3
NC_008206.2	0	FALSE	0	127	6	1	FALSE	0.023622047	4	49	69	4	0	1
NC_008207.1	0	FALSE	0	222	6	0	FALSE	0.022522523	9	188	17	6	1	1
NC_008208.1	0	FALSE	0	230	10	1	FALSE	0.060869565	29	120	28	32	10	11
NC_008265.1	0	FALSE	0	57	4	0	FALSE	0	3	25	28	0	1	0
NC_008296.2	0	FALSE	0	199	4	16	FALSE	0.085427136	22	127	17	25	6	2
NC_008363.1	0	FALSE	0	54	2	0	FALSE	0.037037037	6	34	7	4	3	0
NC_008364.1	0	FALSE	0	49	1	0	FALSE	0.020408163	1	12	34	1	1	0
NC_008367.1	0	FALSE	0	49	3	0	FALSE	0	5	6	37	0	0	1
NC_008370.1	0	FALSE	0	58	2	0	FALSE	0.034482759	7	37	7	4	3	0
NC_008371.1	0	FALSE	0	51	2	0	FALSE	0.019607843	6	32	7	3	3	0
NC_008376.2	0	FALSE	0	51	6	2	FALSE	0.039215686	7	25	15	3	1	0
NC_008464.1	0	FALSE	0	79	8	0	FALSE	0.088607595	4	47	13	7	1	7
NC_008515.1	0	FALSE	0	262	12	1	FALSE	0.045801527	31	149	20	33	12	17
NC_008562.1	0	FALSE	0	187	26	2	TRUE	0.021390374	9	129	41	5	2	1
NC_008583.1	0	FALSE	0	65	9	0	FALSE	0.015384615	8	48	4	2	2	1
NC_008584.1	0	FALSE	0	151	17	1	FALSE	0.026490066	8	126	9	4	2	2
NC_008617.1	0	FALSE	0	62	7	1	FALSE	0.096774194	7	44	3	6	1	1
NC_008689.1	0	FALSE	0	67	8	0	TRUE	0.044776119	7	41	13	4	1	1
NC_008694.1	0	FALSE	0	42	0	0	FALSE	0.023809524	17	12	3	1	3	6
NC_008695.1	0	FALSE	0	64	10	1	FALSE	0	2	8	53	1	0	0
NC_008717.1	0	FALSE	0	54	3	0	FALSE	0.037037037	3	43	2	3	0	3
NC_008720.1	0	FALSE	0	72	2	0	FALSE	0.013888889	9	49	10	1	1	2
NC_008721.2	0	FALSE	0	56	4	0	FALSE	0.053571429	6	30	15	4	1	0
NC_008722.1	0	FALSE	0	68	4	0	FALSE	0.044117647	8	47	8	4	1	0
NC_008723.1	0	FALSE	0	72	6	0	FALSE	0.027777778	7	50	9	4	2	0
NC_008798.1	0	FALSE	0	67	5	0	FALSE	0.014925373	7	50	6	2	2	0
NC_008799.1	0	FALSE	0	67	5	0	FALSE	0.014925373	5	49	9	2	1	1
NC_009014.1	0	FALSE	0	52	0	0	FALSE	0.057692308	12	22	13	3	1	1
NC_009015.1	0	FALSE	0	114	9	0	FALSE	0.00877193	3	41	65	3	1	1
NC_009016.1	0	FALSE	0	54	6	0	FALSE	0.018518519	4	23	16	7	2	2
NC_009018.1	0	FALSE	0	60	5	0	FALSE	0.016666667	4	29	25	1	1	0
NC_009231.1	0	FALSE	0	96	14	2	FALSE	0.010416667	8	63	16	5	2	2
NC_009232.2	0	FALSE	0	64	8	0	FALSE	0.015625	0	47	14	1	1	1
NC_009234.1	0	FALSE	0	44	6	0	FALSE	0.022727273	6	20	6	7	2	3
NC_009235.2	0	FALSE	0	67	16	1	FALSE	0.044776119	5	34	17	7	2	2
NC_009236.1	0	FALSE	0	49	6	1	FALSE	0.081632653	5	19	11	9	2	3
NC_009237.1	0	FALSE	0	52	6	1	FALSE	0.076923077	3	25	11	9	2	2
NC_009382.1	0	FALSE	0	54	6	0	TRUE	0.018518519	7	18	17	7	2	3
NC_009447.1	0	FALSE	0	72	6	3	FALSE	0.069444444	1	34	31	5	1	0
NC_009514.1	0	FALSE	0	55	8	0	FALSE	0.109090909	8	22	13	8	0	4
NC_009526.1	0	FALSE	0	67	7	0	FALSE	0.014925373	8	51	3	2	2	1
NC_009531.1	0	FALSE	0	57	1	0	FALSE	0	13	19	23	0	1	1
NC_009540.1	0	FALSE	0	82	3	0	FALSE	0.06097561	7	58	6	7	1	3
NC_009541.1	0	FALSE	0	41	1	0	FALSE	0.024390244	2	30	7	1	0	1
NC_009542.2	0	FALSE	0	44	3	0	FALSE	0.045454545	5	15	13	6	2	3
NC_009543.1	0	FALSE	0	65	5	0	FALSE	0	7	38	19	0	1	0
NC_009551.1	0	FALSE	0	41	2	0	FALSE	0.024390244	6	28	6	1	0	0
NC_009552.3	0	FALSE	0	61	5	1	FALSE	0.049180328	7	27	22	3	1	1
NC_009554.1	0	FALSE	0	54	2	0	FALSE	0.037037037	4	24	22	2	2	0
NC_009603.1	0	FALSE	0	67	11	2	FALSE	0.014925373	1	14	50	1	0	1
NC_009604.1	0	FALSE	0	68	5	0	FALSE	0.014705882	4	50	8	2	1	3
NC_009643.1	0	FALSE	0	19	1	0	FALSE	0	5	0	13	0	1	0
NC_009737.2	0	FALSE	0	51	6	2	FALSE	0.019607843	6	27	14	2	2	0
NC_009760.1	0	FALSE	0	246	6	0	FALSE	0.008130081	12	43	186	3	1	1
NC_009761.3	0	FALSE	0	59	8	0	FALSE	0.050847458	9	37	7	4	1	1
NC_009762.3	0	FALSE	0	69	10	0	FALSE	0.014492754	5	52	9	1	1	1
NC_009763.3	0	FALSE	0	72	12	0	FALSE	0.069444444	7	45	13	6	1	0
