vMAG_sporAMG_ID,Host_taxonomy,Host_taxonomy,Sporulating_Family?
Han_2018_ERR1398151_NODE_390_length_14639_cov_739.503154,Bacteria;p__Firmicutes_A;f__Acutalibacteraceae,f__Acutalibacteraceae,FALSE
Han_2018_ERR1398161_NODE_1132_length_12780_cov_5.997250,Bacteria;p__Firmicutes_A;f__Acutalibacteraceae,f__Acutalibacteraceae,FALSE
Han_2018_ERR1398168_NODE_1954_length_12993_cov_28.873319,Bacteria;p__Firmicutes_A;f__Acutalibacteraceae,f__Acutalibacteraceae,FALSE
Han_2018_ERR1398168_NODE_3984_length_7565_cov_8.871771,Bacteria;p__Firmicutes_A;f__Acutalibacteraceae,f__Acutalibacteraceae,FALSE
Han_2018_ERR1398168_NODE_4579_length_6711_cov_12.716046,Bacteria;p__Firmicutes_A;f__Acutalibacteraceae,f__Acutalibacteraceae,FALSE
Han_2018_ERR1398168_NODE_5939_length_5410_cov_10.640523,Bacteria;p__Firmicutes_A;f__Acutalibacteraceae,f__Acutalibacteraceae,FALSE
Han_2018_ERR1398171_NODE_1101_length_12180_cov_163.000907,Bacteria;p__Firmicutes_A;f__Acutalibacteraceae,f__Acutalibacteraceae,FALSE
Han_2018_ERR1398172_NODE_416_length_37716_cov_12.130745,Bacteria;p__Firmicutes_A;f__Acutalibacteraceae,f__Acutalibacteraceae,FALSE
Han_2018_ERR1398172_NODE_4879_length_5404_cov_3.697514,Bacteria;p__Firmicutes_A;f__Acutalibacteraceae,f__Acutalibacteraceae,FALSE
Han_2018_ERR1398174_NODE_3555_length_8429_cov_4.751732,Bacteria;p__Firmicutes_A;f__Acutalibacteraceae,f__Acutalibacteraceae,FALSE
Han_2018_ERR1398174_NODE_6100_length_5456_cov_14.559156,Bacteria;p__Firmicutes_A;f__Acutalibacteraceae,f__Acutalibacteraceae,FALSE
Han_2018_ERR1398179_NODE_4578_length_5602_cov_29.721651,Bacteria;p__Firmicutes_A;f__Acutalibacteraceae,f__Acutalibacteraceae,FALSE
Han_2018_ERR1398186_NODE_2488_length_6667_cov_4.716576,Bacteria;p__Firmicutes_A;f__Acutalibacteraceae,f__Acutalibacteraceae,FALSE
Han_2018_ERR1398186_NODE_2723_length_6210_cov_4.742486,Bacteria;p__Firmicutes_A;f__Acutalibacteraceae,f__Acutalibacteraceae,FALSE
Han_2018_ERR1398202_NODE_2001_length_8203_cov_4.232327,Bacteria;p__Firmicutes_A;f__Acutalibacteraceae,f__Acutalibacteraceae,FALSE
Han_2018_ERR1398202_NODE_754_length_16772_cov_3.913322,Bacteria;p__Firmicutes_A;f__Acutalibacteraceae,f__Acutalibacteraceae,FALSE
Han_2018_ERR1398212_NODE_2239_length_15080_cov_4.810915,Bacteria;p__Firmicutes_A;f__Acutalibacteraceae,f__Acutalibacteraceae,FALSE
Han_2018_ERR1398214_NODE_2617_length_9579_cov_17.856048,Bacteria;p__Firmicutes_A;f__Acutalibacteraceae,f__Acutalibacteraceae,FALSE
Han_2018_ERR1398218_NODE_1642_length_19159_cov_8.839091,Bacteria;p__Firmicutes_A;f__Acutalibacteraceae,f__Acutalibacteraceae,FALSE
Han_2018_ERR1398220_NODE_686_length_35721_cov_5.974093,Bacteria;p__Firmicutes_A;f__Acutalibacteraceae,f__Acutalibacteraceae,FALSE
Han_2018_ERR1398228_NODE_3913_length_6671_cov_4.127418,Bacteria;p__Firmicutes_A;f__Acutalibacteraceae,f__Acutalibacteraceae,FALSE
Han_2018_ERR1398241_NODE_5521_length_6582_cov_3.844339,Bacteria;p__Firmicutes_A;f__Acutalibacteraceae,f__Acutalibacteraceae,FALSE
Han_2018_ERR1398252_NODE_480_length_39654_cov_25.524584,Bacteria;p__Firmicutes_A;f__Acutalibacteraceae,f__Acutalibacteraceae,FALSE
Han_2018_ERR1398252_NODE_538_length_37232_cov_5.852947,Bacteria;p__Firmicutes_A;f__Acutalibacteraceae,f__Acutalibacteraceae,FALSE
Han_2018_ERR1398253_NODE_2884_length_11457_cov_4.518242,Bacteria;p__Firmicutes_A;f__Acutalibacteraceae,f__Acutalibacteraceae,FALSE
Han_2018_ERR1398254_NODE_2408_length_15627_cov_11.559209,Bacteria;p__Firmicutes_A;f__Acutalibacteraceae,f__Acutalibacteraceae,FALSE
Han_2018_ERR1398261_NODE_3250_length_5682_cov_3.323974,Bacteria;p__Firmicutes_A;f__Acutalibacteraceae,f__Acutalibacteraceae,FALSE
Han_2018_ERR1398263_NODE_2188_length_12034_cov_6.593121,Bacteria;p__Firmicutes_A;f__Acutalibacteraceae,f__Acutalibacteraceae,FALSE
Han_2018_ERR1398263_NODE_3883_length_6951_cov_5.110934,Bacteria;p__Firmicutes_A;f__Acutalibacteraceae,f__Acutalibacteraceae,FALSE
Han_2018_ERR1398263_NODE_4437_length_6153_cov_6.857822,Bacteria;p__Firmicutes_A;f__Acutalibacteraceae,f__Acutalibacteraceae,FALSE
Kang_0009_ST002_A_NODE_213_length_8983_cov_5.857415,Bacteria;p__Firmicutes_A;f__Acutalibacteraceae,f__Acutalibacteraceae,FALSE
Kang_0011_ST003_A_NODE_27_length_36075_cov_133.929456,Bacteria;p__Firmicutes_A;f__Acutalibacteraceae,f__Acutalibacteraceae,FALSE
Kang_0019_ST001_A_NODE_40_length_39106_cov_356.734296,Bacteria;p__Firmicutes_A;f__Acutalibacteraceae,f__Acutalibacteraceae,FALSE
Kang_0021_ST001_A_NODE_33_length_37786_cov_58.292359,Bacteria;p__Firmicutes_A;f__Acutalibacteraceae,f__Acutalibacteraceae,FALSE
Kang_0027_ST001_A_NODE_36_length_36320_cov_32.762057,Bacteria;p__Firmicutes_A;f__Acutalibacteraceae,f__Acutalibacteraceae,FALSE
Kang_0045_ST001_N_NODE_23_length_42656_cov_159.851365,Bacteria;p__Firmicutes_A;f__Acutalibacteraceae,f__Acutalibacteraceae,FALSE
Kang_0065_ST002_N_NODE_11_length_53648_cov_61.776351,Bacteria;p__Firmicutes_A;f__Acutalibacteraceae,f__Acutalibacteraceae,FALSE
Ma_2019_SRR341609_NODE_67_length_47725_cov_3.692889,Bacteria;p__Firmicutes_A;f__Acutalibacteraceae,f__Acutalibacteraceae,FALSE
Ma_2019_SRR341610_NODE_122_length_59825_cov_9.629296,Bacteria;p__Firmicutes_A;f__Acutalibacteraceae,f__Acutalibacteraceae,FALSE
Ma_2019_SRR341610_NODE_399_length_25281_cov_3.555617,Bacteria;p__Firmicutes_A;f__Acutalibacteraceae,f__Acutalibacteraceae,FALSE
Ma_2019_SRR341610_NODE_478_length_21948_cov_2.380167,Bacteria;p__Firmicutes_A;f__Acutalibacteraceae,f__Acutalibacteraceae,FALSE
Ma_2019_SRR341617_NODE_330_length_25285_cov_5.173722,Bacteria;p__Firmicutes_A;f__Acutalibacteraceae,f__Acutalibacteraceae,FALSE
Ma_2019_SRR341633_NODE_257_length_58380_cov_5.450441,Bacteria;p__Firmicutes_A;f__Acutalibacteraceae,f__Acutalibacteraceae,FALSE
Ma_2019_SRR341636_NODE_632_length_14942_cov_6.176933,Bacteria;p__Firmicutes_A;f__Acutalibacteraceae,f__Acutalibacteraceae,FALSE
Ma_2019_SRR341638_NODE_187_length_48457_cov_2.365192,Bacteria;p__Firmicutes_A;f__Acutalibacteraceae,f__Acutalibacteraceae,FALSE
Ma_2019_SRR341643_NODE_1748_length_10990_cov_2.598080,Bacteria;p__Firmicutes_A;f__Acutalibacteraceae,f__Acutalibacteraceae,FALSE
Ma_2019_SRR341650_NODE_2214_length_5438_cov_1.447520,Bacteria;p__Firmicutes_A;f__Acutalibacteraceae,f__Acutalibacteraceae,FALSE
Ma_2019_SRR341661_NODE_2416_length_8490_cov_3.323651,Bacteria;p__Firmicutes_A;f__Acutalibacteraceae,f__Acutalibacteraceae,FALSE
Ma_2019_SRR341664_NODE_2825_length_6012_cov_2.246769,Bacteria;p__Firmicutes_A;f__Acutalibacteraceae,f__Acutalibacteraceae,FALSE
Ma_2019_SRR341667_NODE_493_length_37317_cov_32.581450,Bacteria;p__Firmicutes_A;f__Acutalibacteraceae,f__Acutalibacteraceae,FALSE
Ma_2019_SRR341667_NODE_7_length_228616_cov_19.121657,Bacteria;p__Firmicutes_A;f__Acutalibacteraceae,f__Acutalibacteraceae,FALSE
Ma_2019_SRR341671_NODE_274_length_46666_cov_3.674798,Bacteria;p__Firmicutes_A;f__Acutalibacteraceae,f__Acutalibacteraceae,FALSE
Ma_2019_SRR341686_NODE_2347_length_6532_cov_1.856569,Bacteria;p__Firmicutes_A;f__Acutalibacteraceae,f__Acutalibacteraceae,FALSE
Ma_2019_SRR341691_NODE_2438_length_6010_cov_2.238119,Bacteria;p__Firmicutes_A;f__Acutalibacteraceae,f__Acutalibacteraceae,FALSE
Ma_2019_SRR341692_NODE_3874_length_5543_cov_2.237245,Bacteria;p__Firmicutes_A;f__Acutalibacteraceae,f__Acutalibacteraceae,FALSE
Ma_2019_SRR341693_NODE_2006_length_6830_cov_2.907159,Bacteria;p__Firmicutes_A;f__Acutalibacteraceae,f__Acutalibacteraceae,FALSE
Ma_2019_SRR341700_NODE_3339_length_5510_cov_1.939322,Bacteria;p__Firmicutes_A;f__Acutalibacteraceae,f__Acutalibacteraceae,FALSE
Ma_2019_SRR341700_NODE_3595_length_5072_cov_1.718557,Bacteria;p__Firmicutes_A;f__Acutalibacteraceae,f__Acutalibacteraceae,FALSE
Ma_2019_SRR341702_NODE_1752_length_12772_cov_3.891091,Bacteria;p__Firmicutes_A;f__Acutalibacteraceae,f__Acutalibacteraceae,FALSE
Ma_2019_SRR341705_NODE_2664_length_7738_cov_5.262007,Bacteria;p__Firmicutes_A;f__Acutalibacteraceae,f__Acutalibacteraceae,FALSE
Ma_2019_SRR341705_NODE_384_length_42982_cov_3.982948,Bacteria;p__Firmicutes_A;f__Acutalibacteraceae,f__Acutalibacteraceae,FALSE
Ma_2019_SRR341709_NODE_1556_length_15376_cov_2.900594,Bacteria;p__Firmicutes_A;f__Acutalibacteraceae,f__Acutalibacteraceae,FALSE
Ma_2019_SRR341709_NODE_2738_length_9226_cov_3.503326,Bacteria;p__Firmicutes_A;f__Acutalibacteraceae,f__Acutalibacteraceae,FALSE
Ma_2019_SRR341714_NODE_3311_length_5599_cov_2.422619,Bacteria;p__Firmicutes_A;f__Acutalibacteraceae,f__Acutalibacteraceae,FALSE
Ma_2019_SRR341721_NODE_509_length_26070_cov_5.836902,Bacteria;p__Firmicutes_A;f__Acutalibacteraceae,f__Acutalibacteraceae,FALSE
Ma_2019_SRR413561_NODE_1879_length_9413_cov_2.529387,Bacteria;p__Firmicutes_A;f__Acutalibacteraceae,f__Acutalibacteraceae,FALSE
Ma_2019_SRR413564_NODE_2044_length_14326_cov_15.339289,Bacteria;p__Firmicutes_A;f__Acutalibacteraceae,f__Acutalibacteraceae,FALSE
Ma_2019_SRR413566_NODE_1047_length_17588_cov_3.888097,Bacteria;p__Firmicutes_A;f__Acutalibacteraceae,f__Acutalibacteraceae,FALSE
Ma_2019_SRR413574_NODE_103_length_130887_cov_35.622279,Bacteria;p__Firmicutes_A;f__Acutalibacteraceae,f__Acutalibacteraceae,FALSE
Ma_2019_SRR413574_NODE_3174_length_6871_cov_2.709507,Bacteria;p__Firmicutes_A;f__Acutalibacteraceae,f__Acutalibacteraceae,FALSE
Ma_2019_SRR413574_NODE_643_length_33409_cov_46.747437,Bacteria;p__Firmicutes_A;f__Acutalibacteraceae,f__Acutalibacteraceae,FALSE
Ma_2019_SRR413576_NODE_1480_length_8841_cov_2.502618,Bacteria;p__Firmicutes_A;f__Acutalibacteraceae,f__Acutalibacteraceae,FALSE
Ma_2019_SRR413580_NODE_3892_length_5429_cov_3.813361,Bacteria;p__Firmicutes_A;f__Acutalibacteraceae,f__Acutalibacteraceae,FALSE
Ma_2019_SRR413581_NODE_2386_length_8434_cov_2.461272,Bacteria;p__Firmicutes_A;f__Acutalibacteraceae,f__Acutalibacteraceae,FALSE
Ma_2019_SRR413582_NODE_1187_length_12949_cov_8.869940,Bacteria;p__Firmicutes_A;f__Acutalibacteraceae,f__Acutalibacteraceae,FALSE
Ma_2019_SRR413584_NODE_1176_length_21878_cov_4.114100,Bacteria;p__Firmicutes_A;f__Acutalibacteraceae,f__Acutalibacteraceae,FALSE
Ma_2019_SRR413587_NODE_1477_length_11657_cov_6.931391,Bacteria;p__Firmicutes_A;f__Acutalibacteraceae,f__Acutalibacteraceae,FALSE
Ma_2019_SRR413589_NODE_799_length_19208_cov_2.095546,Bacteria;p__Firmicutes_A;f__Acutalibacteraceae,f__Acutalibacteraceae,FALSE
Ma_2019_SRR413598_NODE_4426_length_6803_cov_1.756965,Bacteria;p__Firmicutes_A;f__Acutalibacteraceae,f__Acutalibacteraceae,FALSE
Ma_2019_SRR413600_NODE_2369_length_7267_cov_2.071963,Bacteria;p__Firmicutes_A;f__Acutalibacteraceae,f__Acutalibacteraceae,FALSE
Ma_2019_SRR413612_NODE_347_length_45969_cov_2.920242,Bacteria;p__Firmicutes_A;f__Acutalibacteraceae,f__Acutalibacteraceae,FALSE
Ma_2019_SRR413614_NODE_1396_length_14106_cov_4.191445,Bacteria;p__Firmicutes_A;f__Acutalibacteraceae,f__Acutalibacteraceae,FALSE
Ma_2019_SRR413614_NODE_2398_length_8335_cov_2.422705,Bacteria;p__Firmicutes_A;f__Acutalibacteraceae,f__Acutalibacteraceae,FALSE
Ma_2019_SRR413623_NODE_4657_length_7972_cov_2.566629,Bacteria;p__Firmicutes_A;f__Acutalibacteraceae,f__Acutalibacteraceae,FALSE
Ma_2019_SRR413624_NODE_2534_length_10022_cov_4.089094,Bacteria;p__Firmicutes_A;f__Acutalibacteraceae,f__Acutalibacteraceae,FALSE
Ma_2019_SRR413632_NODE_24_length_160118_cov_4.978240,Bacteria;p__Firmicutes_A;f__Acutalibacteraceae,f__Acutalibacteraceae,FALSE
Ma_2019_SRR413632_NODE_410_length_35070_cov_3.181408,Bacteria;p__Firmicutes_A;f__Acutalibacteraceae,f__Acutalibacteraceae,FALSE
Ma_2019_SRR413635_NODE_776_length_30234_cov_3.084628,Bacteria;p__Firmicutes_A;f__Acutalibacteraceae,f__Acutalibacteraceae,FALSE
Ma_2019_SRR413636_NODE_261_length_34710_cov_6.201183,Bacteria;p__Firmicutes_A;f__Acutalibacteraceae,f__Acutalibacteraceae,FALSE
Ma_2019_SRR413644_NODE_356_length_47308_cov_8.145409,Bacteria;p__Firmicutes_A;f__Acutalibacteraceae,f__Acutalibacteraceae,FALSE
Ma_2019_SRR413644_NODE_68_length_117139_cov_9.202154,Bacteria;p__Firmicutes_A;f__Acutalibacteraceae,f__Acutalibacteraceae,FALSE
Ma_2019_SRR413646_NODE_2256_length_7485_cov_5.167295,Bacteria;p__Firmicutes_A;f__Acutalibacteraceae,f__Acutalibacteraceae,FALSE
Ma_2019_SRR413650_NODE_3143_length_6976_cov_2.760728,Bacteria;p__Firmicutes_A;f__Acutalibacteraceae,f__Acutalibacteraceae,FALSE
Ma_2019_SRR413650_NODE_4269_length_5190_cov_2.226290,Bacteria;p__Firmicutes_A;f__Acutalibacteraceae,f__Acutalibacteraceae,FALSE
Ma_2019_SRR413652_NODE_1849_length_6741_cov_1.586449,Bacteria;p__Firmicutes_A;f__Acutalibacteraceae,f__Acutalibacteraceae,FALSE
Ma_2019_SRR413653_NODE_1951_length_10170_cov_3.351656,Bacteria;p__Firmicutes_A;f__Acutalibacteraceae,f__Acutalibacteraceae,FALSE
Ma_2019_SRR413653_NODE_2774_length_7137_cov_6.100113,Bacteria;p__Firmicutes_A;f__Acutalibacteraceae,f__Acutalibacteraceae,FALSE
Ma_2019_SRR413655_NODE_479_length_28107_cov_6.266826,Bacteria;p__Firmicutes_A;f__Acutalibacteraceae,f__Acutalibacteraceae,FALSE
Ma_2019_SRR413656_NODE_528_length_24336_cov_6.217207,Bacteria;p__Firmicutes_A;f__Acutalibacteraceae,f__Acutalibacteraceae,FALSE
Ma_2019_SRR413656_NODE_889_length_17329_cov_2.219000,Bacteria;p__Firmicutes_A;f__Acutalibacteraceae,f__Acutalibacteraceae,FALSE
Ma_2019_SRR413658_NODE_2028_length_6936_cov_2.356634,Bacteria;p__Firmicutes_A;f__Acutalibacteraceae,f__Acutalibacteraceae,FALSE
Ma_2019_SRR413658_NODE_2259_length_6067_cov_2.021790,Bacteria;p__Firmicutes_A;f__Acutalibacteraceae,f__Acutalibacteraceae,FALSE
Ma_2019_SRR413659_NODE_3542_length_5999_cov_3.339334,Bacteria;p__Firmicutes_A;f__Acutalibacteraceae,f__Acutalibacteraceae,FALSE
Ma_2019_SRR413663_NODE_1531_length_19700_cov_23.940443,Bacteria;p__Firmicutes_A;f__Acutalibacteraceae,f__Acutalibacteraceae,FALSE
Ma_2019_SRR413663_NODE_1595_length_18950_cov_2.426674,Bacteria;p__Firmicutes_A;f__Acutalibacteraceae,f__Acutalibacteraceae,FALSE
Ma_2019_SRR413664_NODE_217_length_52809_cov_14.222031,Bacteria;p__Firmicutes_A;f__Acutalibacteraceae,f__Acutalibacteraceae,FALSE
Ma_2019_SRR413669_NODE_554_length_10585_cov_3.782051,Bacteria;p__Firmicutes_A;f__Acutalibacteraceae,f__Acutalibacteraceae,FALSE
Ma_2019_SRR413674_NODE_3233_length_5154_cov_7.209453,Bacteria;p__Firmicutes_A;f__Acutalibacteraceae,f__Acutalibacteraceae,FALSE
Ma_2019_SRR413674_NODE_483_length_49893_cov_8.043661,Bacteria;p__Firmicutes_A;f__Acutalibacteraceae,f__Acutalibacteraceae,FALSE
Ma_2019_SRR413676_NODE_1260_length_18157_cov_1.914982,Bacteria;p__Firmicutes_A;f__Acutalibacteraceae,f__Acutalibacteraceae,FALSE
Ma_2019_SRR413676_NODE_2258_length_10231_cov_2.208628,Bacteria;p__Firmicutes_A;f__Acutalibacteraceae,f__Acutalibacteraceae,FALSE
Ma_2019_SRR413677_NODE_507_length_49489_cov_3.395214,Bacteria;p__Firmicutes_A;f__Acutalibacteraceae,f__Acutalibacteraceae,FALSE
Ma_2019_SRR413678_NODE_464_length_62005_cov_3.503471,Bacteria;p__Firmicutes_A;f__Acutalibacteraceae,f__Acutalibacteraceae,FALSE
Ma_2019_SRR413678_NODE_489_length_60614_cov_34.621295,Bacteria;p__Firmicutes_A;f__Acutalibacteraceae,f__Acutalibacteraceae,FALSE
Ma_2019_SRR413678_NODE_6854_length_5122_cov_30.449970,Bacteria;p__Firmicutes_A;f__Acutalibacteraceae,f__Acutalibacteraceae,FALSE
Ma_2019_SRR413680_NODE_1083_length_22371_cov_15.202859,Bacteria;p__Firmicutes_A;f__Acutalibacteraceae,f__Acutalibacteraceae,FALSE
Ma_2019_SRR413681_NODE_2422_length_8999_cov_2.108564,Bacteria;p__Firmicutes_A;f__Acutalibacteraceae,f__Acutalibacteraceae,FALSE
Ma_2019_SRR413686_NODE_532_length_39074_cov_14.205874,Bacteria;p__Firmicutes_A;f__Acutalibacteraceae,f__Acutalibacteraceae,FALSE
Ma_2019_SRR413701_NODE_391_length_40042_cov_17.868382,Bacteria;p__Firmicutes_A;f__Acutalibacteraceae,f__Acutalibacteraceae,FALSE
Ma_2019_SRR413701_NODE_722_length_24447_cov_7.286774,Bacteria;p__Firmicutes_A;f__Acutalibacteraceae,f__Acutalibacteraceae,FALSE
Ma_2019_SRR413714_NODE_795_length_34802_cov_5.256137,Bacteria;p__Firmicutes_A;f__Acutalibacteraceae,f__Acutalibacteraceae,FALSE
Ma_2019_SRR413716_NODE_23_length_126449_cov_11.627134,Bacteria;p__Firmicutes_A;f__Acutalibacteraceae,f__Acutalibacteraceae,FALSE
Ma_2019_SRR413720_NODE_768_length_20518_cov_3.755559,Bacteria;p__Firmicutes_A;f__Acutalibacteraceae,f__Acutalibacteraceae,FALSE
Ma_2019_SRR413723_NODE_185_length_63844_cov_9.120554,Bacteria;p__Firmicutes_A;f__Acutalibacteraceae,f__Acutalibacteraceae,FALSE
Ma_2019_SRR413726_NODE_1827_length_7574_cov_4.771113,Bacteria;p__Firmicutes_A;f__Acutalibacteraceae,f__Acutalibacteraceae,FALSE
Ma_2019_SRR413737_NODE_49_length_90876_cov_19.149932,Bacteria;p__Firmicutes_A;f__Acutalibacteraceae,f__Acutalibacteraceae,FALSE
Ma_2019_SRR413743_NODE_302_length_47566_cov_9.138052,Bacteria;p__Firmicutes_A;f__Acutalibacteraceae,f__Acutalibacteraceae,FALSE
Ma_2019_SRR413761_NODE_30_length_223280_cov_12.868541,Bacteria;p__Firmicutes_A;f__Acutalibacteraceae,f__Acutalibacteraceae,FALSE
Ma_2019_SRR413761_NODE_3119_length_14172_cov_6.907346,Bacteria;p__Firmicutes_A;f__Acutalibacteraceae,f__Acutalibacteraceae,FALSE
Ma_2019_SRR413762_NODE_5360_length_7134_cov_2.507275,Bacteria;p__Firmicutes_A;f__Acutalibacteraceae,f__Acutalibacteraceae,FALSE
Ma_2019_SRR413771_NODE_1608_length_17853_cov_3.264299,Bacteria;p__Firmicutes_A;f__Acutalibacteraceae,f__Acutalibacteraceae,FALSE
Manrique_Person1_NODE_129_length_34961_cov_26.224861,Bacteria;p__Firmicutes_A;f__Acutalibacteraceae,f__Acutalibacteraceae,FALSE
Manrique_Person1_NODE_14_length_108989_cov_21.976628,Bacteria;p__Firmicutes_A;f__Acutalibacteraceae,f__Acutalibacteraceae,FALSE
Minot_Diet_SRR5088934_NODE_30_length_39771_cov_11.903993,Bacteria;p__Firmicutes_A;f__Acutalibacteraceae,f__Acutalibacteraceae,FALSE
Minot_Diet_SRR5088938_NODE_40_length_37347_cov_46.942159,Bacteria;p__Firmicutes_A;f__Acutalibacteraceae,f__Acutalibacteraceae,FALSE
Minot_Diet_SRR5088940_NODE_28_length_63599_cov_55.298801,Bacteria;p__Firmicutes_A;f__Acutalibacteraceae,f__Acutalibacteraceae,FALSE
Minot_Diet_SRR5088940_NODE_98_length_35046_cov_20.747621,Bacteria;p__Firmicutes_A;f__Acutalibacteraceae,f__Acutalibacteraceae,FALSE
Monaco_MBA4031_NODE_66_length_15325_cov_10.387557,Bacteria;p__Firmicutes_A;f__Acutalibacteraceae,f__Acutalibacteraceae,FALSE
Moreno-Gallego_2019_ERR2867975_NODE_140_length_5480_cov_10.278341,Bacteria;p__Firmicutes_A;f__Acutalibacteraceae,f__Acutalibacteraceae,FALSE
Moreno-Gallego_2019_ERR2867975_NODE_147_length_5311_cov_8.595700,Bacteria;p__Firmicutes_A;f__Acutalibacteraceae,f__Acutalibacteraceae,FALSE
Moreno-Gallego_2019_ERR2867975_NODE_71_length_7660_cov_15.402498,Bacteria;p__Firmicutes_A;f__Acutalibacteraceae,f__Acutalibacteraceae,FALSE
Moreno-Gallego_2019_ERR2867994_NODE_28_length_10332_cov_4.737569,Bacteria;p__Firmicutes_A;f__Acutalibacteraceae,f__Acutalibacteraceae,FALSE
Moreno-Gallego_2019_ERR2867994_NODE_45_length_6598_cov_4.536145,Bacteria;p__Firmicutes_A;f__Acutalibacteraceae,f__Acutalibacteraceae,FALSE
Moreno-Gallego_2019_ERR2867994_NODE_47_length_6383_cov_5.041561,Bacteria;p__Firmicutes_A;f__Acutalibacteraceae,f__Acutalibacteraceae,FALSE
Moreno-Gallego_2019_ERR2868006_NODE_52_length_7092_cov_7.142959,Bacteria;p__Firmicutes_A;f__Acutalibacteraceae,f__Acutalibacteraceae,FALSE
Moreno-Gallego_2019_ERR2868006_NODE_77_length_5491_cov_8.035872,Bacteria;p__Firmicutes_A;f__Acutalibacteraceae,f__Acutalibacteraceae,FALSE
Moreno-Gallego_2019_ERR2868006_NODE_88_length_5062_cov_3.725584,Bacteria;p__Firmicutes_A;f__Acutalibacteraceae,f__Acutalibacteraceae,FALSE
Moreno-Gallego_2019_ERR2868017_NODE_108_length_7476_cov_9.588869,Bacteria;p__Firmicutes_A;f__Acutalibacteraceae,f__Acutalibacteraceae,FALSE
Moreno-Gallego_2019_ERR2868017_NODE_111_length_7434_cov_9.194606,Bacteria;p__Firmicutes_A;f__Acutalibacteraceae,f__Acutalibacteraceae,FALSE
Moreno-Gallego_2019_ERR2868017_NODE_112_length_7419_cov_12.333107,Bacteria;p__Firmicutes_A;f__Acutalibacteraceae,f__Acutalibacteraceae,FALSE
